기간	자치구	동	인구	면적	인구밀도
2019	합계	합계	10,010,983	605.24	16,541
2019	종로구	소계	161,869	23.91	6,769
2019	종로구	사직동	9,815	1.23	7,980
2019	종로구	삼청동	2,997	1.49	2,011
2019	종로구	부암동	10,551	2.27	4,648
2019	종로구	평창동	18,816	8.87	2,121
2019	종로구	무악동	8,740	0.36	24,278
2019	종로구	교남동	10,708	0.35	30,594
2019	종로구	가회동	4,488	0.54	8,311
2019	종로구	종로1.2.3.4가동	8,446	2.35	3,594
2019	종로구	종로5·6가동	5,839	0.6	9,732
2019	종로구	이화동	8,470	0.78	10,859
2019	종로구	창신1동	6,079	0.31	19,610
2019	종로구	창신2동	9,799	0.26	37,688
2019	종로구	창신3동	7,271	0.23	31,613
2019	종로구	숭인1동	6,532	0.23	28,400
2019	종로구	숭인2동	9,902	0.35	28,291
2019	종로구	청운효자동	12,981	2.57	5,051
2019	종로구	혜화동	20,435	1.12	18,246
2019	중구	소계	136,488	9.96	13,704
2019	중구	소공동	3,059	0.95	3,220
2019	중구	회현동	5,850	0.84	6,964
2019	중구	명동	3,567	0.99	3,603
2019	중구	필동	5,020	1.14	4,404
2019	중구	장충동	5,628	1.36	4,138
2019	중구	광희동	6,284	0.74	8,492
2019	중구	을지로동	2,007	0.6	3,345
2019	중구	신당5동	10,929	0.39	28,023
2019	중구	황학동	13,689	0.33	41,482
2019	중구	중림동	12,942	0.48	26,963
2019	중구	신당동	9,234	0.55	16,789
2019	중구	다산동	15,035	0.51	29,480
2019	중구	약수동	17,734	0.48	36,946
2019	중구	청구동	14,515	0.34	42,691
2019	중구	동화동	10,995	0.26	42,288
2019	용산구	소계	245,185	21.87	11,213
2019	용산구	후암동	18,445	0.86	21,448
2019	용산구	용산2가동	11,836	1.96	6,039
2019	용산구	남영동	8,412	1.19	7,069
2019	용산구	원효로2동	14,718	0.71	20,730
2019	용산구	효창동	10,300	0.44	23,409
2019	용산구	용문동	12,587	0.28	44,954
2019	용산구	이촌1동	29,255	2.86	10,229
