"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","경도","위도"
"3","2008","1103058","효창동","20.81432800","21.45997500","126.960713","37.5436889"
"6","2008","1101071","숭인2동","72.80962100","74.02761700","127.0195273","37.5749267"
"8","2008","1102052","소공동","423.51337900","424.74228500","126.9746802","37.5644921"
"9","2008","1105062","구의3동","133.85004000","131.66469800","127.0961417","37.5357391"
"103","2008","1111059","하계2동","36.93036500","37.57798900","127.0646016","37.6351662"
"7","2008","1102064","신당4동","47.60079800","50.10106800","127.015277","37.5566297"
"5","2008","1103063","이촌1동","78.77672400","79.07999500","126.9702107","37.5175452"
"10","2008","1109074","우이동","51.86797700","52.54861600","126.9989986","37.6619306"
"11","2008","1110064","도봉1동","67.51409100","68.45370400","127.0270249","37.6852966"
"12","2008","1111056","공릉2동","158.93094600","165.70109000","127.0918584","37.6314108"
"52","2008","1103064","이촌2동","14.35768900","14.90359300","126.9540649","37.5234571"
"76","2008","1104069","송정동","30.94326600","32.12595600","127.0629577","37.5537764"
"30","2008","1102065","신당5동","47.92539900","47.40491000","127.0213994","37.5631643"
"42","2008","1102067","황학동","42.29711800","58.62200700","127.0205839","37.5685588"
"59","2008","1101069","창신3동","8.22203600","8.42938100","127.012994","37.578808"
"46","2008","1106055","제기2동","66.56659700","68.03288900","127.03405","37.5840262"
"36","2008","1102061","신당1동","138.94303600","141.37536800","127.0137367","37.5652698"
"16","2008","1105055","중곡1동","54.05888600","56.21392600","127.0777479","37.5619104"
"75","2008","1104067","성수2가1동","279.10361700","283.90884800","127.0559597","37.536291"
"82","2008","1105057","중곡3동","59.37025800","60.99371300","127.0814009","37.5676251"
"94","2008","1104065","성수1가1동","76.99951300","79.71351400","127.0401648","37.5401785"
"86","2008","1105064","자양1동","73.47563400","75.22900900","127.0802498","37.5367375"
"67","2008","1104055","사근동","127.81439200","130.85350500","127.045359","37.5589836"
"175","2008","1111064","중계4동","55.01762200","55.74865200","127.0841682","37.6585831"
"81","2008","1105056","중곡2동","59.29593700","61.00611100","127.0840946","37.5587623"
"87","2008","1105065","자양2동","125.88336400","107.27143700","127.0824325","37.5307539"
"95","2008","1105053","화양동","227.07238300","233.25471700","127.0731746","37.5435197"
"1","2008","1101061","종로1.2.3.4가동","548.40582500","532.94100400","126.9892737","37.5777701"
"2","2008","1103053","남영동","68.38772500","70.09086100","126.9740814","37.5445003"
"4","2008","1103059","용문동","27.39004100","27.49965600","126.9584408","37.5381216"
"13","2008","1112071","진관동","31.59364800","43.84701600","126.9387277","37.64193"
"14","2008","1104054","마장동","118.72074700","120.31788700","127.0402895","37.5674822"
"15","2008","1104068","성수2가3동","341.42274600","345.38718600","127.0585584","37.5455156"
"18","2008","1105067","자양4동","75.39059800","76.42441300","127.0636013","37.5338801"
"27","2008","1102059","광희동","272.23769800","277.48857800","127.0029274","37.5655997"
"51","2008","1103065","이태원1동","57.70097000","62.89750500","126.9929244","37.5335249"
"53","2008","1101057","무악동","13.39145200","17.38267200","126.9582782","37.5773293"
"54","2008","1101067","창신1동","64.86269500","66.78885400","127.0142162","37.5732983"
"55","2008","1102060","을지로동","190.20879300","193.13236000","126.997044","37.5662578"
"56","2008","1101063","종로5.6가동","118.08910100","117.88826900","127.0041223","37.5731912"
"57","2008","1101066","명륜3가동","30.19306100","30.74984000","126.9932166","37.5872766"
"60","2008","1101070","숭인1동","18.18344900","19.17845800","127.0169173","37.5775773"
"61","2008","1101072","청운효자동","83.93686400","86.75714600","126.9690467","37.5847576"
"35","2008","1101064","이화동","98.90272500","99.27122600","127.0026466","37.5801301"
"37","2008","1103066","이태원2동","48.58240500","49.41549900","126.9923385","37.5416696"
"38","2008","1103070","보광동","40.95437400","42.40550000","127.0014156","37.525308"
"17","2008","1105063","광장동","97.80656200","100.42944400","127.103556","37.5475025"
"47","2008","1103069","서빙고동","171.73420000","175.44981200","126.9914626","37.5210901"
"48","2008","1108068","길음2동","71.67637100","74.32785800","127.0272226","37.6079289"
"49","2008","1106060","답십리1동","22.71127500","22.77418500","127.0546553","37.5717301"
"50","2008","1106063","답십리4동","46.28484600","47.26089200","127.0622753","37.5698142"
"33","2008","1103051","후암동","52.40836100","54.39491200","126.9805674","37.5502826"
"34","2008","1103052","용산2가동","82.32141400","81.34501500","126.9833537","37.5405637"
"45","2008","1105054","군자동","73.10075000","72.14212900","127.0735141","37.5533702"
"58","2008","1101068","창신2동","39.37118500","40.27556300","127.0104257","37.5759758"
"65","2008","1105060","구의1동","467.51215600","447.57089500","127.0859709","37.5409688"
"70","2008","1104058","응봉동","16.75337800","16.98230200","127.0345904","37.5505682"
"25","2008","1101060","가회동","60.03695500","59.50932700","126.9863189","37.583995"
"26","2008","1102058","장충동","95.49984000","97.90513800","127.0011254","37.5555108"
"28","2008","1102062","신당2동","60.58760700","66.11129200","127.0087901","37.5548782"
"29","2008","1102063","신당3동","72.36458500","75.06246200","127.0105912","37.5496752"
"31","2008","1102066","신당6동","39.23329900","38.94786500","127.0185893","37.560813"
"32","2008","1102068","중림동","72.36694600","68.93094000","126.9664592","37.5567614"
"39","2008","1103071","청파동","90.35147500","94.69338700","126.9666028","37.5483878"
"40","2008","1103072","원효로1동","69.13996900","66.91530200","126.9654422","37.5376452"
"41","2008","1103057","원효로2동","120.06150300","115.74790100","126.952627","37.5325935"
"43","2008","1105066","자양3동","181.92969500","195.52611000","127.0712358","37.5318573"
"44","2008","1104066","성수1가2동","209.51534400","217.08586600","127.0419006","37.5487201"
