,발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
7,2019,2019-01-02 10,주,수,1,0,0,0,0,서울,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,건설기계,보행자,955430.0,1952240.0,126.9952985,37.56844929
17,2019,2019-01-03 12,주,목,1,1,0,1,0,서울,노원구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,962122.0,1962574.0,127.0705398,37.66189171
18,2019,2019-01-03 17,주,목,1,0,0,0,0,서울,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,954851.0,1951572.0,126.9887834,37.56240025
47,2019,2019-01-08 04,야,화,1,0,0,0,0,서울,강서구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,944117.0,1950716.0,126.867315,37.5540963
110,2019,2019-01-14 17,주,월,1,0,0,0,0,서울,구로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,945828.0,1943562.0,126.8872128,37.48971867
120,2019,2019-01-16 04,야,수,1,0,0,0,0,서울,성동구,차량단독,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,없음,957987.0,1949576.0,127.0244051,37.54455817
130,2019,2019-01-16 22,야,수,1,0,0,0,0,서울,강남구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,961407.0,1945530.0,127.0633317,37.50823968
132,2019,2019-01-17 05,야,목,1,0,0,0,0,서울,강동구,차대사람,횡단중,횡단중,과속,교차로,교차로횡단보도내,승용차,보행자,969058.0,1948101.0,127.1497905,37.5317016
138,2019,2019-01-17 11,주,목,1,4,2,2,0,서울,동작구,차대차,추돌,추돌,과속,교차로,교차로내,승용차,승용차,953853.0,1942637.0,126.9780449,37.48181733
142,2019,2019-01-18 00,야,금,1,0,0,0,0,서울,구로구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,943085.0,1943620.0,126.8561816,37.49007643
147,2019,2019-01-18 10,주,금,1,2,0,2,0,서울,도봉구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,958964.0,1959934.0,127.034884,37.63796123
153,2019,2019-01-19 07,주,토,1,0,0,0,0,서울,구로구,차대차,기타,기타,안전거리 미확보,단일로,기타단일로,이륜차,승용차,946338.0,1944412.0,126.8929196,37.49740965
171,2019,2019-01-21 00,야,월,1,0,0,0,0,서울,구로구,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,이륜차,943093.0,1943401.0,126.856289,37.48810305
174,2019,2019-01-21 12,주,월,1,0,0,0,0,서울,금천구,차대사람,횡단중,횡단중,보행자 보호의무 위반,기타,기타,화물차,보행자,945810.0,1941615.0,126.8871526,37.47216896
186,2019,2019-01-22 13,주,화,1,1,1,0,0,서울,강남구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,화물차,959104.0,1945529.0,127.0372747,37.50813147
189,2019,2019-01-22 21,야,화,1,0,0,0,0,서울,금천구,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,947696.5,1939261.9,126.9086534,37.45106862
190,2019,2019-01-23 03,야,수,1,0,0,0,0,서울,종로구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,955745.0,1954622.0,126.9987214,37.58993392
198,2019,2019-01-24 00,야,목,1,0,0,0,0,서울,성동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,959688.0,1950590.0,127.0436045,37.55377364
212,2019,2019-01-25 04,야,금,1,1,1,0,0,서울,도봉구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,960281.0,1965423.0,127.049512,37.68749225
220,2019,2019-01-25 23,야,금,1,0,0,0,0,서울,도봉구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,958977.0,1961402.0,127.0349488,37.65119311
247,2019,2019-01-29 05,야,화,1,0,0,0,0,서울,중구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,955908.0,1952047.0,127.0007227,37.56673275
257,2019,2019-01-30 00,야,수,1,0,0,0,0,서울,용산구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,953317.0,1948358.0,126.9716193,37.53335531
263,2019,2019-01-30 11,주,수,1,0,0,0,0,서울,은평구,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,보행자,948778.0,1957704.0,126.9195936,37.61735061
270,2019,2019-01-30 18,야,수,1,0,0,0,0,서울,양천구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,941204.0,1948103.0,126.8345465,37.53036403
274,2019,2019-01-31 00,야,목,1,2,1,1,0,서울,구로구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,보행자,940264.0,1943538.0,126.8242793,37.48915915
301,2019,2019-02-03 08,주,일,1,2,2,0,0,서울,영등포구,차대차,기타,기타,신호위반,단일로,기타단일로,승용차,승용차,946793.0,1945276.0,126.8980042,37.50522336
317,2019,2019-02-06 23,야,수,1,0,0,0,0,서울,송파구,차대사람,횡단중,횡단중,신호위반,기타,기타,원동기장치자전거,보행자,966177.0,1943929.0,127.1173753,37.49399631
319,2019,2019-02-07 03,야,목,1,0,0,0,0,서울,구로구,차대사람,횡단중,횡단중,과속,단일로,기타단일로,승용차,보행자,944957.0,1943163.0,126.8773906,37.48607091
329,2019,2019-02-08 06,주,금,1,0,0,0,0,서울,마포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,952512.0,1950360.0,126.9623787,37.55135863
342,2019,2019-02-11 19,야,월,1,0,0,0,0,서울,종로구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,952632.0,1955433.0,126.9634092,37.59708856
344,2019,2019-02-12 00,야,화,1,0,0,0,0,서울,강남구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,이륜차,958931.0,1942954.0,127.0354612,37.48491434
347,2019,2019-02-12 18,야,화,1,0,0,0,0,서울,강남구,차대차,측면충돌,측면충돌,기타,단일로,기타단일로,승용차,승용차,960592.0,1947218.0,127.0540199,37.5234198
352,2019,2019-02-13 04,야,수,1,0,0,0,0,서울,강남구,차대사람,차도통행중,차도통행중,과속,단일로,기타단일로,승용차,보행자,959294.0,1944810.0,127.0394643,37.50165926
384,2019,2019-02-15 21,야,금,1,0,0,0,0,서울,성북구,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,957045.0,1955925.0,127.0133696,37.60173973
408,2019,2019-02-19 02,야,화,1,0,0,0,0,서울,영등포구,차량단독,기타,기타,안전운전 의무 불이행,기타,기타,승용차,없음,945626.0,1946803.0,126.8846882,37.51891839
443,2019,2019-02-24 06,주,일,1,0,0,0,0,서울,구로구,차량단독,공작물충돌,공작물충돌,기타,단일로,기타단일로,승용차,없음,941822.0,1945176.0,126.8417724,37.50402205
445,2019,2019-02-25 06,주,월,1,0,0,0,0,서울,성북구,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,건설기계,자전거,960330.0,1957666.0,127.0504893,37.61757933
