,gid,2030val,layer,geometry
0,ㅼ궗579454,77.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0236596805017 37.50691460153038, 127.0236539531824 37.50781593584272, 127.0247853808014 37.50782049310654, 127.0247910945184 37.50691915864669, 127.0236596805017 37.50691460153038)))"
1,ㅼ궗613448,66.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0621594802777 37.50165542657268, 127.0621542168536 37.50255676653428, 127.0632855711784 37.50256095453373, 127.0632908210034 37.50165961443658, 127.0621594802777 37.50165542657268)))"
3,ㅼ궗583456,227.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.028173992021 37.50873543463953, 127.0281683186059 37.50963676926252, 127.0292997744461 37.5096412834718, 127.0293054342575 37.5087399487027, 127.028173992021 37.50873543463953)))"
4,ㅼ궗592432,85.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0384901305853 37.48714356729373, 127.0384845855345 37.48804490654473, 127.0396157172986 37.48804931978734, 127.0396212487602 37.48714798039347, 127.0384901305853 37.48714356729373)))"
5,ㅼ궗597458,29.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0440032398832 37.51060031848404, 127.0439977564321 37.51150165484342, 127.0451292429562 37.51150601761078, 127.0451347128023 37.51060468111019, 127.0440032398832 37.51060031848404)))"
7,ㅼ궗638410,72.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0906299955617 37.4675057269306, 127.0906250804458 37.46840707543532, 127.0917559240822 37.46841098774657, 127.0917608256217 37.46750963911518, 127.0906299955617 37.4675057269306)))"
9,ㅼ궗585454,157.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0304481684071 37.5069417816833, 127.0304425227024 37.50784311687538, 127.0315739518394 37.50784760911904, 127.0315795839416 37.50694627378157, 127.0304481684071 37.5069417816833)))"
10,ㅼ궗628425,21.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0792459202812 37.48098620366076, 127.079240866026 37.48188754880314, 127.0803719111636 37.48189157128367, 127.0803769518333 37.48099022601109, 127.0792459202812 37.48098620366076)))"
11,ㅼ궗584464,13.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0292601487068 37.51595062297428, 127.0292544868782 37.51685195663444, 127.0303860518217 37.51685646117246, 127.0303917000418 37.51595512736651, 127.0292601487068 37.51595062297428)))"
13,ㅼ궗581459,158.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0258940056778 37.51143037657538, 127.0258883042937 37.51233171048925, 127.0270198004424 37.51233624681374, 127.0270254882211 37.51143491275307, 127.0258940056778 37.51143037657538)))"
14,ㅼ궗603445,45.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.050862282818 37.49890893544823, 127.0508568841243 37.4998102744506, 127.051988195282 37.49981457038064, 127.0519935803785 37.49891323123921, 127.050862282818 37.49890893544823)))"
15,ㅼ궗636413,195.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0883535086325 37.47020191443334, 127.0883485657034 37.47110326226849, 127.0894794496343 37.47110719660519, 127.0894843789851 37.47020584864266, 127.0883535086325 37.47020191443334)))"
17,ㅼ궗586459,34.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0315514209215 37.51145294908283, 127.0315457875648 37.51235428372728, 127.0326772849742 37.51235876585949, 127.0326829047254 37.51145743107001, 127.0315514209215 37.51145294908283)))"
18,ㅼ궗592435,133.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0384734946919 37.48984758463109, 127.0384679489 37.49074892346641, 127.0395991214354 37.49075333713763, 127.0396046536362 37.48985199815944, 127.0384734946919 37.48984758463109)))"
19,ㅼ궗591462,101.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0371921457075 37.51417925632022, 127.0371865796347 37.51508059127066, 127.0383181191101 37.51508501964037, 127.0383236715755 37.5141836845466, 127.0371921457075 37.51417925632022)))"
20,ㅼ궗601437,49.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0486430868249 37.49168959659308, 127.0486376628699 37.49259093642461, 127.0497688647853 37.49259525290406, 127.049774275148 37.49169391293282, 127.0486430868249 37.49168959659308)))"
21,ㅼ궗596460,50.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0428607728512 37.51239861731711, 127.0428552753054 37.5132999532578, 127.043986788797 37.51330432714646, 127.0439922727367 37.51240299106423, 127.0428607728512 37.51239861731711)))"
22,ㅼ궗612440,78.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0610703475123 37.49444050428251, 127.061065072369 37.49534184521625, 127.0621963176831 37.49534604296336, 127.062201579232 37.49444470189373, 127.0610703475123 37.49444050428251)))"
23,ㅼ궗579456,154.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0236482256079 37.50871727001643, 127.0236424977783 37.50961860405151, 127.024773952604 37.50962316161032, 127.02477966683 37.50872182742775, 127.0236482256079 37.50871727001643)))"
24,ㅼ궗595445,159.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0418119110417 37.49887417912099, 127.0418064035705 37.49977551699832, 127.0429377127875 37.49977989959762, 127.0429432066615 37.49887856157844, 127.0418119110417 37.49887417912099)))"
25,ㅼ궗606445,10.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0542561762184 37.49892179032114, 127.0542508183164 37.49982312973962, 127.0553821301919 37.49982739316856, 127.0553874744966 37.49892605361207, 127.0542561762184 37.49892179032114)))"
26,ㅼ궗617442,207.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0667160938734 37.49626406710284, 127.066710886238 37.49716540843551, 127.0678421599083 37.4971695522908, 127.0678473539483 37.49626821082401, 127.0667160938734 37.49626406710284)))"
27,ㅼ궗647409,153.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.1008122666238 37.46663919725357, 127.1008074739097 37.46754054702411, 127.1019383059126 37.46754436181667, 127.1019430850509 37.46664301192261, 127.1008122666238 37.46663919725357)))"
28,ㅼ궗642424,69.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0950852460631 37.48014018427914, 127.0950803822212 37.48104153135114, 127.0962114168613 37.48104540212983, 127.0962162671183 37.48014405493252, 127.0950852460631 37.48014018427914)))"
29,ㅼ궗585446,156.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0304933249931 37.499731095157, 127.0304876812998 37.50063243145789, 127.031619001634 37.50063692253851, 127.0316246317297 37.49973558609225, 127.0304933249931 37.499731095157)))"
30,ㅼ궗597455,10.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0440196887712 37.50789630857448, 127.0440142060528 37.50879764534957, 127.0451456517635 37.50880200769333, 127.0451511208788 37.50790067077705, 127.0440196887712 37.50789630857448)))"
31,ㅼ궗648409,131.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.1019430850509 37.46664301192261, 127.1019383059126 37.46754436181667, 127.1030691381284 37.46754816578785, 127.1030739036907 37.46664681577063, 127.1019430850509 37.46664301192261)))"
32,ㅼ궗593437,13.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0395935889882 37.49165467597729, 127.0395880562946 37.49255601467839, 127.0407192562604 37.49256041780456, 127.0407247753617 37.49165907896095, 127.0395935889882 37.49165467597729)))"
33,ㅼ궗599465,17.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0462279871733 37.5169183864786, 127.0462225292307 37.51781972215006, 127.0473541114939 37.51782406422457, 127.0473595558271 37.5169227284126, 127.0462279871733 37.5169183864786)))"
34,ㅼ궗608451,155.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0564867852065 37.50433834215661, 127.0564814530742 37.50523968101962, 127.0576128470216 37.50524392360498, 127.057618165553 37.50434258460466, 127.0564867852065 37.50433834215661)))"
35,ㅼ궗618440,81.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0678577413341 37.49446552747496, 127.0678525477568 37.49536686921873, 127.068983794468 37.49537100197373, 127.0689889744509 37.49446966009619, 127.0678577413341 37.49446552747496)))"
36,ㅼ궗576468,83.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0201846628286 37.51951952669534, 127.020178891104 37.52042085862202, 127.0213105084527 37.52042545047588, 127.0213162665665 37.5195241184006, 127.0201846628286 37.51951952669534)))"
37,ㅼ궗590467,191.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0360327192011 37.51868148990252, 127.0360271382781 37.51958282401629, 127.0371587455515 37.51958726394394, 127.0371643128641 37.51868592968648, 127.0360327192011 37.51868148990252)))"
38,ㅼ궗596442,246.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0429596868154 37.49617454668949, 127.0429541936755 37.49707588512435, 127.0440854623475 37.49708025646552, 127.0440909418921 37.49617891788915, 127.0429596868154 37.49617454668949)))"
39,ㅼ궗596475,16.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0427782839447 37.52591864187621, 127.0427727827243 37.52681997573811, 127.0439045003824 37.52682435175053, 127.0439099879874 37.52592301774703, 127.0427782839447 37.52591864187621)))"
40,ㅼ궗596459,56.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0428662701523 37.51149728123785, 127.0428607728512 37.51239861731711, 127.0439922727367 37.51240299106423, 127.0439977564321 37.51150165484342, 127.0428662701523 37.51149728123785)))"
41,ㅼ궗615445,79.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0644378692409 37.49895976993794, 127.0644326337148 37.4998611105858, 127.0655639477109 37.49986527651108, 127.0655691696397 37.49896393572837, 127.0644378692409 37.49895976993794)))"
43,ㅼ궗611446,27.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0599073800683 37.49984433854711, 127.0599020899172 37.50074567851357, 127.0610334165748 37.50074988791012, 127.061038693128 37.49984854780742, 127.0599073800683 37.49984433854711)))"
44,ㅼ궗598443,112.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0452167312636 37.49708461697409, 127.0452112650709 37.49798595555306, 127.0463425478264 37.49799030536983, 127.0463480004232 37.49708896665006, 127.0452167312636 37.49708461697409)))"
45,ㅼ궗646408,124.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0996862544863 37.46573402197849, 127.0996814484103 37.46663537176352, 127.1008122666238 37.46663919725357, 127.1008170591245 37.46573784734468, 127.0996862544863 37.46573402197849)))"
46,ㅼ궗581454,88.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0259225087896 37.50692370492668, 127.025916808675 37.50782503953367, 127.0270482368025 37.50782957512413, 127.0270539233146 37.50692824037035, 127.0259225087896 37.50692370492668)))"
47,ㅼ궗631424,75.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0826440288862 37.48009689256178, 127.0826390156106 37.4809982382322, 127.0837700478344 37.48100222810299, 127.0837750475253 37.4801008823034, 127.0826440288862 37.48009689256178)))"
48,ㅼ궗582446,20.0,"강남구 20,30대 인구수","MULTIPOLYGON (((127.0270994062941 37.49971755734998, 127.0270937218079 37.50061889321267, 127.0282250413862 37.50062341679497, 127.0282307122747 37.49972208078586, 127.0270994062941 37.49971755734998)))"
