,gid,TL_cnt
0,다사542434,1
1,다사547430,1
2,다사549419,1
3,다사551417,1
4,다사564435,1
5,다사566432,1
6,다사567450,1
7,다사568465,1
8,다사569441,1
9,다사570474,1
10,다사572430,1
11,다사572439,1
12,다사573440,1
13,다사574471,1
14,다사575434,1
15,다사575464,1
16,다사575465,1
17,다사576439,1
18,다사576472,1
19,다사577436,1
20,다사577455,1
21,다사578453,1
22,다사578455,1
23,다사579427,1
24,다사579466,1
25,다사580447,1
26,다사581443,1
27,다사581444,1
28,다사581448,1
29,다사583441,1
30,다사586434,1
31,다사587462,1
32,다사587471,1
33,다사589426,1
34,다사589446,2
35,다사589455,1
36,다사590447,1
37,다사590448,1
38,다사591453,1
39,다사591457,1
40,다사592441,1
41,다사592475,1
42,다사594467,1
43,다사595463,1
44,다사596449,1
45,다사601450,1
46,다사603464,1
47,다사606456,1
48,다사608454,1
49,다사608468,2
50,다사609443,1
51,다사610452,1
52,다사611453,1
53,다사612444,1
54,다사613445,1
55,다사613446,1
56,다사619457,1
57,다사648432,1
