,gid,geometry
0,다사579454,"MULTIPOLYGON (((127.0236596805017 37.50691460153038, 127.0236539531824 37.50781593584272, 127.0247853808014 37.50782049310654, 127.0247910945184 37.50691915864669, 127.0236596805017 37.50691460153038)))"
1,다사613448,"MULTIPOLYGON (((127.0621594802777 37.50165542657268, 127.0621542168536 37.50255676653428, 127.0632855711784 37.50256095453373, 127.0632908210034 37.50165961443658, 127.0621594802777 37.50165542657268)))"
2,다사585452,"MULTIPOLYGON (((127.0304594590621 37.50513911088333, 127.0304538138603 37.50604044635261, 127.031585215793 37.50604493830549, 127.0315908473936 37.50514360269084, 127.0304594590621 37.50513911088333)))"
3,다사583456,"MULTIPOLYGON (((127.028173992021 37.50873543463953, 127.0281683186059 37.50963676926252, 127.0292997744461 37.5096412834718, 127.0293054342575 37.5087399487027, 127.028173992021 37.50873543463953)))"
4,다사592432,"MULTIPOLYGON (((127.0384901305853 37.48714356729373, 127.0384845855345 37.48804490654473, 127.0396157172986 37.48804931978734, 127.0396212487602 37.48714798039347, 127.0384901305853 37.48714356729373)))"
5,다사597458,"MULTIPOLYGON (((127.0440032398832 37.51060031848404, 127.0439977564321 37.51150165484342, 127.0451292429562 37.51150601761078, 127.0451347128023 37.51060468111019, 127.0440032398832 37.51060031848404)))"
6,다사595438,"MULTIPOLYGON (((127.0418504564719 37.49256481009992, 127.0418449507177 37.49346614894717, 127.0429761647674 37.49347053055355, 127.0429816569287 37.49256919156446, 127.0418504564719 37.49256481009992)))"
7,다사638410,"MULTIPOLYGON (((127.0906299955617 37.4675057269306, 127.0906250804458 37.46840707543532, 127.0917559240822 37.46841098774657, 127.0917608256217 37.46750963911518, 127.0906299955617 37.4675057269306)))"
8,다사575466,"MULTIPOLYGON (((127.0190646292458 37.51771226017743, 127.0190588444257 37.51861359223248, 127.0201904342962 37.51861819463001, 127.0201962055067 37.51771686242601, 127.0190646292458 37.51771226017743)))"
9,다사585454,"MULTIPOLYGON (((127.0304481684071 37.5069417816833, 127.0304425227024 37.50784311687538, 127.0315739518394 37.50784760911904, 127.0315795839416 37.50694627378157, 127.0304481684071 37.5069417816833)))"
10,다사628425,"MULTIPOLYGON (((127.0792459202812 37.48098620366076, 127.079240866026 37.48188754880314, 127.0803719111636 37.48189157128367, 127.0803769518333 37.48099022601109, 127.0792459202812 37.48098620366076)))"
11,다사584464,"MULTIPOLYGON (((127.0292601487068 37.51595062297428, 127.0292544868782 37.51685195663444, 127.0303860518217 37.51685646117246, 127.0303917000418 37.51595512736651, 127.0292601487068 37.51595062297428)))"
12,다사587471,"MULTIPOLYGON (((127.0326154511867 37.52227343939564, 127.0326098284308 37.52317477252176, 127.0337414894042 37.52317924555231, 127.0337470985473 37.52227791228142, 127.0326154511867 37.52227343939564)))"
13,다사581459,"MULTIPOLYGON (((127.0258940056778 37.51143037657538, 127.0258883042937 37.51233171048925, 127.0270198004424 37.51233624681374, 127.0270254882211 37.51143491275307, 127.0258940056778 37.51143037657538)))"
14,다사603445,"MULTIPOLYGON (((127.050862282818 37.49890893544823, 127.0508568841243 37.4998102744506, 127.051988195282 37.49981457038064, 127.0519935803785 37.49891323123921, 127.050862282818 37.49890893544823)))"
15,다사636413,"MULTIPOLYGON (((127.0883535086325 37.47020191443334, 127.0883485657034 37.47110326226849, 127.0894794496343 37.47110719660519, 127.0894843789851 37.47020584864266, 127.0883535086325 37.47020191443334)))"
16,다사598450,"MULTIPOLYGON (((127.045178462801 37.50339398411722, 127.0451729949037 37.50429532172631, 127.046304372848 37.50429967252877, 127.0463098271451 37.50339833477886, 127.045178462801 37.50339398411722)))"
17,다사586459,"MULTIPOLYGON (((127.0315514209215 37.51145294908283, 127.0315457875648 37.51235428372728, 127.0326772849742 37.51235876585949, 127.0326829047254 37.51145743107001, 127.0315514209215 37.51145294908283)))"
18,다사592435,"MULTIPOLYGON (((127.0384734946919 37.48984758463109, 127.0384679489 37.49074892346641, 127.0395991214354 37.49075333713763, 127.0396046536362 37.48985199815944, 127.0384734946919 37.48984758463109)))"
