gid,acci_cnt,2030val,과속방지턱,무인카메라,신호등,버스아침승차,버스아침하차,버스저녁승차,버스저녁하차,관광여가오락,부동산,생활서비스,소매점,숙박,스포츠,음식점,학교,교육,출근시간자전거,퇴근시간자전거,지하철아침승차,지하철아침하차,지하철저녁승차,지하철저녁하차
다사542434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.14666666666666667,0.18373205741626794,0.0,0.0,0.0,0.0
다사547430,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.12248803827751197,0.0,0.0,0.0,0.0
다사549419,1.0,0.32682926829268294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0009569377990430623,0.0,0.0,0.0,0.0
다사551417,1.0,0.12682926829268293,0.0,0.0,0.0,0.2176741903706571,0.6420147929145417,0.24711359408809003,0.43077323375576226,0.0,0.23076923076923078,0.034482758620689655,0.03389830508474576,0.0,0.0,0.014925373134328358,0.0,0.0,0.0033333333333333322,0.0,0.0,0.0,0.0,0.0
다사564435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.04477611940298507,0.0,0.0,0.04666666666666666,0.0430622009569378,0.0,0.0,0.0,0.0
다사566432,1.0,0.04390243902439024,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.02333333333333333,0.02966507177033493,0.0,0.0,0.0,0.0
다사567450,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.034482758620689655,0.01694915254237288,0.0,0.0,0.08955223880597014,0.0,0.16666666666666666,0.05333333333333332,0.10526315789473685,0.0,0.0,0.0,0.0
다사568465,1.0,0.25365853658536586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,1.0,0.0,0.2533333333333333,0.5856459330143541,0.0,0.0,0.0,0.0
다사569441,1.0,0.0,0.0,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.01694915254237288,0.0,0.0,0.029850746268656716,0.0,0.0,0.029999999999999992,0.0430622009569378,0.0,0.0,0.0,0.0
다사570474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2733333333333333,0.523444976076555,0.0,0.0,0.0,0.0
다사572430,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.04477611940298507,0.0,0.05555555555555555,0.07666666666666666,0.04401913875598087,0.0,0.0,0.0,0.0
다사572439,1.0,0.40487804878048783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.06896551724137931,0.05084745762711865,0.5,0.0,0.2835820895522388,0.0,0.05555555555555555,0.07999999999999999,0.05933014354066986,0.0,0.0,0.0,0.0
다사573440,1.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.03389830508474576,1.0,0.0,0.07462686567164178,0.0,0.0,0.07999999999999999,0.05933014354066986,0.0,0.0,0.0,0.0
다사574471,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33666666666666667,0.6650717703349283,0.0,0.0,0.0,0.0
다사575434,1.0,0.3804878048780488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.13793103448275862,0.05084745762711865,0.0,0.0,0.029850746268656716,0.0,0.0,0.04333333333333333,0.022966507177033496,0.0,0.0,0.0,0.0
다사575464,1.0,0.0,0.0,0.0,0.7272727272727273,0.027565790871978597,0.2744496135530105,0.08931492727398331,0.17902808696935296,0.0,0.0,0.0,0.0,0.0,0.0,0.05970149253731343,0.0,0.0,0.5933333333333333,1.0,0.0,0.0,0.0,0.0
다사575465,1.0,0.0,0.0,0.0,0.0,0.05093483171793309,0.13387991186087334,0.09918384137333211,0.05421866161491955,0.0,0.0,0.10344827586206896,0.03389830508474576,0.0,0.0,0.19402985074626866,0.0,0.0,0.19999999999999998,0.3244019138755981,0.0,0.0,0.0,0.0
다사576439,1.0,0.5414634146341464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.06896551724137931,0.0,0.0,0.0,0.04477611940298507,0.0,0.0,0.039999999999999994,0.02870813397129187,0.0,0.0,0.0,0.0
다사576472,1.0,0.23414634146341462,0.0,0.0,0.09090909090909091,0.08861409717826274,0.08869163013621552,0.361730832637674,0.10438064867514939,0.0,0.0,0.034482758620689655,0.03389830508474576,0.0,0.0,0.014925373134328358,0.0,0.1111111111111111,0.13,0.23636363636363636,0.0,0.0,0.0,0.0
다사577436,1.0,0.4926829268292683,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.05084745762711865,0.0,0.0,0.029850746268656716,0.0,0.0,0.14333333333333334,0.10239234449760766,0.0,0.0,0.0,0.0
다사577455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.15384615384615385,0.3103448275862069,0.06779661016949153,0.5,0.0,0.1791044776119403,0.0,0.0,0.3866666666666666,0.5674641148325359,0.0,0.0,0.0,0.0
다사577455,1.0,0.35609756097560974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.15384615384615385,0.3103448275862069,0.06779661016949153,0.5,0.0,0.1791044776119403,0.0,0.0,0.3866666666666666,0.5674641148325359,0.0,0.0,0.0,0.0
다사578453,1.0,0.0,0.0,0.0,0.5454545454545454,0.09435866246150863,0.9260448050032651,0.218857831440757,0.43233281696198245,0.0,0.07692307692307693,0.13793103448275862,0.05084745762711865,0.0,0.0,0.1791044776119403,0.0,0.0,0.13999999999999999,0.18277511961722487,0.0,0.0,0.0,0.0
다사578453,1.0,0.04878048780487805,0.0,0.0,0.5454545454545454,0.09435866246150863,0.9260448050032651,0.218857831440757,0.43233281696198245,0.0,0.07692307692307693,0.13793103448275862,0.05084745762711865,0.0,0.0,0.1791044776119403,0.0,0.0,0.13999999999999999,0.18277511961722487,0.0,0.0,0.0,0.0
다사578455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.15384615384615385,0.13793103448275862,0.03389830508474576,0.0,0.0,0.7014925373134329,0.0,0.05555555555555555,0.3866666666666666,0.5674641148325359,0.0,0.0,0.0,0.0
다사579427,1.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.053588516746411484,0.0,0.0,0.0,0.0
다사579466,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.10344827586206896,0.03389830508474576,0.0,0.0,0.014925373134328358,0.0,0.0,0.18,0.2976076555023923,0.0,0.0,0.0,0.0
다사580447,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.10344827586206896,0.05084745762711865,0.0,0.0,0.582089552238806,0.0,0.16666666666666666,0.39333333333333326,0.4296650717703349,0.0,0.0,0.0,0.0
다사581443,1.0,0.0,0.0,0.0,0.0,1.0,0.875084132787467,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.2033333333333333,0.14641148325358852,0.0,0.0,0.0,0.0
다사581444,1.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.3333333333333333,0.07692307692307693,0.20689655172413793,0.11864406779661017,0.0,0.0,0.34328358208955223,0.0,0.5555555555555556,0.06666666666666665,0.06411483253588517,0.0,0.0,0.0,0.0
다사581448,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.3333333333333333,0.07692307692307693,0.1724137931034483,0.1694915254237288,0.0,0.0,0.47761194029850745,0.0,0.0,0.04999999999999999,0.048803827751196176,0.0,0.0,0.0,0.0
다사583441,1.0,0.0,0.0,0.0,1.0,0.10634700729329422,0.437848190186821,0.2619517376551168,0.22438126472561673,0.6666666666666666,0.0,0.3793103448275862,0.0847457627118644,0.0,0.0,0.05970149253731343,0.0,0.05555555555555555,0.6999999999999998,0.4660287081339713,0.0,0.0,0.0,0.0
다사583441,1.0,0.09268292682926829,0.0,0.0,1.0,0.10634700729329422,0.437848190186821,0.2619517376551168,0.22438126472561673,0.6666666666666666,0.0,0.3793103448275862,0.0847457627118644,0.0,0.0,0.05970149253731343,0.0,0.05555555555555555,0.6999999999999998,0.4660287081339713,0.0,0.0,0.0,0.0
다사586434,1.0,0.0,0.0,0.0,0.4545454545454546,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.01694915254237288,0.0,0.0,0.04477611940298507,0.0,0.0,0.5266666666666665,0.3186602870813397,0.0,0.0,0.0,0.0
다사587462,1.0,0.04390243902439024,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.06896551724137931,0.06779661016949153,0.0,0.0,0.2835820895522388,0.0,0.0,0.06999999999999999,0.11387559808612441,0.0,0.0,0.0,0.0
다사587471,1.0,0.0,0.0,0.0,0.09090909090909091,0.027891610398912095,0.27467830184979625,0.16760305477695425,0.1019677936013662,0.3333333333333333,0.0,0.034482758620689655,0.05084745762711865,0.0,0.0,0.014925373134328358,0.0,0.0,0.37,0.4631578947368421,0.0,0.0,0.0,0.0
다사589426,1.0,0.0,0.0,0.0,0.2272727272727273,0.17008387178180634,0.1337826536197116,0.19268400555650167,0.09604022398555283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37999999999999995,0.30239234449760766,0.0,0.0,0.0,0.0
다사589446,2.0,0.0,0.0,0.0,0.0,0.023232501458109695,0.10086934291276725,0.11995874428136624,0.07336626713420752,0.0,0.07692307692307693,0.034482758620689655,0.05084745762711865,0.0,0.0,0.014925373134328358,0.0,0.0,0.18666666666666668,0.10717703349282297,0.0,0.0,0.0,0.0
다사589455,1.0,0.2926829268292683,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,0.13559322033898305,0.0,0.0,0.22388059701492538,0.0,0.05555555555555555,0.14666666666666667,0.23349282296650717,0.0,0.0,0.0,0.0
다사590447,1.0,0.0,0.0,0.0,0.5,0.6003811626907432,0.91295607650167,0.5867309273580759,0.6320583767191654,0.3333333333333333,0.07692307692307693,0.06896551724137931,0.05084745762711865,0.0,0.0,0.23880597014925373,0.0,0.0,0.09333333333333332,0.052631578947368425,1.0,1.0,1.0,1.0
다사590448,1.0,0.0,0.0,0.0,0.18181818181818182,0.3609554631070363,1.0,0.33564403468451826,0.5255265642749612,0.3333333333333333,0.23076923076923078,0.3448275862068966,0.11864406779661017,0.5,0.0,0.11940298507462686,0.0,0.0,0.15333333333333332,0.1090909090909091,0.0,0.0,0.0,0.0
다사591453,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.24137931034482757,0.05084745762711865,0.0,0.0,0.14925373134328357,0.0,0.0,0.04333333333333333,0.06507177033492824,0.0,0.0,0.0,0.0
다사591457,1.0,0.44878048780487806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.10344827586206896,0.05084745762711865,0.0,0.0,0.029850746268656716,0.0,0.0,0.04666666666666666,0.0784688995215311,0.0,0.0,0.0,0.0
다사592441,1.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,1.0,0.15384615384615385,0.13793103448275862,0.01694915254237288,0.0,0.5,0.14925373134328357,0.0,0.05555555555555555,0.2533333333333333,0.13779904306220095,0.0,0.0,0.0,0.0
다사592475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.07692307692307693,0.10344827586206896,0.03389830508474576,0.0,0.5,0.40298507462686567,0.0,0.1111111111111111,0.18666666666666668,0.3569377990430622,0.0,0.0,0.0,0.0
