gid,acci_cnt,2030val,신호등,버스저녁하차,생활서비스,소매점,음식점,퇴근시간자전거
다사608384,0,0,2,691.0833333,4,2,3,0
다사608385,0,0,6,300.25,0,4,6,0
다사613376,0,0,5,268.3333333,0,0,0,0
다사616373,0,0,4,13,0,0,0,0
다사609383,0,0,1,0,0,0,3,0
다사625387,0,0,1,0,0,0,0,0
다사620398,0,0,4,154.7291667,0,0,0,1
다사569399,0,0,2,117.2166667,1,0,0,1
다사630403,0,0,2,0,0,12,1,1
다사621398,0,0,3,0,0,0,0,1
다사628400,0,0,3,0,0,0,0,1
다사619407,0,0,2,0,0,0,0,1
다사629402,0,0,1,0,0,0,0,1
다사621399,0,0,1,262.875,0,0,2,2
다사630402,0,0,3,74.66666667,0,0,0,2
다사628401,0,0,5,59.2,0,0,0,2
다사619398,0,0,1,32.20833333,0,0,0,2
다사637403,0,0,2,1,0,0,0,2
다사637405,0,0,11,0,0,0,0,2
다사630401,0,0,1,0,0,0,0,2
다사628402,0,0,1,0,0,0,0,2
다사631402,0,0,1,0,0,0,0,2
다사633403,0,0,6,0,0,1,0,3
다사618397,0,0,1,0,0,0,4,3
다사619397,0,0,2,0,0,0,0,3
다사547400,0,0,2,0,0,0,0,3
다사546402,0,0,1,0,0,0,0,3
다사546410,0,0,5,0,1,0,3,4
다사630405,0,0,3,0,0,0,0,4
다사546411,0,0,3,0,0,0,0,4
다사573401,0,0,2,0,0,0,0,4
다사618398,0,0,2,0,0,0,0,4
다사547405,0,0,1,0,0,0,0,4
다사641407,0,38,1,53.83333333,0,0,0,5
다사579415,0,25,2,0,0,1,1,5
다사638412,0,22,3,0,3,3,1,5
다사642407,0,0,8,440.75,0,0,0,5
다사653411,0,0,4,291.5637755,0,0,0,5
다사639412,0,0,3,0,0,0,0,5
다사569398,0,151,2,0,0,0,0,6
다사563423,0,119,2,0,1,3,2,6
다사563424,0,96,2,540.1666667,4,2,2,6
다사547408,0,0,3,159.3425926,0,0,0,6
다사663411,0,0,2,0,5,24,5,6
다사641414,0,0,1,0,2,1,1,6
다사640406,0,0,1,0,0,0,0,6
다사547406,0,0,1,0,0,0,0,6
다사557421,0,11,1,0,1,5,1,7
다사547409,0,9,2,0,0,0,2,7
다사558421,0,6,2,768.5833333,9,11,7,7
다사558420,0,0,3,594.8958333,6,2,7,7
다사662409,0,0,1,63.13888889,2,0,0,7
다사662408,0,0,6,0,0,0,0,7
다사558418,0,46,1,510.8333333,0,0,0,8
다사641409,0,0,12,1335.916667,0,0,0,8
다사653407,0,0,8,1154.333333,0,0,0,8
다사579408,0,0,3,0,1,2,0,8
다사653406,0,0,8,0,0,0,0,8
다사578408,0,0,1,0,0,0,0,8
다사647409,0,153,10,415.5416667,1,3,3,9
다사614395,0,76,4,33.83333333,1,1,0,9
다사653414,0,51,3,0,0,1,0,9
다사654413,0,43,2,0,0,0,2,9
다사552417,0,0,4,0,0,2,2,9
다사590402,0,0,2,0,0,0,0,9
다사543415,0,84,3,0,0,1,0,10
다사560419,0,61,1,805.4583333,0,0,0,10
다사542416,0,49,4,0,0,0,0,10
다사563421,0,47,6,1065.677778,0,0,1,10
다사564421,0,0,6,416.5416667,0,0,0,10
다사577409,0,0,2,0,1,0,0,10
다사550417,0,0,1,0,1,0,0,10
다사542415,0,0,2,0,0,0,0,10
다사555416,0,0,2,0,0,0,0,10
다사546409,0,0,1,0,0,0,0,10
다사588404,0,16,2,0,0,0,2,11
다사616396,0,7,1,0,0,1,1,11
다사611417,0,0,2,0,0,0,0,11
다사575403,0,0,1,0,0,0,0,11
다사552424,0,132,8,2686.944444,6,2,4,12
다사551424,0,76,1,2603.916667,1,1,0,12
다사577408,0,0,6,216.0833333,2,0,27,12
