gid,acci_cnt,2030val,과속방지턱,무인카메라,신호등,버스아침승차,버스아침하차,버스저녁승차,버스저녁하차,관광여가오락,부동산,생활서비스,소매점,숙박,스포츠,음식점,학교,교육,출근시간자전거,퇴근시간자전거,지하철아침승차,지하철아침하차,지하철저녁승차,지하철저녁하차
다사542434,0.5,0,0,0,0,0,0,0,0,0,0,0.039215686,0.005830904,0,0,0,0,0,0.118556701,0.0891748,0,0,0,0
다사547430,0.5,0,0,0,0,0,0,0,0,0,0,0.058823529,0.014577259,0,0,0,0,0,0.136597938,0.060780834,0,0,0,0
다사549419,0.5,0.067269076,0,0,0,0,0,0,0,0,0,0,0.002915452,0,0,0,0,0,0.005154639,0.004436557,0,0,0,0
다사551417,0.5,0.026104418,0,0,0,0.080009402,0.268384678,0.186547784,0.430229203,0,0.107142857,0.019607843,0.005830904,0,0,0.003984064,0,0,0.007731959,0.003992902,0,0,0,0
다사564435,0.5,0,0,0,0,0,0,0,0,0,0,0.039215686,0,0,0,0.011952191,0,0,0.041237113,0.023957409,0,0,0,0
다사566432,0.5,0.009036145,0,0,0.1,0,0,0,0,0,0.035714286,0,0.014577259,0,0,0,0,0,0.023195876,0.017746229,0,0,0,0
다사567450,0.5,0,0,0,0,0,0,0,0,0.076923077,0,0.019607843,0.002915452,0,0,0.023904382,0,0.057692308,0.046391753,0.052795031,0,0,0,0
다사568465,0.5,0.052208835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003984064,0.5,0,0.201030928,0.275510204,0,0,0,0
다사569441,0.5,0,0,0,0.233333333,0,0,0,0,0,0,0.019607843,0.002915452,0,0,0.007968127,0,0,0.028350515,0.023957409,0,0,0,0
다사570474,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216494845,0.246672582,0,0,0,0
다사572430,0.5,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0.011952191,0,0.019230769,0.06443299,0.024401065,0,0,0,0
다사572439,0.5,0.083333333,0,0,0,0,0,0,0,0,0.035714286,0.039215686,0.008746356,0.2,0,0.075697211,0,0.019230769,0.067010309,0.031499556,0,0,0,0
다사573440,0.5,0,0,0,0.133333333,0,0,0,0,0.076923077,0,0,0.005830904,0.4,0,0.019920319,0,0,0.067010309,0.031499556,0,0,0,0
다사574471,0.5,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265463918,0.312333629,0,0,0,0
다사575434,0.5,0.078313253,0,0,0,0,0,0,0,0,0.035714286,0.078431373,0.008746356,0,0,0.007968127,0,0,0.038659794,0.014640639,0,0,0,0
다사575464,0.5,0,0,0,0.533333333,0.010132218,0.114729554,0.067424465,0.178801989,0,0,0,0,0,0,0.015936255,0,0,0.463917526,0.467613132,0,0,0,0
다사575465,0.5,0,0,0,0,0.018721859,0.055966494,0.074874577,0.054150188,0,0,0.058823529,0.005830904,0,0,0.051792829,0,0,0.159793814,0.154392192,0,0,0,0
다사576439,0.5,0.111445783,0,0,0,0,0,0,0,0,0.035714286,0.039215686,0,0,0,0.011952191,0,0,0.036082474,0.017302573,0,0,0,0
다사576472,0.5,0.048192771,0,0,0.066666667,0.032571436,0.037076209,0.273073141,0.104248825,0,0,0.019607843,0.005830904,0,0,0.003984064,0,0.038461538,0.105670103,0.113575865,0,0,0,0
