"","pre"
"1",-6.56761514274286
"2",-5.12839506285822
"3",-5.56574669678718
"4",-5.19043068350838
"5",-1.8957947410403
"6",-5.79171929106466
"7",-6.01107947868304
"8",-2.20271392685617
"9",-2.25774738309879
"10",-5.81988916871864
"11",-2.72364810052515
"12",-4.73579335419601
"13",-4.4510025329866
"14",-1.10222764619522
"15",-1.20679121305619
"16",-4.36519747136324
"17",-4.58194437882316
"18",-5.37991330801188
"19",-4.9340056044485
"20",-5.05929413601039
"21",-1.85473231987176
"22",-3.42184545585872
"23",-2.78820802228425
"24",-6.05417855125297
"25",-2.40847136468475
"26",-6.22162500746127
"27",-3.76258525932479
"28",-4.98169582427951
"29",-5.04264675409795
"30",-2.28954658497518
"31",-5.38497767396412
"32",-4.39893474596174
"33",-4.67867320315531
"34",-4.48403330959349
"35",-5.97436130805697
"36",-5.15729708445192
"37",-6.21023687315025
"38",-5.53043489128721
"39",-5.57500539483511
"40",-5.61500097231523
"41",-5.52505842144565
"42",-6.87575857399433
"43",-4.20579345170347
"44",-10.3449155726002
"45",-5.34830574272029
"46",-6.12533220984992
"47",-3.40566572480496
"48",-6.2203201569185
"49",-4.81586378444554
"50",-5.31750827161847
"51",-4.51570438979852
"52",-5.12046893191936
"53",-6.16338033404135
"54",-6.21187596929527
"55",-5.22620992601387
"56",-6.08534864912557
"57",-6.46321267057928
"58",-5.5600360831652
"59",-5.73454214893112
"60",-6.32779869551854
"61",-4.35380930351717
"62",-6.20784366345207
"63",-6.38618414455824
"64",-5.91817835931874
"65",-6.02454964830719
"66",-4.57123998057319
"67",-5.23424268469554
"68",-5.99732188475614
"69",-6.48289623768842
"70",-5.96324534737712
"71",-4.88091306790209
"72",-3.52922600694957
"73",-6.18079550184876
"74",-5.14443280472009
"75",-3.90612819108631
"76",-5.175125727323
"77",-5.30247075112874
"78",-4.91885491368837
"79",-5.9000243427982
"80",-5.55558001774633
"81",-2.32292670207526
"82",-4.02275512947335
"83",-5.80169079883046
"84",-5.59757263168718
"85",-6.67038476406075
"86",-6.47619609793266
"87",-4.62814580322229
"88",-5.54638811848952
"89",-5.39156479445064
"90",-7.15388183954425
"91",-5.3402763820458
"92",-4.98972079590892
"93",-4.93877379373404
"94",-6.8435944271125
"95",-4.18940543848034
"96",-6.17175340671622
"97",-5.87760448939105
"98",-4.15871055674835
"99",-7.00375395098618
"100",-4.68988053391495
"101",-3.71341956783428
"102",-3.94612476634908
"103",-4.80974607115533
"104",-4.73820257803994
"105",-5.95587600547167
"106",-4.99162753312943
"107",-5.18054164048679
"108",-5.78353127903193
"109",-6.45986378286171
"110",-6.24983942092664
"111",-5.84347270561534
"112",-6.2713611012548
"113",-5.1486042756672
"114",-5.06861095323982
"115",-6.16568599147624
"116",-6.81851402713329
"117",-6.27064049549944
"118",-6.71671550903738
"119",-5.84896402745137
"120",-5.5366905410562
"121",-5.73460721968046
"122",-6.24170197933219
"123",-6.41180497616085
"124",-6.82963663077965
"125",-6.16101758049643
"126",-5.43661891497422
"127",-5.29593570827296
"128",-5.36460877493296
"129",-5.11695822184121
"130",-6.22248895084747
"131",-4.56360333705121
"132",-6.69314421697643
"133",-5.39701879641196
"134",-5.86092414917604
"135",-4.63631438832751
"136",-4.63081104270325
"137",-4.47205731019676
"138",-2.77229923889173
"139",-6.19702155987406
"140",-4.39291433427166
"141",-4.7594955602972
"142",-5.42292742426196
"143",-5.16721086158873
"144",-5.14583377216213
"145",-3.85053567740809
"146",-5.74903015425119
"147",-5.3731031844787
"148",-4.83605247609811
"149",-6.15936362169046
"150",-5.97224987046558
"151",-5.24772386763375
"152",-6.70206176642365
"153",-4.78370749664753
"154",-2.49251103216904
"155",-5.99326110894127
"156",-4.12550938007674
"157",-3.81842414450508
"158",-4.32021654468021
"159",-3.96800242472749
"160",-4.37429397013945
"161",-6.23634954911679
"162",-6.53443789149198
"163",-5.63489007431761
"164",-5.45287974254947
"165",-5.84920436181972
"166",-5.39751711300703
"167",-6.01918026803093
"168",-5.48669068885858
"169",-6.3034972242691
"170",-6.09128351060902
"171",-3.45131032826765
"172",-5.65752596406191
"173",-5.70725284457202
"174",-5.56816044833219
"175",-6.39891392503556
"176",-5.84560233935219
"177",-6.30066721646126
"178",-6.47485640372855
"179",-6.17873339809212
"180",-4.71430047968286
"181",-4.97965329996734
"182",-5.06897698732878
"183",-5.12650740130915
"184",-4.81281670072625
"185",-5.1598546388921
"186",-5.00888161708788
"187",-6.37572028775841
"188",-5.44942465833806
"189",-5.62934483931384
"190",-5.2426606796314
"191",-4.95082067244252
"192",-6.47402056524548
"193",-6.82607865324093
"194",-6.82275690829839
"195",-4.89879639331705
"196",-5.24165629036809
"197",-4.52953546445993
"198",-5.49314907729189
"199",-5.81047889847545
"200",-3.25649619720916
"201",-3.17944935846951
"202",-5.58648944008124
"203",-6.57371008721188
"204",-3.49441719181456
"205",-6.25480955867507
"206",-6.76907199383036
"207",-4.96848122694188
"208",-5.25890772378303
"209",-4.30568121031003
"210",-4.93322762878834
"211",-6.3021988414456
"212",-5.94478737720551
"213",-6.18980373479051
"214",-5.09105346461778
"215",-6.64524874556345
"216",-6.51209329233542
"217",-7.18661832997029
"218",-4.52678889027743
"219",-6.03427180519639
"220",-4.58932089234873
"221",-6.48455899342623
"222",-5.70293710182033
