gid,pre,acci_cnt
다사584438,-0.508721699,0
다사583441,-1.102227646,0.5
다사583441,-1.206791213,0.5
다사580448,-1.441510428,0
다사591477,-1.557301006,0
다사590447,-1.85473232,0.5
다사575464,-1.895794741,0.5
다사568455,-2.119720894,0
다사607455,-2.181815289,0
다사578453,-2.202713927,0.5
다사594430,-2.229169945,0
다사578453,-2.257747383,0.5
다사608468,-2.289546585,1
다사598429,-2.322926702,0
다사580413,-2.376989948,0
다사595463,-2.408471365,0.5
다사545441,-2.451066655,0
다사562459,-2.486316968,0
다사597472,-2.492511032,0
다사576450,-2.524160521,0
다사580407,-2.5359245,0
다사554425,-2.556337323,0
다사579451,-2.567112433,0
다사610438,-2.619463644,0
다사585436,-2.673893101,0
다사542430,-2.687620283,0
다사580447,-2.723648101,0.5
다사551454,-2.730148359,0
다사598420,-2.754105759,0
다사580441,-2.761795424,0
다사585477,-2.772299239,0
다사592441,-2.788208022,0.5
다사597422,-2.804263686,0
다사556458,-2.896268509,0
다사583440,-2.966116208,0
다사548448,-3.012186664,0
다사583476,-3.023718533,0
다사597422,-3.029900857,0
다사541420,-3.067660898,0
다사549438,-3.090501274,0
다사568449,-3.125449016,0
다사583440,-3.158733305,0
다사542436,-3.164256341,0
다사647407,-3.164287209,0
다사577408,-3.173745508,0
다사579453,-3.179449358,0
다사585445,-3.198771997,0
다사592422,-3.227498549,0
다사598415,-3.235090548,0
다사566437,-3.256198363,0
다사579453,-3.256496197,0
다사608469,-3.267097131,0
다사556425,-3.282691299,0
다사594412,-3.31068662,0
다사566459,-3.336595856,0
다사584463,-3.352967571,0
다사555426,-3.35620327,0
다사598420,-3.38148716,0
다사602449,-3.405665725,0
다사546437,-3.409672358,0
다사542439,-3.411862954,0
다사589402,-3.413158196,0
다사590448,-3.421845456,0.5
다사601451,-3.424645574,0
다사545439,-3.426835637,0
다사649431,-3.427997926,0
다사542433,-3.436163602,0
다사578456,-3.451310328,0
다사581467,-3.494417192,0
다사595426,-3.501682615,0
다사585434,-3.526505781,0
다사611439,-3.529226007,0
다사594465,-3.531492364,0
다사593477,-3.561065855,0
다사595426,-3.567722762,0
다사610454,-3.578651698,0
다사635435,-3.592492619,0
다사586432,-3.595129943,0
다사576458,-3.614264266,0
다사572469,-3.618533545,0
다사569461,-3.624195605,0
다사579443,-3.628661993,0
다사576460,-3.64029505,0
다사576458,-3.652787685,0
다사581447,-3.663067493,0
다사560448,-3.668716715,0
다사578454,-3.672827413,0
다사589463,-3.681897512,0
다사652414,-3.687379433,0
다사590446,-3.689770269,0
다사616457,-3.699059546,0
다사604467,-3.713419568,0
다사607387,-3.733795231,0
다사588429,-3.734583225,0
다사629436,-3.744004769,0
다사547442,-3.745942801,0
다사568448,-3.753482839,0
다사601450,-3.762585259,0.5
다사542420,-3.76624161,0
다사628438,-3.792776685,0
다사635436,-3.818424145,0
다사583475,-3.826223937,0
다사609429,-3.828791851,0
다사586418,-3.843400128,0
다사611462,-3.850535677,0
다사600452,-3.860203113,0
다사570468,-3.86849174,0
다사591464,-3.878296067,0
다사549448,-3.88847619,0
다사588478,-3.890445454,0
다사592412,-3.895707437,0
다사571429,-3.905348947,0
다사593471,-3.906128191,0
다사586435,-3.910094706,0
다사557457,-3.911265621,0
다사618434,-3.926900577,0
다사575461,-3.934631858,0
다사568438,-3.943604603,0
다사601468,-3.946124766,0
다사597420,-3.946835991,0
다사648431,-3.947463659,0
다사573430,-3.955914174,0
다사599419,-3.968002425,0
다사581437,-3.970934316,0
다사590426,-3.980385449,0
다사577456,-3.98309212,0
다사614462,-3.992533885,0
다사544446,-3.995187715,0
다사571468,-3.999838111,0
다사615452,-4.006128869,0
다사579473,-4.022755129,0
다사543421,-4.033653562,0
다사641409,-4.042674997,0
다사556457,-4.058629077,0
다사546444,-4.067949643,0
다사591421,-4.070588612,0
다사544445,-4.07595428,0
다사578473,-4.082549143,0
다사597421,-4.088390781,0
다사579448,-4.099072951,0
다사595407,-4.106499189,0
다사568446,-4.107647301,0
다사607471,-4.118631599,0
다사616463,-4.12550938,0
다사624437,-4.134662383,0
다사572472,-4.134685721,0
다사609419,-4.135193497,0
다사561452,-4.135565447,0
다사575458,-4.1552446,0
다사597444,-4.158384474,0
다사604473,-4.158710557,0
다사563460,-4.177387468,0
다사591471,-4.182147949,0
다사567438,-4.184533612,0
다사552424,-4.187436468,0
다사583466,-4.189405438,0
다사622436,-4.189697121,0
다사578444,-4.199241228,0
다사592437,-4.205793452,0
다사588410,-4.209517324,0
다사654417,-4.221029866,0
다사554427,-4.222493233,0
다사577456,-4.225239328,0
다사545432,-4.246205502,0
다사569442,-4.262747176,0
다사605460,-4.284634249,0
다사556446,-4.285677935,0
다사587435,-4.292290557,0
다사596457,-4.2968275,0
다사602467,-4.298678671,0
다사606457,-4.30568121,0
다사593473,-4.307927666,0
다사546436,-4.309288331,0
다사556460,-4.310009904,0
다사548431,-4.310338235,0
다사599419,-4.320216545,0
다사617457,-4.324573515,0
다사584428,-4.335249169,0
다사623433,-4.335386378,0
다사545430,-4.33598369,0
다사564461,-4.341357058,0
다사573447,-4.345204669,0
다사598441,-4.353809304,0
다사586434,-4.365197471,0.5
다사574470,-4.367565574,0
다사575402,-4.37421534,0
다사653416,-4.37429397,0
다사631431,-4.382035934,0
다사585414,-4.383807615,0
다사554448,-4.387635713,0
다사588452,-4.392914334,0
다사597427,-4.395488777,0
다사601449,-4.396663622,0
다사613445,-4.398934746,0.5
다사646433,-4.425788788,0
다사567465,-4.426799743,0
다사595428,-4.428895373,0
다사599422,-4.441835033,0
다사553450,-4.442406534,0
다사570463,-4.444790134,0
다사582415,-4.445558043,0
다사574463,-4.449707148,0
다사607436,-4.449750521,0
다사599439,-4.449931383,0
다사587429,-4.450613219,0
다사581448,-4.451002533,0.5
다사650426,-4.453808679,0
다사592421,-4.455549216,0
다사553430,-4.459699268,0
다사635437,-4.47205731,0
다사555459,-4.473097034,0
다사595438,-4.48403331,0
다사604452,-4.492038402,0
다사564437,-4.495554639,0
다사641428,-4.507114679,0
다사603432,-4.508072632,0
다사597428,-4.509927039,0
다사615451,-4.512954469,0
다사601422,-4.51570439,0
다사562436,-4.518154155,0
다사602466,-4.525806457,0
다사610462,-4.52678889,0
다사595451,-4.529535464,0
다사608459,-4.531111824,0
다사561456,-4.532973625,0
다사545449,-4.535010012,0
다사610397,-4.541291885,0
다사612443,-4.543912891,0
다사589427,-4.544508655,0
다사570433,-4.54899356,0
다사561448,-4.549120991,0
다사582433,-4.549770097,0
다사577458,-4.556295328,0
다사589470,-4.563359204,0
다사600449,-4.563603337,0
다사594464,-4.563709974,0
다사651418,-4.566293109,0
다사605425,-4.571239981,0
다사570435,-4.573381404,0
다사616456,-4.575284036,0
다사570439,-4.577811924,0
다사570464,-4.57879848,0
다사553449,-4.580124507,0
다사587462,-4.581944379,0.5
다사575471,-4.587174159,0
다사587455,-4.589320892,0
다사609457,-4.591008565,0
다사604443,-4.598898841,0
다사618444,-4.601230128,0
다사613439,-4.602426394,0
다사585468,-4.605757848,0
다사552432,-4.613326284,0
다사559418,-4.613645459,0
다사568428,-4.613847933,0
다사571466,-4.616073949,0
다사580451,-4.621642447,0
다사596446,-4.628145803,0
다사600417,-4.630811043,0
다사605431,-4.632737455,0
다사600417,-4.636314388,0
다사569432,-4.637064473,0
다사589405,-4.63730655,0
다사611461,-4.644894293,0
다사542422,-4.645271704,0
다사607453,-4.647913762,0
다사595428,-4.66003589,0
다사588429,-4.664648636,0
다사617447,-4.66591624,0
다사613456,-4.670955087,0
다사592416,-4.672871909,0
다사575463,-4.676171373,0
다사648432,-4.678673203,0.5
다사595420,-4.682695631,0
다사593456,-4.689880534,0
다사584434,-4.702407142,0
다사653407,-4.702841596,0
다사577447,-4.702997003,0
다사594419,-4.703146464,0
다사567451,-4.708895353,0
다사583468,-4.709782198,0
다사565454,-4.71346947,0
다사616459,-4.71430048,0
다사586431,-4.716302501,0
다사637405,-4.717569603,0
다사590420,-4.71911673,0
다사560455,-4.720029661,0
다사579474,-4.724562328,0
다사608453,-4.727903662,0
다사616434,-4.73227071,0
다사606474,-4.732946991,0
다사565437,-4.735087785,0
다사581444,-4.735793354,0.5
다사576461,-4.738202578,0
다사569444,-4.740244082,0
다사583472,-4.74547848,0
다사567462,-4.751721651,0
다사610398,-4.752670049,0
다사646415,-4.756307021,0
다사607470,-4.75949556,0
다사626439,-4.759605703,0
다사562435,-4.760171354,0
다사572463,-4.762768025,0
다사616462,-4.764144206,0
다사600451,-4.767073292,0
다사588417,-4.776073602,0
다사600472,-4.776621513,0
다사658421,-4.780097403,0
다사609449,-4.783707497,0
다사655420,-4.786855585,0
다사570429,-4.791150991,0
다사576435,-4.791285852,0
다사617430,-4.792389918,0
다사558452,-4.792523465,0
다사558420,-4.798619118,0
다사574430,-4.806749012,0
다사576461,-4.809746071,0
다사601417,-4.812816701,0
다사593469,-4.812882148,0
다사605474,-4.815863784,0
다사619442,-4.820484193,0
다사606389,-4.823152911,0
다사632427,-4.8315536,0
다사587470,-4.836052476,0
다사546447,-4.837187872,0
다사597420,-4.838377983,0
다사617446,-4.839229026,0
다사589460,-4.849991024,0
다사564458,-4.850411521,0
다사611395,-4.854829126,0
다사561427,-4.855312271,0
다사594429,-4.857398832,0
다사552452,-4.867678482,0
다사593474,-4.877033499,0
다사561446,-4.87916626,0
다사648433,-4.880913068,0
다사581432,-4.882815934,0
다사616433,-4.885561413,0
다사573469,-4.886662551,0
다사596424,-4.890611958,0
다사552439,-4.891559678,0
다사583470,-4.898796393,0
다사594477,-4.906797742,0
다사592477,-4.908647116,0
다사610443,-4.908699873,0
다사581445,-4.91064911,0
다사617463,-4.911926194,0
다사568464,-4.912712342,0
다사593440,-4.918854914,0
다사606442,-4.919274762,0
다사639425,-4.919835402,0
다사578465,-4.922374936,0
다사603447,-4.926367504,0
다사589478,-4.928350376,0
다사553451,-4.931457026,0
다사580480,-4.931975514,0
다사587431,-4.93293547,0
다사593476,-4.933227629,0
다사589426,-4.934005604,0.5
다사606436,-4.936436134,0
다사604418,-4.938773794,0
다사602473,-4.93935629,0
다사594429,-4.939949017,0
다사591455,-4.943930856,0
다사566451,-4.944824569,0
다사604390,-4.949080957,0
다사584439,-4.950820672,0
다사559452,-4.95262548,0
다사572429,-4.957862688,0
다사607476,-4.963097815,0
다사542427,-4.963480767,0
다사610396,-4.964882532,0
다사569424,-4.967915821,0
다사617454,-4.968481227,0
다사556451,-4.969594766,0
다사555446,-4.972444666,0
다사592472,-4.972659416,0
다사606471,-4.974395269,0
다사640428,-4.978902418,0
다사604462,-4.9796533,0
다사586443,-4.981028618,0
다사603464,-4.981695824,0.5
다사642407,-4.984374608,0
다사600471,-4.989720796,0
다사591417,-4.990093296,0
다사587454,-4.991627533,0
다사571433,-4.99228049,0
다사600466,-4.99431892,0
다사606426,-4.995225554,0
다사617460,-4.996244547,0
다사647431,-5.0061833,0
다사594436,-5.006539204,0
다사592417,-5.006596714,0
다사580445,-5.008526263,0
다사598430,-5.008881617,0
다사589466,-5.011664429,0
다사550435,-5.012324349,0
다사612450,-5.015953516,0
다사544432,-5.016086533,0
다사568447,-5.018029929,0
다사563422,-5.01968803,0
다사587474,-5.020143637,0
다사619441,-5.020653485,0
