,gid,2030val
0,다사579454,77.0
1,다사613448,66.0
2,다사585452,0.0
3,다사583456,227.0
4,다사592432,85.0
5,다사597458,29.0
6,다사595438,0.0
7,다사638410,72.0
8,다사575466,0.0
9,다사585454,157.0
10,다사628425,21.0
11,다사584464,13.0
12,다사587471,0.0
13,다사581459,158.0
14,다사603445,45.0
15,다사636413,195.0
16,다사598450,0.0
17,다사586459,34.0
18,다사592435,133.0
19,다사591462,101.0
20,다사601437,49.0
21,다사596460,50.0
22,다사612440,78.0
23,다사579456,154.0
24,다사595445,159.0
25,다사606445,10.0
26,다사617442,207.0
27,다사647409,153.0
28,다사642424,69.0
29,다사585446,156.0
30,다사597455,10.0
31,다사648409,131.0
32,다사593437,13.0
33,다사599465,17.0
34,다사608451,155.0
35,다사618440,81.0
36,다사576468,83.0
37,다사590467,191.0
38,다사596442,246.0
39,다사596475,16.0
40,다사596459,56.0
41,다사615445,79.0
42,다사592437,0.0
43,다사611446,27.0
44,다사598443,112.0
45,다사646408,124.0
46,다사581454,88.0
47,다사631424,75.0
48,다사582446,20.0
49,다사596451,90.0
50,다사615454,0.0
51,다사644431,190.0
52,다사587481,52.0
53,다사605432,996.0
54,다사610449,51.0
55,다사602437,61.0
56,다사603423,8.0
57,다사654413,43.0
58,다사586444,76.0
59,다사595473,0.0
60,다사586475,44.0
61,다사602449,53.0
62,다사597440,127.0
63,다사633435,106.0
64,다사611467,19.0
65,다사598432,44.0
66,다사611450,70.0
67,다사621444,167.0
68,다사591430,18.0
69,다사601474,146.0
70,다사607421,81.0
71,다사613463,121.0
72,다사582447,53.0
73,다사593432,139.0
74,다사605474,38.0
75,다사599444,125.0
76,다사590445,0.0
77,다사609442,65.0
78,다사606428,147.0
79,다사591442,29.0
80,다사594467,45.0
81,다사592449,21.0
82,다사606450,112.0
83,다사584455,232.0
84,다사590465,59.0
85,다사615463,43.0
86,다사579463,6.0
87,다사589439,167.0
88,다사600476,38.0
89,다사603422,141.0
90,다사595453,205.0
91,다사599478,34.0
92,다사586455,100.0
93,다사605456,147.0
94,다사601421,152.0
95,다사604448,104.0
96,다사611445,7.0
97,다사601422,44.0
98,다사602438,202.0
99,다사620446,62.0
100,다사591459,156.0
101,다사588444,28.0
102,다사585440,105.0
103,다사629427,185.0
104,다사633440,91.0
105,다사584448,0.0
106,다사629434,125.0
107,다사608444,142.0
108,다사599466,0.0
109,다사604424,11.0
110,다사579475,44.0
111,다사634428,152.0
112,다사582478,74.0
113,다사625440,125.0
114,다사594444,170.0
115,다사603450,99.0
116,다사587444,448.0
117,다사647425,30.0
118,다사605451,253.0
119,다사584469,0.0
120,다사583454,231.0
121,다사609470,9.0
122,다사601444,201.0
123,다사618438,85.0
124,다사618428,84.0
125,다사623437,68.0
126,다사598465,102.0
127,다사603448,150.0
128,다사591432,190.0
129,다사649408,113.0
130,다사612447,152.0
131,다사610428,0.0
132,다사609450,36.0
133,다사597460,163.0
134,다사616458,0.0
135,다사587436,99.0
136,다사591453,205.0
137,다사647426,7.0
138,다사574469,0.0
139,다사575465,0.0
140,다사627435,61.0
141,다사582480,62.0
142,다사584443,295.0
143,다사650412,15.0
144,다사631437,35.0
145,다사588433,94.0
146,다사585465,48.0
147,다사582472,13.0
148,다사598441,6.0
149,다사616465,47.0
150,다사575470,8.0
151,다사608440,8.0
152,다사658419,145.0
153,다사594432,76.0
154,다사600450,68.0
155,다사582452,85.0
156,다사586440,185.0
157,다사588435,0.0
158,다사587456,72.0
159,다사615446,145.0
160,다사614436,104.0
161,다사605425,13.0
162,다사638415,92.0
163,다사587440,105.0
164,다사592464,0.0
165,다사596465,138.0
166,다사630429,72.0
167,다사583461,132.0
168,다사617450,24.0
169,다사651409,136.0
170,다사587447,66.0
171,다사648433,56.0
172,다사611439,51.0
173,다사601448,177.0
174,다사590459,112.0
175,다사591448,0.0
176,다사592439,113.0
177,다사598448,49.0
178,다사595439,145.0
179,다사649409,74.0
180,다사600442,147.0
181,다사589441,167.0
182,다사586460,30.0
183,다사609438,41.0
184,다사597461,172.0
185,다사583445,0.0
186,다사589438,101.0
187,다사642425,93.0
188,다사646409,173.0
189,다사592460,143.0
190,다사585449,76.0
191,다사617441,137.0
192,다사610464,6.0
193,다사651416,0.0
194,다사648404,0.0
195,다사590430,91.0
196,다사636425,25.0
197,다사593471,0.0
198,다사651415,35.0
199,다사612462,18.0
200,다사604417,94.0
201,다사601439,83.0
202,다사586466,86.0
203,다사587434,69.0
204,다사596473,14.0
205,다사604474,0.0
206,다사608419,110.0
207,다사580464,28.0
208,다사635429,86.0
209,다사596479,64.0
210,다사610470,6.0
211,다사611453,68.0
212,다사615462,8.0
213,다사643430,77.0
214,다사592479,204.0
215,다사589452,138.0
216,다사595460,54.0
217,다사605470,22.0
218,다사587466,20.0
219,다사594474,0.0
220,다사593440,37.0
221,다사596453,130.0
222,다사592444,22.0
223,다사596439,116.0
224,다사586436,239.0
225,다사636415,123.0
226,다사603417,145.0
227,다사642429,60.0
228,다사609446,140.0
229,다사600419,132.0
230,다사644430,172.0
231,다사655417,91.0
232,다사595455,200.0
233,다사602474,85.0
234,다사586470,75.0
235,다사612446,135.0
236,다사628427,81.0
237,다사598429,0.0
238,다사594446,37.0
239,다사579473,0.0
240,다사605443,19.0
241,다사580478,110.0
242,다사607459,63.0
243,다사588440,168.0
244,다사590481,56.0
245,다사596454,169.0
246,다사584478,41.0
247,다사594466,31.0
248,다사597457,64.0
249,다사613452,0.0
250,다사648436,0.0
251,다사581472,96.0
252,다사603415,67.0
253,다사585458,58.0
254,다사583471,0.0
255,다사636428,171.0
256,다사599469,98.0
257,다사609439,128.0
258,다사648403,38.0
259,다사627425,34.0
260,다사592443,110.0
261,다사586462,0.0
262,다사649423,0.0
263,다사612466,60.0
264,다사579479,107.0
265,다사579457,104.0
266,다사586472,75.0
267,다사594478,57.0
268,다사598422,61.0
269,다사639417,48.0
270,다사593451,174.0
271,다사596446,0.0
272,다사585451,59.0
273,다사601445,49.0
274,다사585444,12.0
275,다사583458,181.0
276,다사590444,45.0
277,다사604456,87.0
278,다사626426,46.0
279,다사606460,78.0
280,다사583483,97.0
281,다사603458,182.0
282,다사594445,175.0
283,다사615448,0.0
284,다사587448,125.0
285,다사583449,60.0
286,다사619439,63.0
287,다사579455,92.0
288,다사632439,117.0
289,다사582465,66.0
290,다사587482,80.0
291,다사649425,0.0
292,다사609468,81.0
293,다사584474,25.0
294,다사646417,7.0
295,다사629435,110.0
296,다사582458,162.0
297,다사613443,353.0
298,다사648413,6.0
299,다사595459,103.0
300,다사592473,10.0
301,다사576472,48.0
302,다사617443,169.0
303,다사577460,0.0
304,다사652404,0.0
305,다사613450,25.0
306,다사647404,31.0
307,다사618442,298.0
308,다사597459,132.0
309,다사604464,14.0
310,다사600471,29.0
311,다사587443,173.0
312,다사604418,59.0
313,다사637414,20.0
314,다사612454,40.0
315,다사653415,47.0
316,다사605448,85.0
317,다사583464,58.0
318,다사601453,28.0
319,다사583466,0.0
320,다사597470,180.0
321,다사605458,95.0
322,다사599446,66.0
323,다사602441,85.0
324,다사603420,0.0
325,다사605417,135.0
326,다사593446,56.0
327,다사602422,110.0
328,다사613449,18.0
329,다사610451,219.0
330,다사605449,185.0
331,다사626441,174.0
332,다사651405,66.0
333,다사602453,58.0
334,다사587460,141.0
335,다사583447,97.0
336,다사596448,118.0
337,다사609458,0.0
338,다사604473,0.0
339,다사578462,155.0
340,다사590432,120.0
341,다사606429,58.0
342,다사654415,22.0
343,다사604453,32.0
344,다사590451,28.0
345,다사598440,29.0
346,다사617436,70.0
347,다사645417,43.0
348,다사620434,188.0
349,다사612467,31.0
350,다사603453,0.0
351,다사607447,113.0
352,다사636429,248.0
353,다사595446,45.0
354,다사590453,124.0
355,다사608470,0.0
356,다사616437,94.0
357,다사581453,237.0
358,다사582454,146.0
359,다사591470,30.0
360,다사593434,104.0
361,다사593456,39.0
362,다사596430,0.0
363,다사603433,129.0
364,다사604467,29.0
365,다사602426,65.0
366,다사601468,6.0
367,다사602448,46.0
368,다사576461,13.0
369,다사585441,80.0
370,다사591480,61.0
371,다사614445,0.0
372,다사662409,0.0
373,다사587454,37.0
374,다사605457,104.0
375,다사650434,111.0
376,다사585464,48.0
377,다사591435,98.0
378,다사598460,131.0
379,다사607473,166.0
380,다사596425,0.0
381,다사592480,136.0
382,다사575469,53.0
383,다사601472,35.0
384,다사602440,122.0
385,다사646425,7.0
386,다사599453,36.0
387,다사606440,159.0
388,다사611438,74.0
389,다사619444,89.0
390,다사645430,0.0
391,다사577459,8.0
392,다사582483,78.0
393,다사602423,21.0
394,다사613445,0.0
395,다사581481,25.0
396,다사580452,26.0
397,다사594455,129.0
398,다사602463,144.0
399,다사587464,12.0
400,다사596429,117.0
401,다사589443,132.0
402,다사580459,76.0
403,다사600468,142.0
404,다사605429,26.0
405,다사584472,38.0
406,다사646416,0.0
407,다사610453,84.0
408,다사597426,90.0
409,다사658418,69.0
410,다사583481,56.0
411,다사652413,48.0
412,다사590472,0.0
413,다사590464,0.0
414,다사594451,31.0
415,다사604449,188.0
416,다사588476,6.0
417,다사634425,27.0
418,다사608439,139.0
419,다사610471,84.0
420,다사636437,92.0
421,다사586451,42.0
422,다사591443,99.0
423,다사603449,62.0
424,다사604446,88.0
425,다사650414,30.0
426,다사596427,0.0
427,다사605421,47.0
428,다사600421,61.0
429,다사601419,109.0
430,다사602472,130.0
431,다사599468,53.0
432,다사584457,166.0
433,다사584441,64.0
434,다사612442,6.0
435,다사620432,103.0
436,다사586474,52.0
437,다사580466,0.0
438,다사586471,53.0
439,다사594461,23.0
440,다사643414,14.0
441,다사596466,180.0
442,다사615424,235.0
443,다사592465,24.0
444,다사602460,56.0
445,다사629428,219.0
446,다사603442,107.0
447,다사610466,198.0
448,다사584456,224.0
449,다사606473,34.0
450,다사614465,65.0
451,다사620444,89.0
452,다사648408,185.0
453,다사607448,54.0
454,다사592466,132.0
455,다사607451,25.0
456,다사592433,37.0
457,다사633439,134.0
458,다사633429,167.0
459,다사602461,175.0
460,다사602435,102.0
461,다사611441,112.0
462,다사598442,99.0
463,다사595475,0.0
464,다사598466,89.0
465,다사589475,18.0
466,다사601469,12.0
467,다사613442,164.0
468,다사591472,0.0
469,다사613437,73.0
470,다사590462,28.0
471,다사578461,71.0
472,다사588437,176.0
473,다사593435,89.0
474,다사614444,185.0
475,다사635413,100.0
476,다사619431,192.0
477,다사582466,50.0
478,다사595470,66.0
479,다사646436,204.0
480,다사636438,177.0
481,다사629425,65.0
482,다사637436,129.0
483,다사579472,23.0
484,다사594431,64.0
485,다사599445,98.0
486,다사634437,138.0
487,다사615460,0.0
488,다사621433,79.0
489,다사587442,96.0
490,다사592474,10.0
491,다사592436,64.0
492,다사607428,47.0
493,다사608446,244.0
494,다사614443,133.0
495,다사594442,33.0
496,다사650418,308.0
497,다사598461,170.0
498,다사601430,195.0
499,다사599432,21.0
500,다사607437,107.0
501,다사573472,45.0
502,다사577464,19.0
503,다사588475,54.0
504,다사594479,76.0
505,다사600438,50.0
506,다사602419,47.0
507,다사647436,91.0
508,다사599460,44.0
509,다사602452,121.0
510,다사591440,75.0
511,다사600449,151.0
512,다사604444,88.0
513,다사606446,191.0
514,다사597443,26.0
515,다사648406,269.0
516,다사600420,94.0
517,다사584451,42.0
518,다사591438,252.0
519,다사658420,151.0
520,다사593438,39.0
521,다사591475,75.0
522,다사606475,21.0
523,다사608458,8.0
524,다사606439,55.0
525,다사641411,25.0
526,다사578472,74.0
527,다사638413,145.0
528,다사601476,102.0
529,다사630438,67.0
530,다사630436,68.0
531,다사608450,150.0
532,다사574472,106.0
533,다사594456,157.0
534,다사647434,272.0
535,다사631434,45.0
536,다사600417,7.0
537,다사618426,77.0
538,다사584467,74.0
539,다사582453,189.0
540,다사602451,0.0
541,다사601441,0.0
542,다사617419,229.0
543,다사588457,60.0
544,다사635437,92.0
545,다사585477,0.0
546,다사605422,58.0
547,다사624439,377.0
548,다사597441,106.0
549,다사586478,74.0
550,다사591478,101.0
551,다사586456,106.0
552,다사590452,141.0
553,다사600478,13.0
554,다사618432,115.0
555,다사611463,91.0
556,다사648432,24.0
557,다사588452,29.0
558,다사657420,64.0
559,다사610465,81.0
560,다사579470,123.0
561,다사586448,88.0
562,다사607470,0.0
563,다사633438,139.0
564,다사581470,61.0
565,다사585476,23.0
566,다사621432,198.0
567,다사648425,0.0
568,다사595458,34.0
569,다사606417,37.0
570,다사618433,120.0
571,다사597430,0.0
572,다사601443,139.0
573,다사604458,181.0
574,다사589440,51.0
575,다사612427,87.0
576,다사580472,16.0
577,다사599476,15.0
578,다사584462,29.0
579,다사592448,48.0
580,다사594438,60.0
581,다사596452,194.0
582,다사588434,60.0
583,다사577472,0.0
584,다사611462,35.0
585,다사585447,72.0
586,다사590438,211.0
587,다사601431,33.0
588,다사585439,86.0
589,다사647433,168.0
590,다사588450,25.0
591,다사616438,100.0
592,다사607458,61.0
593,다사597466,20.0
594,다사646437,77.0
595,다사644418,8.0
596,다사589447,0.0
597,다사591479,67.0
598,다사582463,39.0
599,다사639415,44.0
600,다사584449,59.0
601,다사616447,105.0
602,다사618437,54.0
603,다사604447,7.0
604,다사592447,18.0
605,다사587470,8.0
606,다사635428,94.0
607,다사654414,43.0
608,다사647405,112.0
609,다사596426,34.0
610,다사609440,137.0
611,다사599458,44.0
612,다사616444,90.0
613,다사602444,97.0
614,다사632430,66.0
615,다사657417,116.0
616,다사576463,93.0
617,다사591461,14.0
618,다사590442,181.0
619,다사590468,53.0
620,다사639429,101.0
621,다사654410,0.0
622,다사584453,51.0
623,다사592434,190.0
624,다사606468,86.0
625,다사609449,27.0
626,다사619438,62.0
627,다사581458,163.0
628,다사600469,99.0
629,다사601460,130.0
630,다사644410,50.0
631,다사648405,0.0
632,다사590449,21.0
633,다사596445,33.0
634,다사597472,23.0
635,다사589468,86.0
636,다사596467,62.0
637,다사610446,162.0
638,다사595437,68.0
639,다사596428,31.0
640,다사646435,138.0
641,다사648402,34.0
642,다사608443,17.0
643,다사598423,147.0
644,다사646401,71.0
645,다사604425,81.0
646,다사607430,115.0
647,다사622438,113.0
648,다사576467,110.0
649,다사594470,83.0
650,다사631440,20.0
651,다사618441,92.0
652,다사579467,46.0
653,다사593449,65.0
654,다사616463,9.0
655,다사598434,65.0
656,다사602443,268.0
657,다사614463,63.0
658,다사635436,65.0
659,다사577461,29.0
660,다사586464,81.0
661,다사639410,100.0
662,다사599419,64.0
663,다사628428,71.0
664,다사598477,0.0
665,다사597446,166.0
666,다사597464,128.0
667,다사589454,26.0
668,다사597450,0.0
669,다사607429,38.0
670,다사624441,154.0
671,다사587462,9.0
672,다사605459,48.0
673,다사605464,0.0
674,다사653416,17.0
675,다사584475,15.0
676,다사584481,58.0
677,다사609421,83.0
678,다사597438,78.0
679,다사585470,27.0
680,다사598454,67.0
681,다사608467,78.0
682,다사627434,29.0
683,다사588474,0.0
684,다사600441,71.0
685,다사646410,34.0
686,다사630427,104.0
687,다사649412,20.0
688,다사616445,252.0
689,다사592463,0.0
690,다사610445,160.0
691,다사584445,41.0
692,다사611448,16.0
693,다사639437,228.0
694,다사604439,91.0
695,다사587463,0.0
696,다사599462,40.0
697,다사645418,6.0
698,다사587446,0.0
699,다사600458,32.0
700,다사638425,120.0
701,다사607472,43.0
702,다사602431,79.0
703,다사593457,17.0
704,다사588441,185.0
705,다사614438,37.0
706,다사587439,6.0
707,다사633426,6.0
708,다사637424,82.0
709,다사634436,165.0
710,다사585462,16.0
711,다사585438,175.0
712,다사597453,221.0
713,다사600461,109.0
714,다사602421,133.0
715,다사628433,157.0
716,다사584459,103.0
717,다사603463,204.0
718,다사581480,210.0
719,다사586454,70.0
720,다사622433,173.0
721,다사625437,198.0
722,다사584471,136.0
723,다사656419,97.0
724,다사592440,101.0
725,다사578456,59.0
726,다사599443,169.0
727,다사610447,76.0
728,다사593472,0.0
729,다사614467,11.0
730,다사599451,6.0
731,다사603446,32.0
732,다사606452,49.0
733,다사597431,62.0
734,다사605450,99.0
735,다사576474,164.0
736,다사594434,152.0
737,다사597469,83.0
738,다사615441,316.0
739,다사610436,104.0
740,다사586467,97.0
741,다사580457,137.0
742,다사593468,44.0
743,다사595440,206.0
744,다사601440,113.0
745,다사582455,177.0
746,다사611466,0.0
747,다사595429,75.0
748,다사597474,0.0
749,다사585467,85.0
750,다사595474,9.0
751,다사590440,63.0
752,다사614450,14.0
753,다사610448,0.0
754,다사652406,0.0
755,다사586452,14.0
756,다사647406,36.0
757,다사600446,115.0
758,다사616459,0.0
759,다사590479,87.0
760,다사617444,199.0
761,다사591474,12.0
762,다사594469,78.0
763,다사604462,37.0
764,다사596463,72.0
765,다사612453,124.0
766,다사578466,0.0
767,다사592468,140.0
768,다사650405,106.0
769,다사591457,92.0
770,다사601417,57.0
771,다사603474,25.0
772,다사608447,181.0
773,다사641426,18.0
774,다사579461,54.0
775,다사649407,35.0
776,다사625439,302.0
777,다사584454,213.0
778,다사584466,60.0
779,다사583462,26.0
780,다사603461,245.0
781,다사605467,54.0
782,다사606459,77.0
783,다사592450,95.0
784,다사639409,114.0
785,다사588439,166.0
786,다사595467,113.0
787,다사598430,55.0
788,다사596474,37.0
789,다사649424,0.0
790,다사593463,49.0
791,다사591434,52.0
792,다사641407,38.0
793,다사595444,120.0
794,다사579460,49.0
795,다사601459,46.0
796,다사608428,0.0
797,다사636436,34.0
798,다사613465,107.0
799,다사588445,7.0
800,다사588448,90.0
801,다사601429,37.0
802,다사609467,45.0
803,다사612437,152.0
804,다사613425,70.0
805,다사589469,8.0
806,다사601420,101.0
807,다사600473,0.0
808,다사617438,89.0
809,다사634435,45.0
810,다사582469,8.0
811,다사648434,58.0
812,다사599475,0.0
813,다사599424,108.0
814,다사607442,0.0
815,다사584439,0.0
816,다사595442,97.0
817,다사596432,28.0
818,다사596470,113.0
819,다사602475,128.0
820,다사591450,52.0
821,다사598451,61.0
822,다사605466,70.0
823,다사614424,100.0
824,다사657419,57.0
825,다사596461,130.0
826,다사605434,657.0
827,다사580462,6.0
828,다사587433,62.0
829,다사600437,130.0
830,다사602462,116.0
831,다사574473,113.0
832,다사627428,60.0
833,다사583470,36.0
834,다사588449,161.0
835,다사598449,58.0
836,다사587458,117.0
837,다사601423,82.0
838,다사587457,38.0
839,다사595451,34.0
840,다사596441,190.0
841,다사604475,148.0
842,다사595462,34.0
843,다사604460,110.0
844,다사583457,202.0
845,다사592475,0.0
846,다사593458,143.0
847,다사581457,128.0
848,다사601462,126.0
849,다사611449,0.0
850,다사579453,14.0
851,다사608448,82.0
852,다사589474,17.0
853,다사593467,116.0
854,다사577471,0.0
855,다사581467,0.0
856,다사587452,40.0
857,다사597423,56.0
858,다사597454,76.0
859,다사589456,108.0
860,다사604457,134.0
861,다사593455,19.0
862,다사578464,84.0
863,다사641425,105.0
864,다사647418,138.0
865,다사586437,373.0
866,다사611433,26.0
867,다사611465,50.0
868,다사614446,49.0
869,다사602476,59.0
870,다사608445,194.0
871,다사587465,43.0
872,다사592458,57.0
873,다사605445,75.0
874,다사600432,59.0
875,다사580470,164.0
876,다사617454,0.0
877,다사580479,29.0
878,다사581466,43.0
879,다사648401,42.0
880,다사595477,71.0
881,다사602459,47.0
882,다사610452,76.0
883,다사617427,111.0
884,다사618443,70.0
885,다사601467,59.0
886,다사606457,28.0
887,다사593476,7.0
888,다사594452,0.0
889,다사577468,128.0
890,다사595456,61.0
891,다사579452,0.0
892,다사593441,50.0
893,다사604445,141.0
894,다사615459,0.0
895,다사637437,161.0
896,다사583455,229.0
897,다사594440,201.0
898,다사600477,63.0
899,다사606449,192.0
900,다사616464,40.0
901,다사620443,52.0
902,다사615449,6.0
903,다사583450,0.0
904,다사593479,149.0
905,다사579462,7.0
906,다사627437,200.0
907,다사588460,129.0
908,다사602442,168.0
909,다사611428,96.0
910,다사602458,53.0
911,다사623439,85.0
912,다사592457,84.0
913,다사653414,51.0
914,다사585483,57.0
915,다사611451,179.0
916,다사654409,34.0
917,다사579471,38.0
918,다사580454,179.0
919,다사581469,93.0
920,다사603471,106.0
921,다사609469,0.0
922,다사598452,166.0
923,다사641410,82.0
924,다사587472,57.0
925,다사636424,46.0
926,다사593470,0.0
927,다사594473,16.0
928,다사626435,119.0
929,다사628434,155.0
930,다사589435,25.0
931,다사626440,197.0
932,다사589453,104.0
933,다사606456,23.0
934,다사610462,21.0
935,다사638412,22.0
936,다사587455,28.0
937,다사587459,163.0
938,다사654408,7.0
939,다사646419,64.0
940,다사651414,28.0
941,다사600425,30.0
942,다사611435,85.0
943,다사593454,11.0
944,다사610463,0.0
945,다사607466,7.0
946,다사578471,21.0
947,다사589431,77.0
948,다사652431,25.0
949,다사599433,132.0
950,다사592454,37.0
951,다사594462,75.0
952,다사649434,43.0
953,다사623438,61.0
954,다사593431,236.0
955,다사596471,38.0
956,다사591449,16.0
957,다사610442,131.0
958,다사616428,77.0
959,다사589480,86.0
960,다사594458,177.0
961,다사597448,233.0
962,다사579459,18.0
963,다사589450,0.0
964,다사606461,38.0
965,다사586443,0.0
966,다사606443,36.0
967,다사597442,116.0
968,다사582479,37.0
969,다사584477,77.0
970,다사634439,67.0
971,다사637415,21.0
972,다사602420,94.0
973,다사603470,41.0
974,다사597434,0.0
975,다사646402,32.0
976,다사632438,116.0
977,다사641418,57.0
978,다사601463,120.0
979,다사649405,81.0
980,다사593459,19.0
981,다사590466,150.0
982,다사604459,192.0
983,다사642410,39.0
984,다사594464,128.0
985,다사646434,155.0
986,다사610440,112.0
987,다사649416,263.0
988,다사611440,128.0
989,다사579478,71.0
990,다사597473,0.0
991,다사598433,44.0
992,다사601464,283.0
993,다사643409,0.0
994,다사590437,124.0
995,다사638437,152.0
996,다사651413,28.0
997,다사605455,75.0
998,다사646424,0.0
999,다사646433,44.0
1000,다사598476,0.0
1001,다사605428,148.0
1002,다사592459,46.0
1003,다사603443,40.0
1004,다사595479,63.0
1005,다사601428,30.0
1006,다사602445,132.0
1007,다사611464,44.0
1008,다사586457,21.0
1009,다사591468,125.0
1010,다사607457,32.0
1011,다사594433,138.0
1012,다사638424,57.0
1013,다사603468,86.0
1014,다사595461,6.0
1015,다사626425,90.0
1016,다사648410,62.0
1017,다사655418,109.0
1018,다사591467,46.0
1019,다사607449,134.0
1020,다사599464,69.0
1021,다사603467,31.0
1022,다사608472,162.0
1023,다사632435,138.0
1024,다사625426,45.0
1025,다사608438,29.0
1026,다사606467,28.0
1027,다사581449,27.0
1028,다사630428,165.0
