,gid,TL_cnt
0,다사542430,1
1,다사542436,1
2,다사543443,1
3,다사546413,1
4,다사546431,1
5,다사547408,1
6,다사548448,1
7,다사549417,1
8,다사549444,1
9,다사550418,1
10,다사551444,1
11,다사551453,1
12,다사552424,1
13,다사552452,1
14,다사554449,1
15,다사556424,1
16,다사558451,1
17,다사559418,1
18,다사560448,1
19,다사560460,1
20,다사563460,1
21,다사564458,1
22,다사565435,1
23,다사565437,1
24,다사566423,1
25,다사567451,1
26,다사568449,1
27,다사569398,1
28,다사569399,1
29,다사569425,1
30,다사569455,1
31,다사572429,1
32,다사572471,1
33,다사574401,1
34,다사574404,1
35,다사575446,1
36,다사576443,1
37,다사576458,1
38,다사577427,1
39,다사578405,1
40,다사578445,1
41,다사579436,1
42,다사580407,1
43,다사580451,2
44,다사582443,1
45,다사583473,1
46,다사583476,1
47,다사584428,1
48,다사587478,1
49,다사588438,1
50,다사588470,1
51,다사588478,1
52,다사589463,2
53,다사592472,1
54,다사594430,1
55,다사595448,1
56,다사596430,1
57,다사597444,1
58,다사598399,1
59,다사598405,1
60,다사598479,1
61,다사600418,1
62,다사600472,1
63,다사601433,1
64,다사601446,1
65,다사601451,1
66,다사602446,1
67,다사602467,1
68,다사605438,1
69,다사605440,1
70,다사605441,1
71,다사606474,1
72,다사608431,1
73,다사608454,1
74,다사610398,1
75,다사611418,1
76,다사613432,1
77,다사614468,1
78,다사616396,1
79,다사616457,1
80,다사617457,1
81,다사620442,1
82,다사626400,1
83,다사630433,1
84,다사637428,1
85,다사640405,1
86,다사640406,1
87,다사640410,1
88,다사646432,1
89,다사647407,1
90,다사651418,1
91,다사652406,1
92,다사653419,1
93,다사654417,1
