,gid,TL_cnt
1,다사540452,2
2,다사541419,1
3,다사541421,1
4,다사541423,1
5,다사542418,1
6,다사542420,3
7,다사542421,2
8,다사542426,1
9,다사542430,1
10,다사542432,2
11,다사542435,1
12,다사542439,1
13,다사543430,1
14,다사543436,1
15,다사544430,2
16,다사544432,1
17,다사544443,1
18,다사544444,1
19,다사545420,3
20,다사545429,1
21,다사545430,1
22,다사545439,2
23,다사545441,2
24,다사545443,1
25,다사546419,2
26,다사546421,2
27,다사546427,1
28,다사546428,1
29,다사546430,1
30,다사546434,1
31,다사546436,1
32,다사546437,2
33,다사546443,2
34,다사546447,1
35,다사547408,1
36,다사547422,2
37,다사547441,1
38,다사547442,2
39,다사547444,1
40,다사548420,1
41,다사548421,1
42,다사548422,3
43,다사548431,3
44,다사548437,2
45,다사548441,1
46,다사548448,1
47,다사549418,4
48,다사549423,1
49,다사549429,1
50,다사549431,1
51,다사549437,1
52,다사549438,1
53,다사549439,1
54,다사549444,2
55,다사549448,1
56,다사550427,1
57,다사550428,2
58,다사550435,2
59,다사550436,1
60,다사550437,1
61,다사550438,2
62,다사550444,2
63,다사551417,3
64,다사551418,1
65,다사551424,1
66,다사551425,1
67,다사551426,1
68,다사551432,1
69,다사551434,2
70,다사551444,1
71,다사552424,4
72,다사552431,4
73,다사552439,2
74,다사552444,1
75,다사553417,1
76,다사553430,3
77,다사553433,2
78,다사553449,2
79,다사553456,1
80,다사554425,4
81,다사554428,3
82,다사554439,2
83,다사554444,1
84,다사554445,1
85,다사554446,2
86,다사554450,1
87,다사555417,1
88,다사555426,2
89,다사555433,2
90,다사555440,1
91,다사555450,1
92,다사555459,1
93,다사556424,3
94,다사556425,3
95,다사556434,1
96,다사556441,1
97,다사556442,2
98,다사556444,2
99,다사556445,2
100,다사556446,1
101,다사556458,2
102,다사557422,1
103,다사557423,1
104,다사557451,1
105,다사557454,1
106,다사558418,2
107,다사558420,2
108,다사558421,2
109,다사558447,1
110,다사558451,1
111,다사558454,1
112,다사559418,1
113,다사559426,4
114,다사559451,3
115,다사560419,1
116,다사560452,2
117,다사560455,1
118,다사561427,2
119,다사561430,1
120,다사561431,1
121,다사561434,1
122,다사561445,1
123,다사561446,2
124,다사561447,1
125,다사561452,2
126,다사562424,1
127,다사562426,3
128,다사562427,2
129,다사562434,2
130,다사562444,1
131,다사562449,1
132,다사562453,1
133,다사562459,1
134,다사563421,2
135,다사563422,2
136,다사563424,1
137,다사563436,1
138,다사563437,1
139,다사563440,3
140,다사563441,1
141,다사563450,1
142,다사564421,1
143,다사564436,1
144,다사564438,1
145,다사564453,2
146,다사564459,1
147,다사564461,2
148,다사565422,2
149,다사565428,2
150,다사565436,2
151,다사565437,1
152,다사565454,1
153,다사565456,3
154,다사566433,2
155,다사566452,1
156,다사566453,2
157,다사566459,2
158,다사567423,3
159,다사567429,1
160,다사567430,2
161,다사567431,1
162,다사567455,1
163,다사567464,2
164,다사568426,1
165,다사568427,2
166,다사568446,2
167,다사568447,1
168,다사568448,2
169,다사568449,1
170,다사568455,1
171,다사568460,2
172,다사569399,1
173,다사569424,2
174,다사569426,1
175,다사569432,3
176,다사569433,1
177,다사569438,1
178,다사569439,1
179,다사569442,2
180,다사569444,2
181,다사569449,1
182,다사569461,1
183,다사569463,2
184,다사570399,2
185,다사570425,1
186,다사570429,2
187,다사570433,1
188,다사570437,2
189,다사570439,2
190,다사570448,1
191,다사570449,2
192,다사570451,1
193,다사570464,1
194,다사570465,1
195,다사570468,2
196,다사571397,1
197,다사571398,1
198,다사571429,2
199,다사571432,2
200,다사571439,3
201,다사571450,1
202,다사571468,2
203,다사572399,1
204,다사572426,2
