,gid,TL_cnt
0,다사541420,21
1,다사541421,1
2,다사541424,6
3,다사541425,4
4,다사541427,5
5,다사542415,2
6,다사542416,4
7,다사542420,4
8,다사542422,4
9,다사542423,4
10,다사542424,4
11,다사542425,6
12,다사542427,7
13,다사542428,2
14,다사542429,1
15,다사542430,9
16,다사542433,10
17,다사542436,20
18,다사542439,17
19,다사542443,1
20,다사543415,3
21,다사543421,1
22,다사543422,1
23,다사543427,2
24,다사543430,4
25,다사543436,2
26,다사543443,9
27,다사544422,2
28,다사544432,5
29,다사544443,3
30,다사544445,10
31,다사544446,12
32,다사545419,2
33,다사545421,2
34,다사545427,2
35,다사545430,9
36,다사545431,3
37,다사545432,7
38,다사545434,1
39,다사545439,4
40,다사545441,4
41,다사545442,4
42,다사545443,3
43,다사545445,1
44,다사545446,7
45,다사545449,5
46,다사545450,5
47,다사546402,1
48,다사546409,1
49,다사546410,5
50,다사546411,3
51,다사546419,4
52,다사546421,4
53,다사546423,3
54,다사546424,2
55,다사546434,3
56,다사546435,2
57,다사546436,8
58,다사546437,6
59,다사546444,12
60,다사546447,8
61,다사546448,7
62,다사546449,2
63,다사547400,2
64,다사547405,1
65,다사547406,1
66,다사547408,3
67,다사547409,2
68,다사547422,4
69,다사547423,3
70,다사547424,4
71,다사547431,2
72,다사547433,4
73,다사547434,3
74,다사547435,1
75,다사547437,2
76,다사547441,1
77,다사547442,7
78,다사547443,1
79,다사548422,3
80,다사548423,4
81,다사548431,10
82,다사548432,3
83,다사548439,4
84,다사548440,1
85,다사548441,2
86,다사548448,12
87,다사548452,1
88,다사549417,1
89,다사549431,2
90,다사549438,12
91,다사549448,5
92,다사550417,1
93,다사550418,2
94,다사550428,3
95,다사550432,4
96,다사550435,1
97,다사550436,4
98,다사550444,4
99,다사551424,1
100,다사551426,4
101,다사551434,4
102,다사551435,5
103,다사551439,1
104,다사551444,4
105,다사551453,4
106,다사551454,7
107,다사552417,4
108,다사552424,8
109,다사552432,9
110,다사552433,4
111,다사552439,4
112,다사552452,12
113,다사552454,2
114,다사553424,2
115,다사553425,2
116,다사553429,3
117,다사553430,5
118,다사553439,1
119,다사553449,9
120,다사553450,8
121,다사553451,6
122,다사553453,2
123,다사554425,4
124,다사554427,6
125,다사554433,4
126,다사554439,1
127,다사554448,12
128,다사554449,1
129,다사554450,1
130,다사554452,3
131,다사555416,2
132,다사555417,2
133,다사555425,6
134,다사555426,4
135,다사555428,2
136,다사555429,2
137,다사555433,1
138,다사555434,1
139,다사555445,5
140,다사555446,8
141,다사555447,4
142,다사555448,1
143,다사555449,2
144,다사555451,1
145,다사555452,1
146,다사555459,2
147,다사556423,2
148,다사556424,2
149,다사556425,4
150,다사556429,2
151,다사556430,2
152,다사556440,2
153,다사556441,2
154,다사556442,6
155,다사556446,7
156,다사556450,4
157,다사556451,5
158,다사556457,2
159,다사556458,9
160,다사556460,3
161,다사557421,1
162,다사557422,5
163,다사557440,1
164,다사557456,5
165,다사557457,3
166,다사558418,1
167,다사558419,1
168,다사558420,3
169,다사558421,2
170,다사558451,3
171,다사558452,8
172,다사559418,10
173,다사559419,6
174,다사559426,3
175,다사559439,1
176,다사559451,1
177,다사559452,3
178,다사560419,1
