,gid,TL_cnt
0,다사542420,1
1,다사542421,3
2,다사542422,2
3,다사542423,1
4,다사542424,1
5,다사542427,1
6,다사543420,1
7,다사543421,1
8,다사543422,1
9,다사543431,1
10,다사543436,1
11,다사544420,1
12,다사544432,1
13,다사544436,1
14,다사544441,1
15,다사545429,1
16,다사545430,1
17,다사545432,2
18,다사545434,1
19,다사545438,2
20,다사545439,1
21,다사545440,2
22,다사545441,4
23,다사545442,1
24,다사545444,2
25,다사546421,2
26,다사546437,1
27,다사546449,1
28,다사547422,1
29,다사547448,1
30,다사548421,1
31,다사548432,1
32,다사549438,1
33,다사549440,1
34,다사550420,1
35,다사550433,2
36,다사550435,1
37,다사550437,1
38,다사551424,1
39,다사551432,4
40,다사551434,1
41,다사552431,2
42,다사552432,2
43,다사552433,1
44,다사552434,1
45,다사553427,2
46,다사553429,1
47,다사553431,2
48,다사553440,1
49,다사554426,6
50,다사554427,4
51,다사555426,3
52,다사555431,1
53,다사555444,1
54,다사556443,1
55,다사556444,1
56,다사556445,2
57,다사556446,1
58,다사556455,1
59,다사557424,1
60,다사557425,1
61,다사557440,1
62,다사557445,1
63,다사558421,1
64,다사558423,1
65,다사558451,2
66,다사558453,1
67,다사559439,1
68,다사559444,1
69,다사559452,4
70,다사560451,2
71,다사561426,1
72,다사561428,1
73,다사562420,1
74,다사562453,1
75,다사562459,2
76,다사564427,1
77,다사564431,1
78,다사564453,1
79,다사564454,2
80,다사565428,1
81,다사565435,1
82,다사565436,1
83,다사565454,2
84,다사566421,1
85,다사566435,3
86,다사566437,2
87,다사566438,1
88,다사566450,1
89,다사566454,2
90,다사567435,1
91,다사567447,2
92,다사567448,1
93,다사567449,2
94,다사567450,1
95,다사568428,1
96,다사568429,1
97,다사568430,1
98,다사568436,1
99,다사568438,3
100,다사568439,2
101,다사568445,1
102,다사568448,1
103,다사568455,1
104,다사568462,1
105,다사569425,1
106,다사569428,1
107,다사569430,1
108,다사569431,1
109,다사569432,1
110,다사569435,4
111,다사569436,2
112,다사569437,6
113,다사569438,1
114,다사570424,2
115,다사570425,1
116,다사570426,1
117,다사570430,3
118,다사570431,3
119,다사570432,1
120,다사570433,1
121,다사570434,1
122,다사570435,2
123,다사570436,1
124,다사570438,2
125,다사570439,1
126,다사570440,1
127,다사570441,3
128,다사570462,1
129,다사571429,1
130,다사571431,1
131,다사571432,1
132,다사571437,2
133,다사571438,3
134,다사571440,4
135,다사571446,1
136,다사571450,1
137,다사572438,1
138,다사572440,1
139,다사573429,3
140,다사573430,1
141,다사573440,1
142,다사573463,2
143,다사573464,2
144,다사574428,1
145,다사574429,2
146,다사574441,1
147,다사574453,1
148,다사574459,1
149,다사574460,3
150,다사574462,4
151,다사574464,3
152,다사574466,5
153,다사575435,1
154,다사575441,1
155,다사575456,1
156,다사575457,2
157,다사575458,2
158,다사575460,1
159,다사575461,1
160,다사575462,1
161,다사575463,2
162,다사575466,1
163,다사575467,1
164,다사575471,1
165,다사576407,1
166,다사576451,3
167,다사576454,1
168,다사576460,1
169,다사576462,1
170,다사576463,1
171,다사576464,1
172,다사576465,2
173,다사576466,3
174,다사576469,1
175,다사577410,1
176,다사577449,1
177,다사577450,2
178,다사577451,1
179,다사577453,1
180,다사577454,1
181,다사577455,2
182,다사577458,1
183,다사577459,2
184,다사577463,3
185,다사577465,1
186,다사577466,2
187,다사578449,2
188,다사578452,1
189,다사578455,2
190,다사578456,3
191,다사578457,2
192,다사578466,1
193,다사579429,1
194,다사579443,1
195,다사579452,1
196,다사579453,1
197,다사579454,4
198,다사579455,2
199,다사579470,1
200,다사580412,2
201,다사580432,3
202,다사580444,1
203,다사580445,1
204,다사580446,6
205,다사580447,3
206,다사580449,1
207,다사580450,1
208,다사580451,2
209,다사580452,5
210,다사580453,2
211,다사580454,1
212,다사580461,1
213,다사580467,1
214,다사581441,1
215,다사581444,1
216,다사581448,1
217,다사581453,1
218,다사581454,1
219,다사581473,2
220,다사581474,1
221,다사582411,1
222,다사582438,1
223,다사582445,3
224,다사582446,3
225,다사582447,2
226,다사582451,1
227,다사582452,1
228,다사582453,2
229,다사582457,1
230,다사582458,3
231,다사582461,1
232,다사582466,1
233,다사582470,1
234,다사582472,3
235,다사582473,1
236,다사582474,2
237,다사582475,1
238,다사582476,1
239,다사583430,1
240,다사583435,1
241,다사583437,2
242,다사583438,1
243,다사583440,1
244,다사583441,2
245,다사583444,2
246,다사583445,1
247,다사583446,1
248,다사583454,1
249,다사583458,1
250,다사583459,1
251,다사583460,1
252,다사583464,1
253,다사583469,5
254,다사583475,6
255,다사583482,1
256,다사584429,3
257,다사584430,2
258,다사584433,1
259,다사584436,1
260,다사584441,2
261,다사584442,3
262,다사584443,1
263,다사584462,1
264,다사584467,1
265,다사584470,3
266,다사584473,1
267,다사584477,1
268,다사585430,1
269,다사585435,4
270,다사585437,2
271,다사585439,1
272,다사585440,2
273,다사585441,1
274,다사585442,1
275,다사585452,1
276,다사585466,1
277,다사585468,1
278,다사585469,2
279,다사585470,1
280,다사585472,1
281,다사586429,1
282,다사586431,1
283,다사586437,1
284,다사586440,1
285,다사586443,1
286,다사586444,1
287,다사586454,1
288,다사586456,1
289,다사586458,1
290,다사586463,1
291,다사586466,1
292,다사586470,1
293,다사586477,1
294,다사587429,2
295,다사587430,2
296,다사587431,1
297,다사587435,1
298,다사587437,1
299,다사587439,1
300,다사587440,1
301,다사587444,1
302,다사587446,1
303,다사587448,1
304,다사587451,1
305,다사587455,1
306,다사587461,2
307,다사587471,1
308,다사587472,1
309,다사588405,1
310,다사588409,1
311,다사588429,2
312,다사588437,2
313,다사588438,1
314,다사588444,2
315,다사588446,1
316,다사588447,1
