,gid,TL_cnt
0,다사542417,2
1,다사542418,1
2,다사542424,1
3,다사542425,1
4,다사542427,4
5,다사542430,4
6,다사542432,1
7,다사542433,3
8,다사543421,1
9,다사543423,2
10,다사543426,5
11,다사543427,4
12,다사543428,5
13,다사543431,1
14,다사543432,1
15,다사543433,1
16,다사543434,2
17,다사543436,2
18,다사543439,3
19,다사543442,2
20,다사544421,1
21,다사544423,5
22,다사544424,1
23,다사544426,1
24,다사544427,1
25,다사544431,1
26,다사544436,6
27,다사544437,1
28,다사544438,2
29,다사544439,1
30,다사544441,2
31,다사544443,2
32,다사544444,2
33,다사545420,2
34,다사545422,1
35,다사545425,1
36,다사545428,3
37,다사545429,4
38,다사545430,4
39,다사545431,2
40,다사545432,2
41,다사545434,1
42,다사545435,2
43,다사545436,1
44,다사545438,1
45,다사545439,1
46,다사545441,1
47,다사545442,1
48,다사545443,2
49,다사545444,1
50,다사545447,1
51,다사545449,6
52,다사546420,1
53,다사546421,2
54,다사546427,3
55,다사546428,1
56,다사546430,1
57,다사546432,1
58,다사546433,1
59,다사546434,3
60,다사546438,2
61,다사546447,4
62,다사546448,1
63,다사546449,1
64,다사547419,1
65,다사547422,1
66,다사547433,2
67,다사547434,2
68,다사547436,1
69,다사547437,3
70,다사547441,1
71,다사547442,5
72,다사547448,1
73,다사548407,2
74,다사548415,1
75,다사548422,1
76,다사548423,1
77,다사548430,1
78,다사548434,1
79,다사548435,2
80,다사548436,1
81,다사548437,3
82,다사548438,1
83,다사548441,2
84,다사548448,5
85,다사549423,1
86,다사549428,1
87,다사549429,1
88,다사549430,2
89,다사549431,1
90,다사549432,1
91,다사549434,2
92,다사549436,2
93,다사549437,3
94,다사549438,1
95,다사549439,1
96,다사549440,1
97,다사549444,1
98,다사549448,6
99,다사550418,2
100,다사550422,1
101,다사550425,1
102,다사550428,1
103,다사550429,1
104,다사550432,1
105,다사550433,1
106,다사550434,1
107,다사550435,3
108,다사550436,4
109,다사550437,3
110,다사551417,3
111,다사551423,1
112,다사551424,1
113,다사551425,1
114,다사551430,2
115,다사551432,4
116,다사551433,1
117,다사551434,3
118,다사551438,1
119,다사551442,1
120,다사551444,1
121,다사552424,1
122,다사552427,1
123,다사552429,2
124,다사552430,2
125,다사552431,5
126,다사552434,4
127,다사552436,2
128,다사552449,1
129,다사553416,1
130,다사553424,2
131,다사553425,1
132,다사553426,1
133,다사553427,6
134,다사553429,1
135,다사553430,2
136,다사553431,2
137,다사553433,2
138,다사553452,7
139,다사554425,1
140,다사554426,1
141,다사554427,1
142,다사554428,1
143,다사554429,1
144,다사554430,2
145,다사554431,1
146,다사554449,1
147,다사555426,2
148,다사555428,1
149,다사555433,1
150,다사555437,1
151,다사555444,1
152,다사555445,1
153,다사556424,1
154,다사556425,1
155,다사556441,1
156,다사556444,1
157,다사556445,1
158,다사556455,6
159,다사557421,1
160,다사557422,4
161,다사557424,1
162,다사557431,1
163,다사557440,1
164,다사557445,1
165,다사557446,1
166,다사558420,4
167,다사558422,2
168,다사558423,2
169,다사558425,2
170,다사558440,1
171,다사558443,1
172,다사558445,1
173,다사558451,10
174,다사558453,1
175,다사558454,1
176,다사559424,1
177,다사559427,1
178,다사559439,1
179,다사559444,1
180,다사560420,2
181,다사560427,1
182,다사560444,1
183,다사560451,1
184,다사561431,4
185,다사561453,6
186,다사561455,1
187,다사562424,1
188,다사562426,1
189,다사562453,12
190,다사562459,6
191,다사563422,2
192,다사563424,2
193,다사563427,1
194,다사563454,3
195,다사564426,1
196,다사564427,1
197,다사564449,1
198,다사564453,1
199,다사564454,6
200,다사564460,1
201,다사564462,1
202,다사565424,1
203,다사565427,1
204,다사565428,1
205,다사565432,4
206,다사565433,1
207,다사565434,2
208,다사565436,5
209,다사565437,4
210,다사565439,1
211,다사565454,10
212,다사565461,1
213,다사566428,1
214,다사566429,1
215,다사566431,1
216,다사566432,1
217,다사566433,1
218,다사566434,1
219,다사566435,1
220,다사566436,1
221,다사566437,3
222,다사566444,1
223,다사566447,1
224,다사566448,1
225,다사566450,1
226,다사566454,16
227,다사566463,2
228,다사567427,2
229,다사567430,1
230,다사567431,1
231,다사567434,1
232,다사567436,1
233,다사567438,1
234,다사567447,1
235,다사567448,1
236,다사567459,5
237,다사567460,3
238,다사567464,1
239,다사568430,2
240,다사568431,4
241,다사568432,1
242,다사568434,1
243,다사568435,1
244,다사568438,1
245,다사568439,4
246,다사568445,1
247,다사568446,1
248,다사568448,6
249,다사568449,3
250,다사568458,4
251,다사568462,4
252,다사569397,1
253,다사569428,2
254,다사569430,1
255,다사569435,3
256,다사569436,1
257,다사569438,7
258,다사569439,1
259,다사569442,1
260,다사569466,1
261,다사569467,1
262,다사570428,1
263,다사570430,3
264,다사570432,1
265,다사570433,2
266,다사570435,1
267,다사570436,1
268,다사570437,2
269,다사570439,1
270,다사570440,2
271,다사570441,2
272,다사570442,1
273,다사570443,2
274,다사570445,1
275,다사570456,1
276,다사570463,1
277,다사570464,2
278,다사570468,1
279,다사571398,3
280,다사571427,2
281,다사571430,2
282,다사571431,1
283,다사571433,6
284,다사571437,3
285,다사571438,1
286,다사571439,1
287,다사571440,1
288,다사571466,3
289,다사571467,5
290,다사571470,3
291,다사572398,1
292,다사572429,1
293,다사572431,1
294,다사572432,1
295,다사572433,3
296,다사572439,1
297,다사572440,1
298,다사572447,1
299,다사572461,2
300,다사572463,1
301,다사572471,1
302,다사573399,3
303,다사573428,2
304,다사573432,1
305,다사573433,1
306,다사573437,1
307,다사573439,3
308,다사573446,3
309,다사573457,1
310,다사573458,1
311,다사573460,2
312,다사573463,2
313,다사573465,2
314,다사574433,1
315,다사574438,1
316,다사574440,2
317,다사574441,4
318,다사574442,1
319,다사574443,1
320,다사574446,1
321,다사574456,2
322,다사574458,2
323,다사574459,1
324,다사574460,1
325,다사574461,1
326,다사574463,1
327,다사574465,1
328,다사574466,1
329,다사574469,1
330,다사575428,1
