,gid,TL_cnt
0,다사542417,4
1,다사542418,3
2,다사542422,2
3,다사542423,2
4,다사542424,1
5,다사542425,4
6,다사542427,4
7,다사542429,2
8,다사542430,7
9,다사542432,5
10,다사542433,3
11,다사542434,2
12,다사543416,1
13,다사543417,1
14,다사543421,3
15,다사543422,1
16,다사543423,6
17,다사543424,2
18,다사543425,1
19,다사543426,9
20,다사543427,5
21,다사543428,10
22,다사543429,2
23,다사543430,2
24,다사543431,7
25,다사543432,10
26,다사543434,2
27,다사543436,3
28,다사543437,4
29,다사543438,3
30,다사543439,5
31,다사543440,6
32,다사543441,5
33,다사543442,1
34,다사543443,1
35,다사544420,3
36,다사544421,3
37,다사544423,3
38,다사544424,1
39,다사544425,1
40,다사544426,1
41,다사544427,3
42,다사544429,2
43,다사544431,2
44,다사544432,1
45,다사544435,1
46,다사544436,2
47,다사544437,4
48,다사544438,4
49,다사544439,8
50,다사544440,10
51,다사544441,4
52,다사544442,4
53,다사544443,5
54,다사544444,3
55,다사545420,2
56,다사545421,2
57,다사545422,4
58,다사545424,2
59,다사545425,4
60,다사545426,3
61,다사545427,1
62,다사545429,3
63,다사545430,2
64,다사545431,8
65,다사545432,9
66,다사545433,2
67,다사545434,2
68,다사545435,2
69,다사545436,3
70,다사545437,4
71,다사545438,5
72,다사545439,8
73,다사545440,3
74,다사545441,9
75,다사545442,10
76,다사545443,4
77,다사545444,7
78,다사545447,5
79,다사545448,2
80,다사545449,7
81,다사546410,1
82,다사546420,5
83,다사546421,6
84,다사546427,1
85,다사546428,1
86,다사546430,4
87,다사546431,3
88,다사546433,5
89,다사546434,5
90,다사546435,1
91,다사546436,1
92,다사546437,10
93,다사546438,1
94,다사546439,1
95,다사546440,1
96,다사546441,2
97,다사546447,2
98,다사546448,16
99,다사546449,2
100,다사547419,1
101,다사547420,2
102,다사547421,2
103,다사547422,2
104,다사547426,1
105,다사547428,1
106,다사547430,3
107,다사547431,3
108,다사547432,5
109,다사547433,9
110,다사547434,2
111,다사547435,2
112,다사547436,2
113,다사547437,4
114,다사547438,1
115,다사547441,5
116,다사547442,6
117,다사547448,13
118,다사548408,3
119,다사548409,1
120,다사548419,2
121,다사548422,3
122,다사548423,1
123,다사548427,1
124,다사548431,2
125,다사548432,10
126,다사548434,5
127,다사548435,7
128,다사548436,3
129,다사548437,6
130,다사548438,4
131,다사548439,6
132,다사548440,2
133,다사548441,1
134,다사548446,1
135,다사548448,4
136,다사548452,10
137,다사549407,1
138,다사549416,2
139,다사549422,2
140,다사549423,8
141,다사549428,2
142,다사549429,4
143,다사549431,4
144,다사549432,5
145,다사549434,10
146,다사549435,3
147,다사549436,7
148,다사549437,3
149,다사549438,6
150,다사549439,4
151,다사549440,7
152,다사549445,2
153,다사549448,5
154,다사550417,1
155,다사550418,3
156,다사550419,1
157,다사550421,2
158,다사550422,2
159,다사550423,6
160,다사550425,1
161,다사550427,1
162,다사550428,4
163,다사550429,5
164,다사550430,2
165,다사550431,1
166,다사550432,8
167,다사550433,4
168,다사550434,1
169,다사550435,4
170,다사550436,5
171,다사550437,1
172,다사550438,4
173,다사550439,2
174,다사550441,1
175,다사550443,1
176,다사550447,1
177,다사551417,1
178,다사551421,1
179,다사551422,2
180,다사551423,4
181,다사551424,1
182,다사551425,1
183,다사551426,2
184,다사551427,1
185,다사551429,3
186,다사551430,3
187,다사551431,3
188,다사551432,4
189,다사551433,5
190,다사551435,4
191,다사551436,1
192,다사551438,1
193,다사551439,3
194,다사551443,3
