,gid,TL_cnt
0,다사541452,2
1,다사542417,3
2,다사542421,5
3,다사542422,2
4,다사542424,4
5,다사542425,5
6,다사542426,5
7,다사542427,4
8,다사542428,2
9,다사542429,1
10,다사542430,6
11,다사542431,3
12,다사542432,3
13,다사542434,2
14,다사542435,3
15,다사542436,1
16,다사542437,1
17,다사543414,2
18,다사543415,1
19,다사543417,2
20,다사543420,1
21,다사543423,2
22,다사543424,2
23,다사543425,4
24,다사543426,13
25,다사543427,2
26,다사543428,5
27,다사543429,4
28,다사543430,2
29,다사543431,3
30,다사543432,3
31,다사543434,2
32,다사543436,8
33,다사543437,2
34,다사543438,14
35,다사543439,8
36,다사543440,7
37,다사543441,2
38,다사543442,8
39,다사543443,1
40,다사544415,2
41,다사544420,3
42,다사544421,2
43,다사544423,3
44,다사544424,1
45,다사544426,4
46,다사544427,2
47,다사544429,1
48,다사544430,3
49,다사544431,2
50,다사544432,4
51,다사544436,4
52,다사544437,2
53,다사544438,5
54,다사544439,9
55,다사544440,21
56,다사544441,3
57,다사544442,2
58,다사544443,4
59,다사544444,2
60,다사544450,1
61,다사545420,2
62,다사545422,2
63,다사545423,4
64,다사545424,1
65,다사545425,1
66,다사545426,1
67,다사545427,2
68,다사545428,1
69,다사545429,3
70,다사545430,2
71,다사545431,13
72,다사545432,9
73,다사545433,3
74,다사545434,2
75,다사545435,1
76,다사545436,5
77,다사545437,3
78,다사545438,3
79,다사545439,4
80,다사545440,5
81,다사545441,7
82,다사545442,6
83,다사545443,13
84,다사545444,11
85,다사545446,1
86,다사545447,4
87,다사545448,2
88,다사545449,3
89,다사546419,1
90,다사546420,5
91,다사546421,11
92,다사546422,3
93,다사546425,1
94,다사546427,3
95,다사546428,2
96,다사546430,7
97,다사546431,4
98,다사546432,3
99,다사546433,3
100,다사546434,7
101,다사546435,1
102,다사546436,6
103,다사546437,5
104,다사546438,3
105,다사546439,1
106,다사546440,3
107,다사546441,2
108,다사546444,2
109,다사546447,13
110,다사546448,38
