,gid,TL_cnt
0,다사542433,1
1,다사543427,2
2,다사545426,1
3,다사545440,2
4,다사545443,1
5,다사547421,1
6,다사547437,2
7,다사550423,1
8,다사550436,1
9,다사552440,1
10,다사553429,1
11,다사553430,1
12,다사553432,1
13,다사554427,1
14,다사556445,2
15,다사559455,1
16,다사560448,1
17,다사560450,2
18,다사563433,1
19,다사564424,1
20,다사565431,1
21,다사567437,2
22,다사568429,1
23,다사568431,3
24,다사568463,1
25,다사569430,2
26,다사569431,5
27,다사570431,1
28,다사570432,2
29,다사571430,1
30,다사572439,1
31,다사572463,1
32,다사573433,1
33,다사573439,3
34,다사573440,2
35,다사573460,1
36,다사573462,1
37,다사574427,1
38,다사574439,1
39,다사574440,1
40,다사574463,2
41,다사574469,1
42,다사575445,1
43,다사575456,1
44,다사575469,1
45,다사575471,1
46,다사576442,1
47,다사576470,1
48,다사577455,1
49,다사577465,1
50,다사578458,1
51,다사579448,2
52,다사579459,1
53,다사580417,1
54,다사580451,1
55,다사580452,2
56,다사580466,1
57,다사580467,1
58,다사581452,1
59,다사581467,1
60,다사582438,1
61,다사582449,1
62,다사583436,1
63,다사583437,2
64,다사583443,1
65,다사583445,4
66,다사583468,1
67,다사583469,1
68,다사583473,1
69,다사583474,1
70,다사584429,1
71,다사584434,1
72,다사584437,1
73,다사584441,1
74,다사584442,1
75,다사584450,1
76,다사584452,1
77,다사584453,3
78,다사585444,1
79,다사585452,2
80,다사585453,1
81,다사585458,2
82,다사585468,2
83,다사586431,1
84,다사586444,1
85,다사586453,1
86,다사587411,1
87,다사587456,1
88,다사588444,1
89,다사588450,1
90,다사589429,1
91,다사589431,1
92,다사589440,1
93,다사589445,2
94,다사589447,1
95,다사589462,2
96,다사589474,1
97,다사590436,1
98,다사590445,1
99,다사590448,1
100,다사590455,1
101,다사591448,1
102,다사591456,1
103,다사591461,1
104,다사591464,1
105,다사591465,1
106,다사591472,2
107,다사592428,1
108,다사592447,4
109,다사592448,1
110,다사592449,3
111,다사593447,4
112,다사593449,3
113,다사593451,1
114,다사594447,5
115,다사594451,1
116,다사594463,1
117,다사594464,1
118,다사594472,1
119,다사594475,1
120,다사595409,2
121,다사595419,1
122,다사595448,3
123,다사596421,1
124,다사596450,1
125,다사596451,2
126,다사598457,2
127,다사599419,1
128,다사599448,1
129,다사599451,1
130,다사601460,1
131,다사601472,1
132,다사602459,1
133,다사602460,2
134,다사602476,1
135,다사603450,1
136,다사603452,4
137,다사603453,5
138,다사604431,1
139,다사604450,1
140,다사604451,2
141,다사604452,1
142,다사604460,1
143,다사604473,2
144,다사605434,1
145,다사605452,3
146,다사605453,2
147,다사605471,1
148,다사606389,2
149,다사606427,1
150,다사606451,1
151,다사606472,1
152,다사607382,1
153,다사607472,1
154,다사608449,1
155,다사608456,1
156,다사608460,1
157,다사609455,1
158,다사610449,1
159,다사611428,1
160,다사613457,3
161,다사614455,1
162,다사615455,1
163,다사616456,1
164,다사630428,1
