,gid,TL_cnt
0,다사541452,6
1,다사542417,1
2,다사542418,1
3,다사542420,2
4,다사542421,18
5,다사542422,14
6,다사542423,4
7,다사542424,12
8,다사542425,4
9,다사542426,9
10,다사542427,5
11,다사542429,5
12,다사542430,18
13,다사542431,4
14,다사542432,7
15,다사542433,12
16,다사542436,2
17,다사543417,1
18,다사543420,3
19,다사543421,23
20,다사543422,13
21,다사543423,16
22,다사543424,7
23,다사543425,4
24,다사543426,13
25,다사543427,3
26,다사543428,2
27,다사543429,11
28,다사543430,6
29,다사543431,1
30,다사543432,18
31,다사543433,3
32,다사543436,3
33,다사543437,5
34,다사543439,10
35,다사543440,2
36,다사543441,5
37,다사543442,6
38,다사544420,10
39,다사544421,10
40,다사544423,8
41,다사544424,2
42,다사544425,1
43,다사544427,1
44,다사544429,2
45,다사544430,4
46,다사544431,1
47,다사544432,9
48,다사544436,4
49,다사544437,1
50,다사544438,2
51,다사544439,5
52,다사544440,13
53,다사544441,3
54,다사544442,3
55,다사544443,5
56,다사544444,2
57,다사545420,3
58,다사545421,3
59,다사545422,2
60,다사545423,2
61,다사545424,2
62,다사545426,1
63,다사545427,1
64,다사545429,8
65,다사545430,8
66,다사545431,11
67,다사545432,24
68,다사545433,5
69,다사545435,3
70,다사545436,4
71,다사545438,14
72,다사545439,24
73,다사545440,16
74,다사545441,38
75,다사545442,9
76,다사545443,13
77,다사545444,12
78,다사545447,20
79,다사545448,2
80,다사545449,10
81,다사546410,3
82,다사546420,6
83,다사546421,6
84,다사546422,1
85,다사546432,2
86,다사546433,7
87,다사546434,4
88,다사546436,8
89,다사546437,15
90,다사546438,5
91,다사546439,7
92,다사546440,5
93,다사546441,1
94,다사546443,1
95,다사546444,6
96,다사546447,12
97,다사546448,11
98,다사546449,2
99,다사547409,2
100,다사547412,3
101,다사547419,2
102,다사547420,5
103,다사547421,1
104,다사547422,11
105,다사547427,1
106,다사547431,1
107,다사547433,7
108,다사547434,4
109,다사547435,1
110,다사547436,2
111,다사547437,6
112,다사547438,8
113,다사547441,1
114,다사547442,9
115,다사547443,2
116,다사547448,6
117,다사548408,2
118,다사548409,3
119,다사548419,1
120,다사548422,4
121,다사548423,1
122,다사548431,2
123,다사548432,3
124,다사548433,3
125,다사548434,3
126,다사548435,3
127,다사548436,4
128,다사548437,8
129,다사548438,9
130,다사548439,4
131,다사548440,7
132,다사548441,5
133,다사548448,19
134,다사548452,12
135,다사549422,3
136,다사549427,1
137,다사549429,3
138,다사549430,2
139,다사549431,5
140,다사549432,2
141,다사549434,13
142,다사549435,4
143,다사549436,6
144,다사549437,8
145,다사549438,12
146,다사549439,17
147,다사549440,6
148,다사549444,2
149,다사549445,2
150,다사549448,28
151,다사550418,2
152,다사550422,1
153,다사550423,1
154,다사550425,1
155,다사550427,1
156,다사550428,1
157,다사550429,4
158,다사550431,1
159,다사550432,2
160,다사550433,5
161,다사550435,15
162,다사550436,13
163,다사550437,7
164,다사550438,4
165,다사550439,5
166,다사550443,2
167,다사550444,3
168,다사550447,3
169,다사551417,1
170,다사551418,4
171,다사551422,1
172,다사551423,7
173,다사551425,4
174,다사551426,2
175,다사551427,1
176,다사551429,3
177,다사551430,4
178,다사551431,3
179,다사551432,6
180,다사551433,11
181,다사551434,8
182,다사551435,12
183,다사551436,1
184,다사551439,8
185,다사551444,1
186,다사551454,15
187,다사552417,2
188,다사552418,3
189,다사552424,4
190,다사552426,2
191,다사552427,1
192,다사552428,1
193,다사552429,4
194,다사552430,5
195,다사552431,31
196,다사552432,5
197,다사552433,3
198,다사552434,12
199,다사552435,2
200,다사552436,3
201,다사552439,8
202,다사552444,1
203,다사552449,1
204,다사552451,1
205,다사552457,1
206,다사553424,2
207,다사553425,6
208,다사553426,4
209,다사553427,23
210,다사553428,19
211,다사553429,14
212,다사553430,7
213,다사553431,4
214,다사553432,12
215,다사553433,4
216,다사553434,1
217,다사553439,2
218,다사553443,3
219,다사553444,1
220,다사553451,1
221,다사553452,19
222,다사554424,1
223,다사554425,6
224,다사554426,37
225,다사554427,30
226,다사554428,11
227,다사554429,16
228,다사554430,4
229,다사554431,1
230,다사554433,1
231,다사554434,1
232,다사554435,2
233,다사554439,1
234,다사554443,3
235,다사554444,10
236,다사554445,1
237,다사554449,4
238,다사554450,1
239,다사554460,15
240,다사555415,1
241,다사555424,1
242,다사555425,8
243,다사555426,23
244,다사555427,8
245,다사555428,2
246,다사555431,3
247,다사555432,1
248,다사555433,2
249,다사555434,1
250,다사555437,2
251,다사555442,2
252,다사555443,3
253,다사555444,11
254,다사555445,8
255,다사556421,1
256,다사556424,1
257,다사556425,9
258,다사556426,1
259,다사556433,2
260,다사556434,1
261,다사556441,7
262,다사556442,10
263,다사556443,23
264,다사556444,14
265,다사556445,25
266,다사556446,8
267,다사556455,2
268,다사557418,2
269,다사557420,1
270,다사557421,1
271,다사557422,4
272,다사557423,4
273,다사557424,12
274,다사557425,13
275,다사557431,2
276,다사557442,1
277,다사557443,10
278,다사557444,18
279,다사557445,9
280,다사557446,7
281,다사558420,7
282,다사558421,7
283,다사558422,4
284,다사558423,4
285,다사558439,1
286,다사558440,1
287,다사558442,1
288,다사558443,7
289,다사558445,5
290,다사558446,1
291,다사558451,22
292,다사558453,4
293,다사559422,1
294,다사559424,2
295,다사559427,1
296,다사559430,1
297,다사559439,1
298,다사559442,6
299,다사559444,2
300,다사559452,8
301,다사560420,5
302,다사560426,1
303,다사560427,1
304,다사560430,2
305,다사560443,2
306,다사560445,2
307,다사560447,2
308,다사560448,8
309,다사560450,126
310,다사560451,5
311,다사560453,1
312,다사560455,1
313,다사561420,2
314,다사561423,1
315,다사561426,8
316,다사561427,2
317,다사561430,4
318,다사561431,2
319,다사561453,7
320,다사561455,2
321,다사561456,12
322,다사562423,1
323,다사562425,2
324,다사562426,6
325,다사562427,3
326,다사562435,24
327,다사562436,18
328,다사562437,1
329,다사562450,9
330,다사562452,1
331,다사562453,31
332,다사562456,2
333,다사562458,2
334,다사562459,21
335,다사563421,1
336,다사563422,3
337,다사563423,2
338,다사563424,2
339,다사563426,4
340,다사563427,6
341,다사563433,1
342,다사563439,3
343,다사563441,1
344,다사563449,24
345,다사563454,4
346,다사563457,5
347,다사563459,1
348,다사563461,1
349,다사564426,6
350,다사564427,5
351,다사564431,3
352,다사564434,12
353,다사564435,3
354,다사564437,2
355,다사564438,2
356,다사564439,2
357,다사564451,41
358,다사564453,66
359,다사564454,5
360,다사564456,33
361,다사564457,5
362,다사564461,5
363,다사564466,1
364,다사565423,1
365,다사565424,1
366,다사565427,9
367,다사565428,1
368,다사565430,1
369,다사565431,6
370,다사565432,15
371,다사565433,8
372,다사565434,10
373,다사565435,5
374,다사565436,22
375,다사565437,3
376,다사565438,3
377,다사565446,3
378,다사565447,1
379,다사565454,1
380,다사565456,2
381,다사565459,6
382,다사565461,2
