,gid,TL_cnt
0,다사544422,1
1,다사544434,1
2,다사545434,1
3,다사546432,1
4,다사547412,1
5,다사548442,1
6,다사549420,1
7,다사549425,1
8,다사550419,1
9,다사550448,1
10,다사550449,1
11,다사551419,1
12,다사551449,1
13,다사552448,2
14,다사553433,1
15,다사554452,1
16,다사555424,1
17,다사555451,1
18,다사556430,1
19,다사556440,1
20,다사556448,1
21,다사561422,1
22,다사561457,1
23,다사563428,1
24,다사563434,1
25,다사563449,1
26,다사565430,1
27,다사566424,1
28,다사566458,1
29,다사567421,1
30,다사568465,1
31,다사569453,1
32,다사569464,1
33,다사570452,1
34,다사571436,2
35,다사571449,1
36,다사572447,1
37,다사572448,1
38,다사574398,1
39,다사576473,1
40,다사577429,1
41,다사577445,1
42,다사578406,1
43,다사578428,1
44,다사578474,1
45,다사579415,1
46,다사579439,1
47,다사579445,1
48,다사579472,1
49,다사580408,1
50,다사580436,1
51,다사581455,1
52,다사585465,1
53,다사585481,1
54,다사586417,1
55,다사586438,1
56,다사586476,1
57,다사587427,1
58,다사587467,1
59,다사587479,1
60,다사587480,1
61,다사588423,1
62,다사589432,1
63,다사589433,1
64,다사590431,1
65,다사592425,1
66,다사593459,1
67,다사595414,1
68,다사595469,1
69,다사596416,1
70,다사596477,1
71,다사597415,1
72,다사597438,1
73,다사597458,1
74,다사598468,1
75,다사598477,1
76,다사598478,1
77,다사599448,1
78,다사599460,1
79,다사599462,1
80,다사600428,1
81,다사600448,1
82,다사601441,1
83,다사601447,1
84,다사603420,1
85,다사603424,1
86,다사603436,1
87,다사603447,1
88,다사604419,1
89,다사604435,1
90,다사604437,1
91,다사605437,1
92,다사606392,1
93,다사606445,1
94,다사607430,1
95,다사607441,2
96,다사607465,1
97,다사608441,1
98,다사609430,1
99,다사609435,1
100,다사610429,1
101,다사611468,1
102,다사612395,1
103,다사612452,2
104,다사613436,1
105,다사613451,1
106,다사613467,1
107,다사614430,1
108,다사614450,1
109,다사615439,1
110,다사616431,1
111,다사619435,1
112,다사621436,1
113,다사625434,1
114,다사627433,1
115,다사627442,1
116,다사629429,1
117,다사629437,1
118,다사629438,1
119,다사632424,1
120,다사634425,1
121,다사634430,1
122,다사635427,1
123,다사635438,1
124,다사638411,1
125,다사639414,1
126,다사642435,1
127,다사646414,1
128,다사646415,1
129,다사647436,1
130,다사648434,1
131,다사648435,1
132,다사651406,1
133,다사653417,1
