,gid,TL_cnt
0,다사542417,1
1,다사542418,2
2,다사542421,1
3,다사542422,1
4,다사542423,1
5,다사542424,1
6,다사542425,4
7,다사542427,3
8,다사542432,3
9,다사542433,1
10,다사542435,1
11,다사542436,1
12,다사543415,2
13,다사543423,1
14,다사543424,1
15,다사543425,1
16,다사543426,2
17,다사543427,5
18,다사543428,4
19,다사543429,1
20,다사543434,5
21,다사543436,2
22,다사543439,1
23,다사543441,2
24,다사543442,1
25,다사543443,1
26,다사544418,1
27,다사544421,1
28,다사544423,2
29,다사544424,3
30,다사544426,2
31,다사544427,1
32,다사544430,2
33,다사544431,5
34,다사544432,7
35,다사544435,1
36,다사544436,2
37,다사544437,1
38,다사544441,1
39,다사544442,1
40,다사545420,1
41,다사545422,6
42,다사545423,3
43,다사545424,3
44,다사545429,2
45,다사545430,2
46,다사545431,7
47,다사545432,13
48,다사545434,1
49,다사545436,2
50,다사545439,1
51,다사545442,2
52,다사545443,1
53,다사545444,1
54,다사545447,2
55,다사545449,1
56,다사546420,4
57,다사546421,1
58,다사546422,2
59,다사546427,1
60,다사546428,1
61,다사546429,1
62,다사546431,2
63,다사546433,2
64,다사546435,1
65,다사546436,1
66,다사546437,1
67,다사546440,1
68,다사546441,5
69,다사546444,1
70,다사546447,9
71,다사546448,10
72,다사546449,2
73,다사547408,1
74,다사547419,1
75,다사547421,1
76,다사547422,3
77,다사547429,1
78,다사547431,1
79,다사547432,2
80,다사547435,2
81,다사547436,2
82,다사547437,1
83,다사547441,14
84,다사547442,11
85,다사547448,8
86,다사548408,1
87,다사548419,4
88,다사548420,1
89,다사548422,2
90,다사548431,1
91,다사548433,1
92,다사548435,1
93,다사548437,1
94,다사548438,2
95,다사548440,4
96,다사548441,9
97,다사548444,1
98,다사548445,1
99,다사548447,1
100,다사548448,13
101,다사548452,3
102,다사549422,4
103,다사549423,1
104,다사549428,1
105,다사549429,2
106,다사549431,1
107,다사549432,1
108,다사549434,2
109,다사549436,1
110,다사549437,4
111,다사549438,6
112,다사549439,1
113,다사549440,1
114,다사549445,2
115,다사549448,26
116,다사550418,5
117,다사550428,1
118,다사550429,5
119,다사550432,1
120,다사550435,2
121,다사550436,1
122,다사550437,1
123,다사550443,3
124,다사550447,3
125,다사550450,1
126,다사551422,1
127,다사551424,4
128,다사551426,3
129,다사551427,2
130,다사551428,1
131,다사551429,3
132,다사551431,1
133,다사551432,4
134,다사551434,3
135,다사551435,1
136,다사551436,2
137,다사551438,4
138,다사552421,1
139,다사552425,1
140,다사552427,2
141,다사552428,1
142,다사552430,5
143,다사552431,1
144,다사552432,1
145,다사552434,4
146,다사552437,1
147,다사552439,1
148,다사553424,1
149,다사553426,1
150,다사553427,11
151,다사553428,2
152,다사553429,9
153,다사553431,5
154,다사553433,1
155,다사553434,1
156,다사553436,1
157,다사553444,1
158,다사553451,1
159,다사553452,8
160,다사554425,1
161,다사554426,1
162,다사554427,5
163,다사554428,5
164,다사554429,6
165,다사554430,1
166,다사554431,2
167,다사554433,1
168,다사554435,1
169,다사554444,1
170,다사554448,2
171,다사554449,9
172,다사554453,1
