,gid,TL_cnt
0,다사542418,1
1,다사543426,1
2,다사543429,1
3,다사543443,1
4,다사545437,1
5,다사545441,1
6,다사545443,1
7,다사549440,1
8,다사551435,1
9,다사552429,1
10,다사553452,1
11,다사554435,1
12,다사555426,1
13,다사556445,1
14,다사558451,1
15,다사559439,1
16,다사563424,1
17,다사563427,1
18,다사564439,1
19,다사564456,1
20,다사565431,1
21,다사566433,1
22,다사568438,1
23,다사573441,1
24,다사573457,1
25,다사575427,1
26,다사575431,1
27,다사575440,1
28,다사575457,1
29,다사575463,1
30,다사575470,1
31,다사575473,1
32,다사576431,1
33,다사576445,1
34,다사576461,1
35,다사576470,1
36,다사576471,1
37,다사577459,1
38,다사578456,1
39,다사578465,1
40,다사579449,1
41,다사579459,1
42,다사580406,1
43,다사581451,1
44,다사581455,1
45,다사581471,1
46,다사582453,1
47,다사582458,1
48,다사582461,1
49,다사582462,1
50,다사583436,1
51,다사583459,1
52,다사583467,1
53,다사583470,1
54,다사584440,1
55,다사584442,1
56,다사584443,1
57,다사584449,1
58,다사585435,1
59,다사585438,1
60,다사585446,1
61,다사585468,1
62,다사586435,1
63,다사587445,1
64,다사587456,1
65,다사587464,1
66,다사588436,1
67,다사588455,1
68,다사588476,1
69,다사589444,1
70,다사589448,1
71,다사589454,1
72,다사589468,1
73,다사589476,1
74,다사589477,1
75,다사590420,1
76,다사590449,1
77,다사590453,1
78,다사591470,1
79,다사592420,1
80,다사592437,1
81,다사592441,1
82,다사592444,1
83,다사592470,1
84,다사592475,1
85,다사592476,1
86,다사593466,2
87,다사594456,1
88,다사594457,1
89,다사594459,1
90,다사594464,1
91,다사594465,1
92,다사595472,1
93,다사596420,1
94,다사596471,1
95,다사597440,1
96,다사597443,1
97,다사597448,3
98,다사597450,1
99,다사597466,1
100,다사598414,1
101,다사598415,1
102,다사598419,2
103,다사598444,1
104,다사599458,1
105,다사599472,1
106,다사600449,1
107,다사600453,1
108,다사600474,1
109,다사601459,1
110,다사601464,1
111,다사602418,1
112,다사603431,3
113,다사603443,1
114,다사603444,1
115,다사603451,1
116,다사604419,1
117,다사604444,1
118,다사604449,1
119,다사604457,1
120,다사604461,2
121,다사605396,1
122,다사605451,1
123,다사605457,1
124,다사605459,1
125,다사605461,1
126,다사606456,1
127,다사606474,1
128,다사607387,2
129,다사607456,1
130,다사607472,1
131,다사608454,2
132,다사609436,1
133,다사610459,2
134,다사616445,1
135,다사617450,1
136,다사621444,1
137,다사628439,2
138,다사632437,1
139,다사633438,1
140,다사650433,1
