,gid,TL_cnt
1,다사540449,1
2,다사541420,1
3,다사542431,2
4,다사546448,1
5,다사548406,1
6,다사552432,1
7,다사554450,1
8,다사555425,1
9,다사562451,1
10,다사564437,1
11,다사568455,1
12,다사568460,1
13,다사570438,1
14,다사571451,1
15,다사572429,1
16,다사576464,1
17,다사577458,1
18,다사580451,1
19,다사582444,1
20,다사583475,1
21,다사586462,1
22,다사588429,1
23,다사588454,1
24,다사590447,1
25,다사594465,1
26,다사594476,1
27,다사596458,1
28,다사599431,1
29,다사601451,1
30,다사604442,1
31,다사604460,1
32,다사605467,1
33,다사607436,1
34,다사610431,1
35,다사611461,1
36,다사613440,1
37,다사613455,1
38,다사616434,1
39,다사620442,1
40,다사622436,1
41,다사628439,1
42,다사632428,1
43,다사650429,1
