,gid,COUNT
0,다사540449,38
1,다사540450,150
2,다사540451,81
3,다사540452,81
4,다사540453,81
5,다사541417,30
6,다사541418,23
7,다사541419,46
8,다사541420,46
9,다사541421,88
10,다사541422,65
11,다사541423,61
12,다사541424,113
13,다사541425,71
14,다사541426,99
15,다사541427,80
16,다사541448,75
17,다사541449,106
18,다사541450,150
19,다사541451,112
20,다사541452,174
21,다사541453,143
22,다사542415,7
23,다사542416,7
24,다사542417,30
25,다사542418,23
26,다사542419,23
27,다사542420,23
28,다사542421,65
29,다사542422,42
30,다사542423,42
31,다사542424,94
32,다사542425,52
33,다사542426,52
34,다사542427,52
35,다사542428,117
36,다사542429,65
37,다사542430,65
38,다사542431,111
39,다사542432,46
40,다사542433,46
41,다사542434,46
42,다사542435,81
43,다사542436,35
44,다사542437,35
45,다사542438,78
46,다사542439,43
47,다사542440,43
48,다사542441,43
49,다사542442,76
50,다사542443,33
51,다사542448,37
52,다사542449,68
53,다사542450,31
54,다사542451,31
55,다사542452,174
56,다사542453,62
57,다사543413,0
58,다사543414,10
59,다사543415,7
60,다사543416,7
61,다사543417,34
62,다사543418,27
63,다사543419,23
64,다사543420,23
65,다사543421,74
66,다사543422,42
67,다사543423,42
68,다사543424,104
69,다사543425,62
70,다사543426,52
71,다사543427,52
72,다사543428,129
73,다사543429,65
74,다사543430,65
75,다사543431,147
76,다사543432,46
77,다사543433,46
78,다사543434,46
79,다사543435,109
80,다사543436,35
81,다사543437,35
82,다사543438,100
83,다사543439,43
84,다사543440,43
85,다사543441,68
86,다사543442,101
87,다사543443,33
88,다사543444,33
89,다사543447,37
90,다사543448,69
91,다사543449,100
92,다사543450,31
93,다사543451,31
94,다사543452,93
95,다사543453,62
96,다사544412,5
97,다사544413,3
98,다사544414,10
99,다사544415,10
100,다사544416,14
101,다사544417,11
102,다사544418,27
103,다사544419,36
104,다사544420,32
105,다사544421,74
106,다사544422,51
107,다사544423,61
108,다사544424,52
109,다사544425,62
110,다사544426,74
111,다사544427,64
112,다사544428,129
113,다사544429,113
114,다사544430,101
115,다사544431,147
116,다사544432,82
117,다사544433,110
118,다사544434,74
119,다사544435,109
120,다사544436,85
121,다사544437,57
122,다사544438,100
123,다사544439,65
124,다사544440,90
125,다사544441,68
126,다사544442,58
127,다사544443,112
128,다사544444,87
129,다사544445,124
130,다사544446,91
131,다사544447,123
132,다사544448,69
133,다사544449,63
134,다사544450,129
135,다사544451,97
136,다사544452,159
137,다사544453,128
138,다사545411,2
139,다사545412,5
140,다사545413,3
141,다사545414,3
142,다사545415,3
143,다사545416,7
144,다사545417,4
145,다사545418,4
146,다사545419,13
147,다사545420,9
148,다사545421,9
149,다사545422,9
150,다사545423,19
151,다사545424,10
152,다사545425,10
153,다사545426,22
154,다사545427,12
155,다사545428,12
156,다사545429,48
157,다사545430,36
158,다사545431,36
159,다사545432,36
160,다사545433,64
161,다사545434,28
162,다사545435,28
163,다사545436,50
164,다사545437,22
165,다사545438,22
166,다사545439,22
167,다사545440,47
168,다사545441,25
169,다사545442,25
170,다사545443,79
171,다사545444,54
172,다사545445,54
173,다사545446,54
174,다사545447,86
175,다사545448,32
176,다사545449,32
177,다사545450,98
178,다사545451,66
179,다사545452,66
180,다사545453,66
181,다사545454,157
182,다사546401,0
183,다사546402,0
184,다사546403,0
185,다사546409,2
186,다사546410,2
187,다사546411,2
188,다사546412,5
189,다사546413,3
190,다사546414,3
191,다사546415,4
192,다사546416,8
193,다사546417,4
194,다사546418,4
195,다사546419,15
196,다사546420,9
197,다사546421,9
198,다사546422,13
199,다사546423,23
200,다사546424,10
201,다사546425,10
202,다사546426,24
203,다사546427,12
204,다사546428,12
205,다사546429,65
206,다사546430,53
207,다사546431,36
208,다사546432,36
209,다사546433,88
210,다사546434,28
211,다사546435,28
212,다사546436,79
213,다사546437,51
214,다사546438,22
215,다사546439,22
216,다사546440,66
217,다사546441,25
218,다사546442,25
219,다사546443,106
220,다사546444,54
221,다사546445,54
222,다사546446,54
223,다사546447,111
224,다사546448,32
225,다사546449,32
226,다사546450,114
227,다사546451,66
228,다사546452,66
229,다사546453,66
230,다사546454,95
231,다사546455,29
232,다사546456,29
233,다사547400,0
234,다사547401,0
235,다사547402,0
236,다사547403,0
237,다사547404,0
238,다사547405,0
239,다사547406,0
240,다사547407,0
241,다사547408,0
242,다사547409,2
243,다사547410,2
244,다사547411,2
245,다사547412,2
246,다사547413,3
247,다사547414,4
248,다사547415,4
249,다사547416,5
250,다사547417,7
251,다사547418,6
252,다사547419,15
253,다사547420,11
254,다사547421,15
255,다사547422,13
256,다사547423,14
257,다사547424,16
258,다사547425,12
259,다사547426,24
260,다사547427,14
261,다사547428,31
262,다사547429,29
263,다사547430,53
264,다사547431,77
265,다사547432,60
266,다사547433,88
267,다사547434,52
268,다사547435,81
269,다사547436,57
270,다사547437,51
271,다사547438,70
272,다사547439,41
273,다사547440,66
274,다사547441,44
275,다사547442,71
276,다사547443,106
277,다사547444,81
278,다사547445,106
279,다사547446,79
280,다사547447,111
281,다사547448,73
282,다사547449,48
283,다사547450,114
284,다사547451,82
285,다사547452,145
286,다사547453,129
287,다사547454,158
288,다사547455,122
289,다사547456,59
290,다사547457,82
291,다사547458,53
292,다사548400,0
293,다사548401,0
294,다사548402,0
295,다사548403,0
296,다사548404,0
297,다사548405,0
298,다사548406,0
299,다사548407,0
300,다사548408,0
301,다사548409,0
302,다사548410,0
303,다사548411,0
304,다사548412,0
305,다사548413,0
306,다사548414,1
307,다사548415,1
308,다사548416,1
309,다사548417,3
310,다사548418,2
311,다사548419,2
312,다사548420,2
313,다사548421,6
314,다사548422,4
315,다사548423,4
316,다사548424,6
317,다사548425,2
318,다사548426,2
319,다사548427,2
320,다사548428,19
321,다사548429,17
322,다사548430,17
323,다사548431,41
324,다사548432,24
325,다사548433,24
326,다사548434,24
327,다사548435,53
328,다사548436,29
329,다사548437,29
330,다사548438,48
331,다사548439,19
332,다사548440,19
333,다사548441,19
334,다사548442,46
335,다사548443,27
336,다사548444,27
337,다사548445,52
338,다사548446,25
339,다사548447,25
340,다사548448,41
341,다사548449,16
342,다사548450,16
343,다사548451,16
344,다사548452,145
345,다사548453,63
346,다사548454,63
347,다사548455,122
348,다사548456,30
349,다사548457,30
350,다사548458,30
351,다사548459,89
352,다사549401,0
353,다사549402,0
354,다사549403,0
355,다사549404,0
356,다사549405,0
357,다사549406,0
358,다사549407,0
359,다사549408,0
360,다사549409,0
361,다사549410,0
362,다사549411,0
363,다사549412,0
364,다사549413,0
365,다사549414,2
366,다사549415,1
367,다사549416,1
368,다사549417,6
369,다사549418,5
370,다사549419,2
371,다사549420,3
372,다사549421,7
373,다사549422,4
374,다사549423,4
375,다사549424,8
376,다사549425,4
377,다사549426,2
378,다사549427,6
379,다사549428,23
380,다사549429,17
381,다사549430,17
382,다사549431,68
383,다사549432,24
384,다사549433,24
385,다사549434,53
386,다사549435,82
387,다사549436,29
388,다사549437,29
389,다사549438,61
390,다사549439,19
391,다사549440,19
392,다사549441,31
393,다사549442,58
394,다사549443,27
395,다사549444,27
396,다사549445,78
397,다사549446,25
398,다사549447,25
399,다사549448,65
400,다사549449,40
401,다사549450,16
402,다사549451,16
403,다사549452,96
404,다사549453,63
405,다사549454,63
406,다사549455,93
407,다사549456,30
408,다사549457,30
409,다사549458,30
410,다사549459,66
411,다사549460,36
412,다사549461,36
413,다사550402,0
414,다사550403,0
415,다사550404,0
416,다사550405,0
417,다사550406,0
418,다사550407,0
419,다사550408,0
420,다사550409,0
421,다사550410,0
422,다사550411,0
423,다사550412,1
424,다사550413,1
425,다사550414,2
426,다사550415,2
427,다사550416,5
428,다사550417,4
429,다사550418,5
430,다사550419,6
431,다사550420,3
432,다사550421,5
433,다사550422,5
434,다사550423,7
435,다사550424,6
436,다사550425,4
437,다사550426,8
438,다사550427,6
439,다사550428,21
440,다사550429,48
441,다사550430,44
442,다사550431,68
443,다사550432,51
444,다사550433,80
445,다사550434,53
446,다사550435,58
447,다사550436,71
448,다사550437,42
449,다사550438,61
450,다사550439,32
451,다사550440,44
452,다사550441,31
