,gid,COUNT
0,다사540449,217
1,다사540450,951
2,다사540451,530
3,다사540452,530
4,다사540453,530
5,다사541417,78
6,다사541418,68
7,다사541419,150
8,다사541420,147
9,다사541421,264
10,다사541422,199
11,다사541423,185
12,다사541424,307
13,다사541425,190
14,다사541426,278
15,다사541427,210
16,다사541448,419
17,다사541449,623
18,다사541450,951
19,다사541451,734
20,다사541452,1177
21,다사541453,973
22,다사542415,10
23,다사542416,10
24,다사542417,75
25,다사542418,65
26,다사542419,65
27,다사542420,65
28,다사542421,182
29,다사542422,117
30,다사542423,117
31,다사542424,239
32,다사542425,122
33,다사542426,122
34,다사542427,122
35,다사542428,343
36,다사542429,221
37,다사542430,221
38,다사542431,422
39,다사542432,201
40,다사542433,201
41,다사542434,201
42,다사542435,379
43,다사542436,178
44,다사542437,178
45,다사542438,383
46,다사542439,205
47,다사542440,205
48,다사542441,205
49,다사542442,381
50,다사542443,176
51,다사542448,202
52,다사542449,406
53,다사542450,204
54,다사542451,204
55,다사542452,1177
56,다사542453,443
57,다사543413,4
58,다사543414,17
59,다사543415,10
60,다사543416,10
61,다사543417,85
62,다사543418,75
63,다사543419,65
64,다사543420,65
65,다사543421,214
66,다사543422,117
67,다사543423,117
68,다사543424,267
69,다사543425,150
70,다사543426,122
71,다사543427,122
72,다사543428,378
73,다사543429,221
74,다사543430,221
75,다사543431,533
76,다사543432,201
77,다사543433,201
78,다사543434,201
79,다사543435,529
80,다사543436,178
81,다사543437,178
82,다사543438,518
83,다사543439,205
84,다사543440,205
85,다사543441,375
86,다사543442,551
87,다사543443,176
88,다사543444,176
89,다사543447,202
90,다사543448,350
91,다사543449,554
92,다사543450,204
93,다사543451,204
94,다사543452,647
95,다사543453,443
96,다사544412,11
97,다사544413,7
98,다사544414,17
99,다사544415,13
100,다사544416,23
101,다사544417,20
102,다사544418,75
103,다사544419,107
104,다사544420,97
105,다사544421,214
106,다사544422,149
107,다사544423,177
108,다사544424,145
109,다사544425,150
110,다사544426,185
111,다사544427,157
112,다사544428,378
113,다사544429,367
114,다사544430,332
115,다사544431,533
116,다사544432,312
117,다사544433,462
118,다사544434,351
119,다사544435,529
120,다사544436,463
121,다사544437,313
122,다사544438,518
123,다사544439,340
124,다사544440,510
125,다사544441,375
126,다사544442,346
127,다사544443,619
128,다사544444,449
129,다사544445,651
130,다사544446,475
131,다사544447,623
132,다사544448,350
133,다사544449,352
134,다사544450,818
135,다사544451,670
136,다사544452,1113
137,다사544453,909
138,다사545411,4
139,다사545412,7
140,다사545413,3
141,다사545414,3
142,다사545415,3
143,다사545416,13
144,다사545417,10
145,다사545418,10
146,다사545419,42
147,다사545420,32
148,다사545421,32
149,다사545422,32
150,다사545423,60
