,gid,아침총승객수
1,다사540449,27456
2,다사541420,289888
3,다사542431,215908
4,다사546448,19125
5,다사548406,11631
6,다사552432,164486
7,다사554450,25444
8,다사555425,172153
9,다사562451,508001
10,다사564437,293178
11,다사568455,54818
12,다사568460,28002
13,다사570438,531626
14,다사571451,18828
15,다사572429,338193
16,다사576464,360700
17,다사577458,306368
18,다사580451,284968
19,다사582444,928291
20,다사583475,404105
21,다사586462,425175
22,다사588429,525430
23,다사588454,135254
24,다사590447,819574
25,다사594465,401282
26,다사594476,245198
27,다사596458,259681
28,다사599431,144795
29,다사601451,955291
30,다사604442,129494
31,다사604460,93110
32,다사605467,337572
33,다사607436,122123
34,다사610431,17886
35,다사611461,210060
36,다사613440,72929
37,다사613455,747736
38,다사616434,26798
39,다사620442,21521
40,다사622436,21325
41,다사628439,59477
42,다사632428,86940
43,다사650429,250799
