,gid,저녁총승객수
1,다사540449,32063
2,다사541420,387570
3,다사542431,239794
4,다사546448,22862
5,다사548406,10141
6,다사552432,147331
7,다사554450,27760
8,다사555425,158923
9,다사562451,704887
10,다사564437,239588
11,다사568455,52776
12,다사568460,31057
13,다사570438,504913
14,다사571451,20107
15,다사572429,319666
16,다사576464,372597
17,다사577458,256531
18,다사580451,312562
19,다사582444,912929
20,다사583475,380376
21,다사586462,346586
22,다사588429,468319
23,다사588454,120667
24,다사590447,673156
25,다사594465,327169
26,다사594476,252668
27,다사596458,222297
28,다사599431,137244
29,다사601451,833765
30,다사604442,131781
31,다사604460,83377
32,다사605467,257406
33,다사607436,109455
34,다사610431,13956
35,다사611461,202231
36,다사613440,79881
37,다사613455,695587
38,다사616434,27332
39,다사620442,19042
40,다사622436,23972
41,다사628439,64138
42,다사632428,62981
43,다사650429,245861
