,gid,저녁총승객수
1,다사540449,31264
2,다사541420,557818
3,다사542431,288908
4,다사546448,18135
5,다사548406,5266
6,다사552432,69086
7,다사554450,18702
8,다사555425,96834
9,다사562451,381072
10,다사564437,54088
11,다사568455,25732
12,다사568460,36699
13,다사570438,177954
14,다사571451,24983
15,다사572429,129229
16,다사576464,121824
17,다사577458,71103
18,다사580451,185179
19,다사582444,349077
20,다사583475,110140
21,다사586462,44244
22,다사588429,174972
23,다사588454,33100
24,다사590447,115069
25,다사594465,90841
26,다사594476,76280
27,다사596458,61644
28,다사599431,54285
29,다사601451,167223
30,다사604442,78969
31,다사604460,25852
32,다사605467,47940
33,다사607436,63847
34,다사610431,9685
35,다사611461,44079
36,다사613440,69102
37,다사613455,108440
38,다사616434,27095
39,다사620442,11235
40,다사622436,19959
41,다사628439,71483
42,다사632428,52465
43,다사650429,218981
