,Unnamed: 0,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,전화번호,경도,위도,상권번호,데이터기준일자
5,37,25545908,주공부동산,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11680,강남구,1168067000,개포2동,1168010300,개포동,1168010300101850000,1,대지,185,,서울특별시 강남구 개포동 185,116803122001,서울특별시 강남구 개포로,516,,1168010300101850000019804,주공아파트,서울특별시 강남구 개포로 516,135993,6330.0,,1,,,127.070856072009,37.489134335700705,,2017-10-30
13,67,25448752,럭키공인,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11680,강남구,1168065500,도곡1동,1168011800,도곡동,1168011800109590003,1,대지,959,3.0,서울특별시 강남구 도곡동 959-3,116804166091,서울특별시 강남구 남부순환로359길,34,,1168011800109590047000607,,서울특별시 강남구 남부순환로359길 34,135270,6264.0,,1,,02-2057-8945,127.035670113986,37.4870322344704,1839.0,2016-01-26
30,166,20968054,강변공인중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11650,서초구,1165054000,잠원동,1165010600,잠원동,1165010600100530000,1,대지,53,,서울특별시 서초구 잠원동 53,116504163525,서울특별시 서초구 잠원로12길,4,,1165010600100530000018918,잠원현대아파트,서울특별시 서초구 잠원로12길 4,137907,6517.0,,,,02-536-5555,127.012702043909,37.5181271039685,,2017-09-30
39,210,15598991,로즈모닝공인중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11680,강남구,1168075000,수서동,1168011500,수서동,1168011500107240000,1,대지,724,,서울특별시 강남구 수서동 724,116803122002,서울특별시 강남구 광평로,280,,1168011500107240000001486,로즈데일오피스텔,서울특별시 강남구 광평로 280,135744,6367.0,,,102,02-3413-1234,127.10309432439101,37.487311037413605,1848.0,2017-10-02
46,254,15612953,반포자이이화공인중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11650,서초구,1165056000,반포1동,1165010700,반포동,1165010700100200045,1,대지,20,45.0,서울특별시 서초구 반포동 20-45,116503121019,서울특별시 서초구 잠원로,24,,1165010700100200001000007,반포자이플라자,서울특별시 서초구 잠원로 24,137041,6544.0,,,103,02-537-4111,127.00986114705499,37.507110490668104,1940.0,2017-10-02
51,291,20883281,중앙부동산,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11650,서초구,1165057000,반포2동,1165010700,반포동,1165010700100020008,1,대지,2,8.0,서울특별시 서초구 반포동 2-8,116504163450,서울특별시 서초구 신반포로15길,29,,1165010700100020008017794,신반포상가,서울특별시 서초구 신반포로15길 29,137040,6503.0,,1,,02-533-3233,126.994681807611,37.5054594982065,,2020-04-02
56,313,24182556,오렌지공인중개사,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100106820016,1,대지,682,16.0,서울특별시 강남구 역삼동 682-16,116804166441,서울특별시 강남구 선릉로107길,4,,1168010100106820016021348,,서울특별시 강남구 선릉로107길 4,135080,6143.0,,1,,02-539-8880,127.04378881095501,37.509219155073204,,2016-01-27
71,448,15534134,뉴행운공인중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11680,강남구,1168060000,대치1동,1168010600,대치동,1168010600106700000,1,대지,670,,서울특별시 강남구 대치동 670,116803122006,서울특별시 강남구 선릉로,206,,1168010600106700000014460,동부센트레빌,서울특별시 강남구 선릉로 206,135838,6281.0,,,111,,127.05565189749399,37.491428617893895,,2017-09-30
90,551,25502406,에이스공인,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11650,서초구,1165062100,방배4동,1165010100,방배동,1165010100108120023,1,대지,812,23.0,서울특별시 서초구 방배동 812-23,116504163266,서울특별시 서초구 방배로31길,8,,1165010100108120023009035,,서울특별시 서초구 방배로31길 8,137060,6562.0,,1,,02-591-5880,126.99079495296301,37.4908833658167,,2016-01-26
102,675,22566384,삼성부동산공인중개사사무소,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11680,강남구,1168066000,개포1동,1168010300,개포동,1168010300101410000,1,대지,141,,서울특별시 강남구 개포동 141,116803122006,서울특별시 강남구 선릉로,7,,1168010300101410000020029,주공아파트,서울특별시 강남구 선릉로 7,135805,6322.0,,51,,02-572-7244,127.06304361617701,37.479971932846105,,2017-11-05
151,1019,20965041,강남에덴공인중개,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11650,서초구,1165054000,잠원동,1165010600,잠원동,1165010600100510000,1,대지,51,,서울특별시 서초구 잠원동 51,116503121019,서울특별시 서초구 잠원로,202,11.0,1165010600100510000019030,한신잠원훼미리,서울특별시 서초구 잠원로 202-11,137906,6516.0,,1,,02-594-4550,127.014777294548,37.519459967946,,2017-10-06
157,1082,23572460,신영,,L,부동산,L03,분양,L03A04,건물분양-종합,,,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100107020013,1,대지,702,13.0,서울특별시 강남구 역삼동 702-13,116803122010,서울특별시 강남구 테헤란로,313,,1168010100107020013022717,성지하이츠1,서울특별시 강남구 테헤란로 313,135917,6151.0,,,1410,02-501-8775,127.045249111603,37.50379760517,,2016-01-28
179,1205,22492065,신덕리얼티파트너스,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11680,강남구,1168065000,역삼2동,1168010100,역삼동,1168010100107180001,1,대지,718,1.0,서울특별시 강남구 역삼동 718-1,116803122010,서울특별시 강남구 테헤란로,206,,1168010100107180001023509,일월빌딩,서울특별시 강남구 테헤란로 206,135080,6220.0,,3,,02-553-7825,127.03884871809099,37.501060555527,,2020-07-06
200,1286,25538615,대명공인중개,,L,부동산,L01,부동산중개,L01A01,부동산중개,L68221,부동산 자문 및 중개업,11,서울특별시,11680,강남구,1168065600,도곡2동,1168011800,도곡동,1168011800104110014,1,대지,411,14.0,서울특별시 강남구 도곡동 411-14,116802000003,서울특별시 강남구 남부순환로,2728,,1168011800104110014000877,유일빌딩,서울특별시 강남구 남부순환로 2728,135270,6296.0,,1,,02-578-8118,127.04439422051,37.485679449999,1834.0,2017-08-18
