,Unnamed: 0,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,전화번호,경도,위도,상권번호,데이터기준일자
1482,8767,16173497,블록체인과암호화폐,,P,스포츠,P01,운영관리시설,P01A99,기타운영설비,P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168059000,삼성2동,1168010500,삼성동,1168010500101140014,1,대지,114,14.0,서울특별시 강남구 삼성동 114-14,116803122004,서울특별시 강남구 봉은사로,454,,1168010500101140014000001,금탁타워,서울특별시 강남구 봉은사로 454,135509,6153.0,,9,901,,127.049233853074,37.511542777542296,,2018-08-29
2027,12125,16423558,KKM,,P,스포츠,P02,실내운동시설,P02A01,체육관,R91131,종합 스포츠시설 운영업,11,서울특별시,11680,강남구,1168053100,논현2동,1168010800,논현동,1168010800101110011,1,대지,111,11.0,서울특별시 강남구 논현동 111-11,116804166461,서울특별시 강남구 선릉로133길,8,,1168010800101110011009393,,서울특별시 강남구 선릉로133길 8,135820,6059.0,,3,,,127.040064900774,37.5182535504036,1991.0,2020-03-02
2102,12597,16423452,커넥스터,,P,스포츠,P02,실내운동시설,P02A01,체육관,R91131,종합 스포츠시설 운영업,11,서울특별시,11650,서초구,1165065200,양재2동,1165010200,양재동,1165010200103770003,1,대지,377,3.0,서울특별시 서초구 양재동 377-3,116503121005,서울특별시 서초구 동산로,64,,1165010200103770003004285,화성빌딩,서울특별시 서초구 동산로 64,137898,6784.0,,5,,02-573-1333,127.04574675521299,37.471796047440904,,2020-03-02
2104,12604,16421920,루카스포츠,,P,스포츠,P02,실내운동시설,P02A01,체육관,R91131,종합 스포츠시설 운영업,11,서울특별시,11680,강남구,1168053100,논현2동,1168010800,논현동,1168010800101110013,1,대지,111,13.0,서울특별시 강남구 논현동 111-13,116804166459,서울특별시 강남구 선릉로131길,8,,1168010800101110013005681,노벨빌딩,서울특별시 강남구 선릉로131길 8,135820,6059.0,,5,502,,127.040260883106,37.5179668061118,1991.0,2020-03-02
2239,13422,16202500,짱뽕킹,FIT,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700105910016,1,대지,591,16.0,서울특별시 강남구 신사동 591-16,116803121022,서울특별시 강남구 논현로,820,,1168010700105910017027664,제이씨빌딩,서울특별시 강남구 논현로 820,135893,6025.0,,,1,02-543-0806,127.02850577589899,37.5215830352671,2053.0,2018-09-14
2251,13524,16102367,마레복싱짐,,P,스포츠,P02,실내운동시설,P02A04,복싱도장,P85611,스포츠 교육기관,11,서울특별시,11650,서초구,1165053000,서초3동,1165010800,서초동,1165010800115230014,1,대지,1523,14.0,서울특별시 서초구 서초동 1523-14,116504163232,서울특별시 서초구 반포대로21길,49,,1165010800115230014020630,,서울특별시 서초구 반포대로21길 49,137871,6670.0,하,1,,02-586-2628,127.00817658044501,37.4865343057942,,2018-03-08
2397,14418,16101310,앤드핏,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,11,서울특별시,11650,서초구,1165054000,잠원동,1165010600,잠원동,1165010600100200005,1,대지,20,5.0,서울특별시 서초구 잠원동 20-5,116502102001,서울특별시 서초구 강남대로,603,,1165010600100200006019195,인성빌딩,서울특별시 서초구 강남대로 603,137903,6526.0,,,1,,127.01928558158001,37.5155508825179,,2018-03-08
2435,14707,16426735,주짓수브라더스,,P,스포츠,P02,실내운동시설,P02A30,이종격투기,P85611,스포츠 교육기관,11,서울특별시,11680,강남구,1168059000,삼성2동,1168010500,삼성동,1168010500100510000,1,대지,51,,서울특별시 강남구 삼성동 51,116803122005,서울특별시 강남구 삼성로,605,,1168010500100510000015804,청송빌딩,서울특별시 강남구 삼성로 605,135868,6095.0,,1,,02-3446-3446,127.052704674305,37.5134718899824,,2020-03-02
2448,14783,16417017,클럽버디,,P,스포츠,P02,실내운동시설,P02A13,헬스클럽,R91132,체력단련시설 운영업,11,서울특별시,11680,강남구,1168073000,일원1동,1168011400,일원동,1168011400106420003,1,대지,642,3.0,서울특별시 강남구 일원동 642-3,116804166706,서울특별시 강남구 일원로3길,78,,1168011400106420003002181,,서울특별시 강남구 일원로3길 78,135945,6342.0,1,,,,127.08579280834101,37.492936199659205,,2020-03-02
2620,15835,16412798,귤녀의운동이야기,,P,스포츠,P01,운영관리시설,P01A11,기타경기후원업/경기단체,R91199,그외 기타 스포츠 서비스업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100108370024,1,대지,837,24.0,서울특별시 강남구 역삼동 837-24,116804166219,서울특별시 강남구 도곡로1길,10,,1168010100108370024026100,,서울특별시 강남구 도곡로1길 10,135937,6253.0,,2,,,127.03244710525,37.49056505784,1872.0,2020-03-02
2663,16172,16422445,나,무필라테스,P,스포츠,P01,운영관리시설,P01A11,기타경기후원업/경기단체,R91199,그외 기타 스포츠 서비스업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100106510000,1,대지,651,,서울특별시 강남구 역삼동 651,116803122004,서울특별시 강남구 봉은사로,210,,1168010100106510001021517,송산빌딩,서울특별시 강남구 봉은사로 210,135913,6135.0,,,402,02-565-0978,127.035238135942,37.507428611734795,,2020-03-02
2674,16261,16420262,스포츠유니버스,,P,스포츠,P02,실내운동시설,P02A99,기타실내운동시설,R91139,그외 기타 스포츠시설 운영업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100108310000,1,대지,831,,서울특별시 강남구 역삼동 831,116802102001,서울특별시 강남구 강남대로,354,,1168010100108310000025303,혜천빌딩,서울특별시 강남구 강남대로 354,135792,6242.0,1140,,5,070-4036-0925,127.029714326866,37.4946424504004,,2020-03-02
5643,37147,16717801,아울골프아카데미,,P,스포츠,P02,실내운동시설,P02A10,실내골프연습장,R91136,골프연습장 운영업,11,서울특별시,11650,서초구,1165066000,내곡동,1165011100,신원동,1165011100102050001,1,대지,205,1.0,서울특별시 서초구 신원동 205-1,116503000031,서울특별시 서초구 청계산로,203,,1165011100102050001000001,,서울특별시 서초구 청계산로 203,137180,6802.0,1,1,101,,127.056263726911,37.4472724858109,,2020-10-08
