,역이름,위도,경도,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원
0,가락시장역,37.493092048704,127.118258210622,24,0,5190,2945,12014,11440,29370,25848,33246,68790,23474,31727,21120,22838,21416,21726,21908,20012,22664,22552,24105,22575,26504,23175,28096,26846,36603,30173,57260,41967,23667,29910,18315,18776,19460,16022,16174,15926,2515,6834,10,1924,0,0,0,1,0,0
1,가산디지털단지역,37.4803887400743,126.882643680055,1906,8,15029,7644,16269,37461,35721,174238,38169,558438,26947,308086,25886,80858,31513,50822,38842,47295,44337,48347,50210,43870,61275,42732,88233,44227,248615,50733,445216,62037,187166,44944,99522,24689,88962,22123,56198,23174,9201,10184,130,1353,0,0,0,0,0,0
2,가양역,37.5614294894973,126.854402192224,40,0,13684,1597,23835,9154,70230,24679,71699,40946,38499,24723,27789,15452,26416,16763,27774,17376,26140,20819,23729,21621,24855,24686,28661,30071,34018,38226,41239,64997,19210,57544,13011,32931,11657,31205,8836,32950,1624,14411,1,455,0,0,0,0,0,0
3,가오리역,37.6416341556655,127.01676898865,1,1,2137,280,5962,1208,15932,2672,16258,5077,10288,3407,7177,4083,6346,3951,5997,4755,6104,5273,5298,5437,5090,6446,4975,8053,5233,8414,4169,12974,2792,12986,1944,7408,1523,6059,1213,5765,313,2641,1,3,0,0,0,0,0,0
4,가좌역,37.5687505576544,126.914810592109,0,0,2711,255,6836,3133,19966,3826,24336,8142,10476,7241,7582,5384,6863,5021,7527,5129,6611,7051,6430,6973,6519,7356,8179,9836,8024,11632,8390,17390,4895,13972,3480,7780,3055,5612,2616,6613,601,3908,3,309,0,0,0,0,0,0
5,강남구청역,37.5172008632289,127.041287183507,8,0,2319,2329,5879,17323,13890,48223,18347,162627,15993,136429,15971,54003,18704,35531,21949,32287,25391,34342,30541,29456,36818,27664,44310,28133,68935,32764,135756,40317,77117,24792,45361,14116,47057,11616,41475,11535,5963,4919,31,720,0,0,0,0,0,0
6,강남역,37.4980854411503,127.027977657727,85,6,5464,10853,15861,49435,36772,151261,58759,321542,46399,311718,46127,143770,62808,101593,79250,97700,95124,116716,102147,102382,126969,94677,143646,97346,222349,123126,335143,173742,203119,99700,152318,42059,202148,33576,195879,36941,24062,12861,7,4,0,0,0,0,0,0
7,강동구청역,37.530193178362,127.120443701344,8,1,4633,944,10695,4871,31486,14566,40603,33764,21025,13858,13342,9930,11423,9037,12054,9240,12150,11752,11669,11399,11967,11950,13799,15767,16892,20892,26905,34650,10407,26846,7009,14828,6843,13305,4968,15267,980,5466,1,404,0,0,0,0,0,0
8,강동역,37.5358747268317,127.132378184615,67,1,10617,1521,20050,11406,56077,28371,67190,50356,34161,27273,23095,17692,21294,15224,22700,16361,21845,19628,21214,18551,22301,20930,25231,24088,38703,32805,46582,52884,21342,42215,14379,25501,12379,23339,10085,26947,2402,13681,8,1090,0,0,0,0,0,0
9,강변역,37.535118053119,127.094722999066,8,1,7826,1835,25393,18766,76778,23506,104789,44325,70978,35345,48914,32926,44339,30736,44542,34894,42969,39456,39831,40949,39952,46818,43017,53897,50211,70674,56897,107654,40680,75727,29492,47210,26635,39063,18487,47656,4756,13648,3,292,0,0,0,0,0,0
