,과속방지턱관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,위도,경도,보차분리여부,연속형여부,과속방지턱설치년도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
144,82000284,서울특별시,강동구,양재대로91길,서울특별시 강동구 양재대로91길 77,서울특별시 강동구 성내동 423-6,서울특별시 강동구 양재대로91길 77 (성내동),1,1,10.0,360.0,620,1,Y,37.5287054,127.1318335,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
195,2020-3000000-06-0065,서울특별시,종로구,종로51가길 26,서울특별시 종로구 종로51가길 26,,도로,1,01,10.0,360.0,4,01,Y,37.57330331,127.0122581,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
196,2020-3000000-06-0065,서울특별시,종로구,종로44길 82,서울특별시 종로구 종로44길 82,,도로,1,01,7.5,200.0,5,01,Y,37.57064716,127.0148474,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
197,2020-3000000-06-0065,서울특별시,종로구,혜화로9길 20,서울특별시 종로구 혜화로9길 20,,도로,1,01,10.0,360.0,4,01,Y,37.58779267,126.9985878,Y,Y,,서울특별시 종로구청,02-2148-3273,2020-07-02,3000000.0,서울특별시 종로구
357,82000002,서울특별시,강동구,상암로81길,서울특별시 강동구 상암로 427-8,서울특별시 강동구 상일동 457-5,서울특별시 강동구 상암로 427-8,1,1,10.0,360.0,280,2,Y,37.5462097,127.1701126,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
358,82000003,서울특별시,강동구,천호대로 219가길,서울특별시 강동구 천호대로219가길 19,서울특별시 강동구 상일동 303-5,서울특별시 강동구 천호대로219가길 19,1,1,10.0,380.0,350,2,Y,37.5470184,127.1712138,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
359,82000004,서울특별시,강동구,천호대로 219가길,서울특별시 강동구 천호대로219가길 45,서울특별시 강동구 상일동 301-5,서울특별시 강동구 천호대로219가길 45,1,1,10.0,360.0,480,2,Y,37.5477611,127.1722637,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
360,82000005,서울특별시,강동구,천호대로 219다길,서울특별시 강동구 천호대로219다길 22,서울특별시 강동구 상일동 303-4,서울특별시 강동구 천호대로219다길 22,1,1,10.0,360.0,370,2,Y,37.54741824,127.1716383,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
361,82000006,서울특별시,강동구,천호대로 219가길,서울특별시 강동구 천호대로 221길 21,서울특별시 강동구 상일동 301-7,서울특별시 강동구 천호대로 221길 21,1,1,10.0,360.0,370,2,Y,37.5477859,127.1725939,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
362,82000007,서울특별시,강동구,천호대로 221길,서울특별시 강동구 천호대로 221길 18,서울특별시 강동구 상일동 329-1,서울특별시 강동구 천호대로 221길 18,1,1,10.0,360.0,520,2,Y,37.5476631,127.1728216,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
363,82000008,서울특별시,강동구,천호대로 221길,서울특별시 강동구 천호대로 221길 21,서울특별시 강동구 상일동 301-7,서울특별시 강동구 천호대로 221길 21,1,1,10.0,360.0,500,2,Y,37.5477859,127.1725939,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
364,82000009,서울특별시,강동구,천호대로 221길,서울특별시 강동구 천호대로 221길 37,서울특별시 강동구 상일동 286,서울특별시 강동구 천호대로 221길 37,1,1,10.0,360.0,380,2,Y,37.5485078,127.1726142,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
365,82000010,서울특별시,강동구,천호대로 221길,서울특별시 강동구 천호대로 221길 31,서울특별시 강동구 상일동 297-11,서울특별시 강동구 천호대로 221길 31,1,1,10.0,410.0,500,2,Y,37.5482598,127.1725819,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
366,82000011,서울특별시,강동구,천호대로 219다길,서울특별시 강동구 천호대로219다길 7-19,서울특별시 강동구 상일동 288-1,서울특별시 강동구 천호대로219다길 7-19,1,1,10.0,380.0,420,2,Y,37.5483376,127.1718556,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
367,82000012,서울특별시,강동구,천호대로 219길,서울특별시 강동구 천호대로219길 74,서울특별시 강동구 상일동 280-5,서울특별시 강동구 천호대로219길 74,1,1,10.0,360.0,440,2,Y,37.5490502,127.171077,Y,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
368,82000013,서울특별시,강동구,천호대로219다길,서울특별시 강동구 천호대로219나길 5-16,서울특별시 강동구 상일동 295,서울특별시 강동구 천호대로219나길 5-16,1,1,10.0,360.0,430,2,Y,37.547693,127.1711634,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
369,82000014,서울특별시,강동구,천호대로219나길,서울특별시 강동구 천호대로219나길 38,서울특별시 강동구 상일동 300-2,서울특별시 강동구 천호대로219나길 38,1,1,10.0,360.0,310,2,Y,37.547829,127.171808,N,N,2009,서울특별시 강동구청,02-3425-6352,2020-09-11,3240000.0,서울특별시 강동구
765,40,서울특별시,노원구,공릉로38길,,서울 노원구 공릉동 238-7,서울가정의원,1,1,0.1,3.3,4.3,2,Y,37.37234121,127.4495102,N,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
766,41,서울특별시,노원구,공릉로38길,,서울 노원구 공릉동 81-2,서광빌딩,1,1,0.1,3.6,4.6,2,Y,37.37229897,127.4520551,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
767,42,서울특별시,노원구,공릉로38길,,서울 노원구 공릉동 81-2,태강아파트1009동,1,1,0.1,3.7,4.4,2,Y,37.37225509,127.4532846,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
768,43,서울특별시,노원구,공릉로38길,,서울 노원구 공릉동 81-2,태강아파트1009동,1,1,0.1,3.6,4.5,2,Y,37.37220471,127.4546383,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
769,44,서울특별시,노원구,공릉로38길,,서울 노원구 공릉동 81-2,경문빌라C동,1,1,0.1,3.7,4.4,2,Y,37.37214652,127.456251,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
770,45,서울특별시,노원구,공릉로39길,,서울 노원구 공릉동 335-3,샘물교회,1,1,0.06,2.9,3.6,2,N,37.37253618,127.4433037,N,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
771,46,서울특별시,노원구,공릉로41길,,서울 노원구 공릉동 415-55,흥왕교회,1,1,0.08,3.4,4.3,2,Y,37.37285884,127.443303,N,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
772,47,서울특별시,노원구,공릉로41길,,서울 노원구 공릉동 350-17,신동타운,1,1,0.08,3.4,4.3,2,Y,37.37291645,127.4402898,N,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
773,48,서울특별시,노원구,공릉로41다길,,서울 노원구 공릉동 415-55,흥왕교회,1,1,0.1,3.7,4.2,2,Y,37.37292148,127.4426514,N,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
774,49,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 236-3,공릉효성102동,1,1,0.0,3.6,3.4,2,Y,37.37273768,127.4518728,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
775,50,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 234-5,공릉효성103동,1,1,0.0,3.7,2.7,2,Y,37.37274399,127.4527476,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
780,51,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 234-3,공릉효성103동,1,1,0.0,3.6,3,2,Y,37.37274556,127.4533924,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
781,52,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 234-3,공릉효성103동,1,1,0.08,3.6,3.2,2,Y,37.37274556,127.4541666,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
782,53,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 77-2,공릉2동어린이집,1,1,0.1,3.6,5.3,2,Y,37.37285025,127.4577661,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
783,54,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 77-2,태강아파트1016동,1,1,0.1,3.7,5.3,2,Y,37.37288743,127.4587041,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
784,55,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 77-2,태강아파트1016동,1,1,0.1,3.8,5.2,2,Y,37.37293226,127.4596982,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
785,56,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 77-2,향운하우스,1,1,0.1,3.6,4.3,2,Y,37.37298962,127.5008945,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
786,57,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 77-2,임마누엘교회,1,1,0.1,3.7,4.6,2,Y,37.6245474,127.0805646,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
787,58,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 77-2,-,1,1,0.1,3.6,5.1,2,Y,37.3731297,127.5044363,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
788,59,서울특별시,노원구,공릉로42길,,서울 노원구 공릉동 222-3,공릉동교회,1,1,0.0,3.7,6.4,2,Y,37.37279612,127.4500329,N,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
789,60,서울특별시,노원구,공릉로43길,,서울 노원구 공릉동 408-163,건설빌딩,1,1,0.1,3.6,7.1,2,Y,37.37344968,127.4448446,N,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
790,61,서울특별시,노원구,공릉로46길,,서울 노원구 공릉동 421-4,한우리교회,1,1,0.0,3.7,10,1,Y,37.37388204,127.4488838,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
791,62,서울특별시,노원구,공릉로46길,,서울 노원구 공릉동 215-7,한보아파트103동,1,1,0.04,3.7,6.2,1,Y,37.37394167,127.4507558,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
792,63,서울특별시,노원구,공릉로46길,,서울 노원구 공릉동 215-7,원자력병원,1,1,0.04,3.6,6.5,1,Y,37.37397844,127.4534146,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
793,64,서울특별시,노원구,공릉로46길,,서울 노원구 공릉동 215-25,원자력병원,1,1,0.1,3.6,6.3,1,Y,37.37404736,127.4589666,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
794,65,서울특별시,노원구,공릉로46길,,서울 노원구 공릉동 215-25,원자력병원,1,1,0.08,3.6,6.4,1,Y,37.37411169,127.5035068,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
795,66,서울특별시,노원구,공릉로51길,,서울 노원구 공릉동 428-13,동신아파트105동,1,1,0.0,3.6,5.8,2,Y,37.37409208,127.4343816,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
796,67,서울특별시,노원구,공릉로51길,,서울 노원구 공릉동 428-10,동신아파트106동,1,1,0.0,3.6,6,2,Y,37.37427278,127.4340638,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
797,68,서울특별시,노원구,공릉로51길,,서울 노원구 공릉동 430-2,건영장미101동,1,1,0.1,3.7,5.7,2,Y,37.37444839,127.430476,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
798,69,서울특별시,노원구,공릉로51길,,서울 노원구 공릉동 432-2,건영장미102동,1,1,0.1,3.6,6,2,Y,37.3744151,127.4315306,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
799,70,서울특별시,노원구,공릉로51길,,서울 노원구 공릉동 433-4,공릉1차태승훼미리,1,1,0.1,3.6,4.7,2,Y,37.37448656,127.4334593,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
800,71,서울특별시,노원구,공릉로55길,,서울 노원구 하계동 272-13,중현어린이공원,1,1,0.06,3.7,8.1,2,Y,37.37529215,127.356227,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
801,72,서울특별시,노원구,공릉로55길,,서울 노원구 하계동 272-13,서울중현초등학교,1,1,0.07,3.6,5.1,2,Y,37.37533237,127.3586794,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
802,73,서울특별시,노원구,공릉로55길,,서울 노원구 하계동 274-2,청솔아파트705동,1,1,0.08,3.7,7.5,1,Y,37.37541783,127.4139048,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
803,74,서울특별시,노원구,공릉로55길,,서울 노원구 하계동 274-2,청솔아파트705동,1,1,0.09,3.6,7.5,1,Y,37.37535405,127.4161528,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
804,75,서울특별시,노원구,공릉로55길,,서울 노원구 공릉동 481-6,청솔아파트708동,1,1,0.09,3.6,7.4,1,Y,37.37533293,127.4172206,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
805,76,서울특별시,노원구,공릉로55길,,서울 노원구 공릉동 481-6,청솔아파트708동,1,1,0.0,3.6,7.5,1,Y,37.37535663,127.4180921,Y,N,,노원구청,2116-4106,2020-07-14,3100000.0,서울특별시 노원구
