,무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
106,035,서울특별시,광진구,특별시도,405,능동로,3.0,서울특별시 광진구 능동로 109,서울특별시 광진구 화양동 5-84,37.540748,127.070976,건국대병원 맞은편,04,0,,,,2006.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
107,024,서울특별시,광진구,특별시도,3107,아차산로,3.0,서울특별시 광진구 아차산로 218,서울특별시 광진구 자양동 8-24,37.540894,127.067539,건대역약국 앞,04,0,,,,2006.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
108,006,서울특별시,광진구,특별시도,3109,자양로,3.0,서울특별시 광진구 자양로 210,서울특별시 광진구 구의동 68-29,37.545916,127.086252,구의사거리,04,0,,,,2013.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
109,004,서울특별시,광진구,특별시도,3001,광나루로,3.0,서울특별시 광진구 광나루로 369,서울특별시 광진구 군자동 503,37.547979,127.071019,두산위브 앞,04,0,,,2.0,2016.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
110,036,서울특별시,광진구,특별시도,4805,면목로,3.0,서울특별시 광진구 면목로 127,서울특별시 광진구 중곡동 231-2,37.564843,127.080667,신성그랜드타워 앞,04,0,,,2.0,2018.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
111,037,서울특별시,광진구,특별시도,3111,뚝섬로,3.0,서울특별시 광진구 뚝섬로 666,서울특별시 광진구 자양동 662-2,37.531557,127.083472,성자초등학교 옆,04,0,,,2.0,2018.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
112,039,서울특별시,광진구,구도,3109,자양로,3.0,서울특별시 광진구 자양로 45,서울특별시 광진구 자양동 679-30,37.532018,127.085371,한국보건의료인 국가시험원 앞,04,0,,,,2019.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
113,040,서울특별시,광진구,구도,405,능동로,3.0,서울특별시 광진구 능동로 433,서울특별시 광진구 중곡동 168-8,37.567767,127.084713,중곡문화체육센터 앞,04,0,,,,2019.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
114,041,서울특별시,광진구,구도,3107,아차산로,3.0,서울특별시 광진구 아차산로 522,서울특별시 광진구 광장동 565,37.541929,127.09967,광장 힐스테이 상가 건너편,04,0,,,,2019.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
141,014,서울특별시,광진구,구도,없음,광나루로56길,3.0,서울특별시 광진구 광나루로56길 29,서울특별시 광진구 구의동 548-1,37.537889,127.096758,프라임아파트 정문(213동),04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
142,011,서울특별시,광진구,특별시도,없음,강변역로,3.0,서울특별시 광진구 강변역로 53,서울특별시 광진구 구의동 546-6,37.535336,127.094313,강변역 1번출구,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
143,010,서울특별시,광진구,구도,없음,광나루로56길,3.0,서울특별시 광진구 광나루로56길 32,서울특별시 광진구 구의동 611,37.537871,127.09692,현대2단지아파트 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
144,019,서울특별시,광진구,특별시도,405,능동로,3.0,서울특별시 광진구 어린이대공원역1번출구,서울특별시 광진구 능동 18-10,37.548591,127.075542,어린이대공원 정문,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
145,021,서울특별시,광진구,특별시도,405,능동로,3.0,서울특별시 광진구 능동로 248,서울특별시 광진구 능동 315-8,37.552162,127.076962,서울시민안전체험관 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
146,017,서울특별시,광진구,특별시도,405,능동로,3.0,서울특별시 광진구 능동로 295,서울특별시 광진구 군자동 477-18,37.556057,127.078795,군자CGV 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
147,022,서울특별시,광진구,특별시도,405,능동로,3.0,서울특별시 광진구 능동로 237,서울특별시 광진구 군자동 249,37.551251,127.076338,세종대정문 택시승강장,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
148,029,서울특별시,광진구,특별시도,405,능동로,3.0,서울특별시 광진구 능동로 324,서울특별시 광진구 중곡동 161-44,37.558455,127.080269,고신경정신과의원 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
149,028,서울특별시,광진구,특별시도,32,동일로,3.0,서울특별시 광진구 동일로 343,서울특별시 광진구 중곡동 610-8,37.561604,127.074934,태양주유소 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
150,137,서울특별시,광진구,특별시도,3111,뚝섬로,3.0,서울특별시 광진구 뚝섬로 472,서울특별시 광진구 자양동 239-1,37.536666,127.062876,올포유 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
151,030,서울특별시,광진구,특별시도,71,용마산로,3.0,서울특별시 광진구 용마산로 44,서울특별시 광진구 중곡동 79-9,37.55757,127.087979,우리은행 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
152,027,서울특별시,광진구,구도,없음,긴고랑로,3.0,서울특별시 광진구 긴고랑로 18,서울특별시 광진구 중곡동 247-6,37.563551,127.078431,MB모터스 옆,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
153,001,서울특별시,광진구,특별시도,3107,아차산로,3.0,서울특별시 광진구 아차산로 614,서울특별시 광진구 광장동 334-2,37.547671,127.106819,모두투어 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
154,002,서울특별시,광진구,특별시도,3107,아차산로,3.0,서울특별시 광진구 아차산로 553,서울특별시 광진구 광장동 445-3,37.543412,127.102485,광현교회 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
155,005,서울특별시,광진구,특별시도,3001,광나루로,3.0,서울특별시 광진구 광나루로 529,서울특별시 광진구 구의동 66-62,37.544923,127.088409,국민은행 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
156,031,서울특별시,광진구,특별시도,5113,천호대로,3.0,서울특별시 광진구 천호대로 655,서울특별시 광진구 중곡동 115-9,37.552503,127.089616,공원약국 앞,04,0,,,,2007.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
157,018,서울특별시,광진구,특별시도,5113,천호대로,3.0,서울특별시 광진구 천호대로 512,서울특별시 광진구 군자동 466-17,37.558512,127.075456,군자빌딩,04,0,,,,2010.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
158,020,서울특별시,광진구,특별시도,5113,천호대로,3.0,서울특별시 광진구 천호대로 616,서울특별시 광진구 능동 247-11,37.554494,127.085808,아씨방 앞,04,0,,,,2010.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
159,003,서울특별시,광진구,특별시도,405,능동로,3.0,서울특별시 광진구 능동로 216,서울특별시 광진구 구의동 135,37.55208,127.089327,아차산역5번출구 앞,04,0,,,,2010.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
160,023,서울특별시,광진구,특별시도,3111,뚝섬로,3.0,서울특별시 광진구 뚝섬로 626,서울특별시 광진구 자양동 606-11,37.532063,127.079293,파리바게트 앞,04,0,,,,2010.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
161,016,서울특별시,광진구,특별시도,없음,군자로,3.0,서울특별시 광진구 군자로 88,서울특별시 광진구 군자동 364-15,37.551085,127.07118,노인종합복지관 앞,04,0,,,,2010.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
162,026,서울특별시,광진구,특별시도,405,능동로,3.0,서울특별시 광진구 능동로 385,서울특별시 광진구 중곡동 165-6,37.563616,127.082955,중곡지구대 앞,04,0,,,,2010.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
163,015,서울특별시,광진구,특별시도,없음,구의강변로,3.0,서울특별시 광진구 구의강변로 45,서울특별시 광진구 구의동 593-15,37.534794,127.091715,강변스파랜드 앞,04,0,,,,2010.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
164,032,서울특별시,광진구,특별시도,3107,아차산로,3.0,서울특별시 광진구 아차산로 219,서울특별시 광진구 화양동 48-14,37.540892,127.067851,건대입구1번출구 앞,04,0,,,,2011.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
165,033,서울특별시,광진구,특별시도,405,능동로,3.0,서울특별시 광진구 능동로 110,서울특별시 광진구 화양동 4-20,37.540684,127.071036,건대입구3번출구 앞,04,0,,,,2011.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
166,034,서울특별시,광진구,특별시도,405,능동로,3.0,서울특별시 광진구 능동로 125,서울특별시 광진구 화양동 5-3,37.542046,127.071601,건대분수광장 건너편,04,0,,,,2006.0,서울특별시 광진구청,02-450-1485,2020-10-15,3040000,서울특별시 광진구
414,34,서울특별시,강북구,일반국도,3번,한천로,2.0,서울특별시 강북구 한천로139길 25,,37.639008,127.0257237,강북구청,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
415,35,서울특별시,강북구,일반국도,3번,한천로,2.0,서울특별시 강북구 한천로139길 46,,37.63867752,127.0247355,cu수유중앙점,4,0,,,99.0,2013.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
416,36,서울특별시,강북구,일반국도,3번,오패산로,3.0,서울특별시 강북구 오패산로30길 30,,37.61635549,127.0356169,경남아너스빌 103동,4,0,,,99.0,2018.0,강북구청,02-901-5964,2020-11-20,3080000,서울특별시 강북구
