,Unnamed: 0,고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분
50,50,방배본동 19-3,37.49549785,126.9888396,서초구,서래초병설유치원주변,불법주정차구역
51,51,방배1동 906-13,37.48356591,126.9970697,서초구,서리풀e편한세상APT 주변,불법주정차구역
52,52,방배1동 906-16,37.4845306,126.9974125,서초구,서리풀e편한세상APT2번출구주변,불법주정차구역
53,53,반포4동 51-5,37.50127691,127.0113111,서초구,서석빌딩사거리 주변,불법주정차구역
54,54,서초2동 1325-1,37.49308529,127.0241546,서초구,서운중학교뒷길 주변,불법주정차구역
55,55,양재1동 25-3,37.48150364,127.0370513,서초구,서울가정행정법원 주변,불법주정차구역
56,56,서초1동 1627-1,37.48902738,127.0167153,서초구,서울교대정문주변,불법주정차구역
57,57,방배2동 447-7,37.47682838,126.9847732,서초구,서울메트로뒷길 주변,불법주정차구역
58,58,서초3동 1704,37.49471875,127.0102979,서초구,서울중앙법원주변,불법주정차구역
59,59,내곡동 (신원동) 247,37.44782281,127.0574218,서초구,서울청계숲유치원주변,불법주정차구역
60,60,반포1동 30-8,37.50183789,127.0154882,서초구,서원초등학교 주변,불법주정차구역
61,61,반포1동 30-8,37.5025285,127.0141802,서초구,서원초등학교 후문주변,불법주정차구역
62,62,서초4동 1313,37.49847969,127.023503,서초구,서일중학교 주변,불법주정차구역
63,63,서초1동 1436-8,37.48474749,127.0235212,서초구,서일초교 후문주변,불법주정차구역
64,64,서초1동 1436-8,37.48466208,127.0220002,서초구,서일초등학교 주변,불법주정차구역
68,68,방배1동 908-9,37.48216683,126.9972375,서초구,서초프라자약국주변,불법주정차구역
69,69,서초3동 1454-32,37.48265919,127.0149745,서초구,서초한신APT102동주변,불법주정차구역
70,70,양재1동 594-20,37.45748485,127.0149641,서초구,서초힐스아파트삼거리주변,불법주정차구역
71,71,서초1동 1641-13,37.49323481,127.0213424,서초구,석문유치원주변,불법주정차구역
72,72,서초4동 1692-1,37.49453404,127.0141669,서초구,설국일식 주변,불법주정차구역
73,73,양재1동 729,37.46274042,127.0268234,서초구,섬들근린공원주변,불법주정차구역
74,74,방배2동 425-1,37.48436225,126.9829792,서초구,세양아르비채 주변,불법주정차구역
75,75,반포4동 118-15,37.50340053,127.0060592,서초구,센트럴시티 버스정류장주변,불법주정차구역
76,76,양재2동 288,37.47447453,127.0479235,서초구,소호정신관주변,불법주정차구역
77,77,반포4동 93-6,37.49930382,126.9983302,서초구,스타벅스 부근,불법주정차구역
78,78,반포1동 748-14,37.50423467,127.0235124,서초구,신논현역1번출구주변,불법주정차구역
79,79,잠원동 54-5,37.51627419,127.0119599,서초구,신동초등학교 주변,불법주정차구역
80,80,서초2동 1339-4,37.4898035,127.0304243,서초구,신라스테이호텔주변,불법주정차구역
81,81,반포4동 94-8,37.49866124,126.9983968,서초구,신명성온누리약국주변,불법주정차구역
82,82,잠원동 49-17,37.52076683,127.0136495,서초구,신반포 18차 APT 토끼굴 부근,불법주정차구역
83,83,반포2동 18-4,37.50319322,126.9952275,서초구,신반포역4번출구주변,불법주정차구역
84,84,반포3동 66,37.50985598,127.0076644,서초구,신반포자이 정문주변,불법주정차구역
85,85,반포3동 66-10,37.50867679,127.0083134,서초구,신반포자이 타이어프로주변,불법주정차구역
86,86,잠원동 60-79,37.51036972,127.0127608,서초구,신반포중앙유치원주변,불법주정차구역
87,87,잠원동 20-6,37.51558087,127.0196919,서초구,신사역4번출구 주변,불법주정차구역
88,88,반포4동 19-3,37.50592469,127.0043518,서초구,신세계백화점앞 주변,불법주정차구역
89,89,서초3동 1596-6,37.48780889,127.0127467,서초구,신영빌딩 주변,불법주정차구역
90,90,서초3동 1484-14,37.4821313,127.01052,서초구,신중어린이공원주변,불법주정차구역
91,91,서초3동 1466-5,37.48041344,127.010568,서초구,신중초등학교정문주변,불법주정차구역
92,92,잠원동 25-24,37.51362071,127.0182325,서초구,싸리재공원 삼거리 부근,불법주정차구역
93,93,잠원동 30-10,37.51366527,127.018562,서초구,싸리재공원 주변,불법주정차구역
94,94,방배4동 860-6,37.48796971,126.9870586,서초구,아가야어린이집주변,불법주정차구역
95,95,서초3동 1554-5,37.49291343,127.0110802,서초구,아스트라빌딩 주변,불법주정차구역
96,96,잠원동 64-8,37.51351894,127.0067169,서초구,아크로리버뷰 102동주변1,불법주정차구역
97,97,잠원동 64-8,37.51508925,127.008321,서초구,아크로리버뷰 104동주변2,불법주정차구역
98,98,서초4동 1685-3,37.49675846,127.0129838,서초구,아크로비스타 주변,불법주정차구역
99,99,반포1동 32-8,37.49943522,127.0124814,서초구,아크로비스타아케이드주변,불법주정차구역
100,100,서초2동 1329-9,37.49282865,127.0292378,서초구,알파약국 주변,불법주정차구역
101,101,양재2동 309,37.47296744,127.0421538,서초구,양재근린공원주변,불법주정차구역
102,102,양재1동 84,37.48085922,127.0420262,서초구,양재동삼성화재주변,불법주정차구역
103,103,양재1동 11-149,37.48495636,127.037474,서초구,양재동우체국주변,불법주정차구역
104,104,양재2동 212,37.46615286,127.0363235,서초구,양재리본타워2단지앞주변,불법주정차구역
114,114,양재2동 312-2,37.47195974,127.0406393,서초구,양재메트로(아)주변,불법주정차구역
115,115,양재1동 23,37.48425333,127.0340953,서초구,양재역12번출구주변1,불법주정차구역
116,116,양재1동 23,37.48425848,127.0340807,서초구,양재역12번출구주변2,불법주정차구역
117,117,양재1동 23,37.48330005,127.0351283,서초구,양재역환승주차장 주변,불법주정차구역
118,118,양재1동 101,37.47464865,127.0324286,서초구,양재천사유치원주변,불법주정차구역
119,119,양재1동 102-6,37.47385305,127.033979,서초구,양재초등학교주변,불법주정차구역
120,120,양재2동 309,37.47382165,127.0434879,서초구,언남고등학교 주변,불법주정차구역
121,121,양재2동 310,37.47190234,127.0454773,서초구,언남중학교 주변,불법주정차구역
122,122,내곡동 120,37.45446969,127.06178,서초구,언남초등학교건너편,불법주정차구역
123,123,내곡동 411-67,37.45473781,127.0602946,서초구,언남초등학교주변,불법주정차구역
124,124,잠원동 55-6,37.51873742,127.012105,서초구,영동가스충전소 주변,불법주정차구역
125,125,내곡동 349-1,37.45618997,127.0591375,서초구,영동농협 내곡지점주변,불법주정차구역
126,126,양재2동 311,37.47095482,127.0430825,서초구,영동농협 주변,불법주정차구역
127,127,양재1동 680,37.46572417,127.0241069,서초구,영동중학교주변,불법주정차구역
128,128,서초1동 1667-2,37.49390285,127.0179215,서초구,예성그린아파트주변,불법주정차구역
129,129,서초3동 1450-6,37.48084184,127.0136897,서초구,예전빌딩주변,불법주정차구역
130,130,신원동 274-1,37.4502115,127.053948,서초구,오라카이호텔주변,불법주정차구역
131,131,방배본동 783-26,37.49167552,126.9826898,서초구,왕실웨딩홀 주변,불법주정차구역
132,132,방배3동 583-4,37.47334823,126.9910752,서초구,외교협회입구 주변,불법주정차구역
133,133,방배1동 902-1,37.48554336,126.9950577,서초구,외환카드사주변,불법주정차구역
134,134,서초3동 1468,37.48049306,127.0077425,서초구,우리은행생활관주변,불법주정차구역
135,135,반포4동 90-10,37.49697289,126.9983067,서초구,우리은행서래지점 주변,불법주정차구역
136,136,양재2동 392-6,37.47296753,127.047619,서초구,우리은행포이동지점주변,불법주정차구역
137,137,양재1동 727,37.46403197,127.0246229,서초구,우면동 우체국 주변,불법주정차구역
138,138,양재1동 690,37.46415711,127.0245778,서초구,우면초등학교주변,불법주정차구역
139,139,서초2동 1337-34,37.49300593,127.0299077,서초구,우성아파트사거리주변,불법주정차구역
140,140,양재1동 554-1,37.45651732,127.0195155,서초구,우솔초등학교주변,불법주정차구역
141,141,서초4동 1304-5,37.50201329,127.0255389,서초구,우신빌딩주변,불법주정차구역
142,142,양재1동 66-2,37.47052557,127.0255122,서초구,우암상가 주변,불법주정차구역
146,146,서초4동 1685-1,37.50082998,127.0177683,서초구,원명초등학교 주변,불법주정차구역
147,147,반포1동 21,37.50526364,127.013638,서초구,원촌초등학교 부근,불법주정차구역
148,148,서초3동 1450-1,37.48193014,127.0137144,서초구,월드메르디앙주변,불법주정차구역
149,149,내곡동 (신원동) 399,37.49600819,127.0197353,서초구,유일교회,불법주정차구역
150,150,반포1동 737-19,37.50572576,127.0238754,서초구,은도빌딩주변,불법주정차구역
151,151,방배2동 468-6,37.47785094,126.9838611,서초구,이수초교주변,불법주정차구역
152,152,방배2동 467-24,37.47876846,126.9852712,서초구,이수초교후문주변,불법주정차구역
153,153,양재1동 60,37.47728349,127.0364902,서초구,일동제약주변,불법주정차구역
154,154,잠원동 57-20,37.51422266,127.0114309,서초구,잠원대림아파트 상가 부근,불법주정차구역
155,155,반포3동 157,37.50884841,127.0113479,서초구,잠원동아아파트 103동 주변,불법주정차구역
156,156,반포2동 16-4,37.50165026,126.9973029,서초구,잠원초등학교입구주변,불법주정차구역
157,157,잠원동 63-34,37.51341544,127.0085118,서초구,잠원한신로얄 APT 2동주변,불법주정차구역
158,158,서초3동 1543-13,37.49023255,127.0084521,서초구,장생탕 주변,불법주정차구역
159,159,방배4동 877-20,37.48880584,126.9954769,서초구,정우빌라,불법주정차구역
160,160,양재1동 (우면동) 58,37.47125224,127.0246519,서초구,우암초교주변,불법주정차구역
161,161,반포1동 745-6,37.50346242,127.0211048,서초구,제일약품 주변,불법주정차구역
162,162,양재2동 209-5,37.46456878,127.0342519,서초구,종일주류 주변,불법주정차구역
163,163,잠원동 58-16,37.51308969,127.0132133,서초구,종합매일상가 주변,불법주정차구역
164,164,반포4동 577-20,37.49483927,126.9998922,서초구,주혁빌딩주변,불법주정차구역
165,165,서초2동 1356-5,37.4874269,127.0288183,서초구,천사아틀리에 주변,불법주정차구역
166,166,양재2동 591-5,37.44493071,127.0575417,서초구,청계산입구 주변,불법주정차구역
167,167,방배1동 908-21,37.48247004,126.9978007,서초구,청권사앞삼거리주변,불법주정차구역
168,168,방배1동 908-21,37.48256373,126.9976864,서초구,청권사앞삼거리주변2,불법주정차구역
169,169,반포4동 86-1,37.49604966,126.9994359,서초구,청룡공원주변,불법주정차구역
170,170,서초2동 1327-34,37.49416737,127.0274967,서초구,춘하추동 주변,불법주정차구역
171,171,방배4동 818-1,37.49145189,126.9869462,서초구,카페골목입구주변,불법주정차구역
172,172,방배1동 919-1,37.48286153,126.9919636,서초구,코끼리마트주변,불법주정차구역
173,173,양재2동 217-6,37.46171584,127.0371274,서초구,코스트코 주변,불법주정차구역
174,174,반포4동 66-1,37.50062632,126.9997347,서초구,코웰빌딩 주변,불법주정차구역
175,175,내곡동 148 ,37.45457041,127.0636445,서초구,콜마정문앞주변,불법주정차구역
176,176,방배2동 452-1,37.47936877,126.9832792,서초구,클럽54 골프연습장주변,불법주정차구역
177,177,잠원동 70-1,37.51082933,127.0071236,서초구,킴스클럽 주변,불법주정차구역
178,178,서초1동 1679-1,37.49574201,127.020446,서초구,탐앤탐스주변,불법주정차구역
179,179,서초3동 1574-12,37.49281926,127.013791,서초구,태림빌딩 주변,불법주정차구역
180,180,양재2동 263-5,37.47705989,127.0428638,서초구,태석빌딩주변,불법주정차구역
181,181,서초2동 1344-13,37.48672332,127.0275116,서초구,트라팰리스B동주변,불법주정차구역
182,182,반포4동 68-2,37.49940776,126.9990973,서초구,파리15구공원 주변,불법주정차구역
183,183,방배4동 812-24,37.49108015,126.9914438,서초구,파리바게뜨주변,불법주정차구역
194,194,서초1동 1630-1,37.48996578,127.019826,서초구,서초1동 주민센터주변,불법주정차구역
195,195,서초2동 1334-1,37.49150982,127.0249041,서초구,서초2동주민센터입구주변,불법주정차구역
196,196,서초4동 1312-3,37.50078743,127.0223943,서초구,서초4동 롯데캐슬주변,불법주정차구역
197,197,서초2동 1326-1,37.49556039,127.0259058,서초구,서초가든스위트 주변,불법주정차구역
198,198,서초3동 1504,37.48987056,127.0068099,서초구,서초고교정문 사거리 주변,불법주정차구역
