,gid,TL_cnt
0,다사541418,1
1,다사541421,1
2,다사542421,1
3,다사542422,1
4,다사542429,1
5,다사542432,1
6,다사542437,1
7,다사543421,1
8,다사543423,1
9,다사543427,1
10,다사543430,1
11,다사543431,1
12,다사543442,1
13,다사543443,1
14,다사544420,1
15,다사544421,1
16,다사544422,1
17,다사544427,1
18,다사544428,1
19,다사544443,1
20,다사545428,1
21,다사545441,1
22,다사545450,1
23,다사546423,1
24,다사546433,1
25,다사546435,1
26,다사546437,1
27,다사547424,1
28,다사547433,1
29,다사547434,1
30,다사547440,1
31,다사547442,1
32,다사548419,1
33,다사548439,1
34,다사548441,1
35,다사549416,1
36,다사549437,1
37,다사550427,1
38,다사550436,1
39,다사551432,1
40,다사551433,1
41,다사551434,1
42,다사551435,2
43,다사551439,1
44,다사552440,1
45,다사552452,1
46,다사553424,1
47,다사553429,1
48,다사553430,1
49,다사553434,1
50,다사553450,1
51,다사553451,1
52,다사553452,1
53,다사554425,2
54,다사554427,1
55,다사554433,1
56,다사554448,1
57,다사554451,1
58,다사555426,1
59,다사555427,1
60,다사555428,1
61,다사555429,1
62,다사555443,1
63,다사555444,1
64,다사555445,1
65,다사555448,1
66,다사556425,1
67,다사556426,1
68,다사556434,1
69,다사556442,1
70,다사556443,1
71,다사556444,2
72,다사556445,1
73,다사557422,1
74,다사557425,1
75,다사557440,1
76,다사557442,1
77,다사557443,1
78,다사557445,1
79,다사557447,1
80,다사558418,1
81,다사558420,1
82,다사558422,1
83,다사558443,1
84,다사558444,1
85,다사558447,1
86,다사559423,1
87,다사559424,1
88,다사559426,1
89,다사559440,1
90,다사559452,2
91,다사559453,1
92,다사560442,1
93,다사560450,1
94,다사560452,1
95,다사560457,1
96,다사561423,1
97,다사561446,1
98,다사561447,1
99,다사561452,1
100,다사561453,1
101,다사561455,1
102,다사562434,1
103,다사562449,1
104,다사563424,1
105,다사563436,2
106,다사563450,1
107,다사563453,1
108,다사564424,1
109,다사564435,3
110,다사564437,1
111,다사564450,1
112,다사564454,1
113,다사564457,1
114,다사564458,1
115,다사564461,1
116,다사565433,1
117,다사565435,1
118,다사565436,1
119,다사565437,1
120,다사565438,1
121,다사565450,1
122,다사565451,1
123,다사565456,1
124,다사565461,1
125,다사565463,1
126,다사566430,1
127,다사566431,1
128,다사566439,1
129,다사566445,1
130,다사566446,1
131,다사566447,2
132,다사566453,1
133,다사566458,1
134,다사567424,1
135,다사567426,1
136,다사567427,1
137,다사567432,1
138,다사567438,1
139,다사567439,2
140,다사567440,1
141,다사567445,1
142,다사567446,1
143,다사567448,1
144,다사567449,1
145,다사567450,1
146,다사567452,1
147,다사567457,1
148,다사567461,1
149,다사567463,1
150,다사568430,1
151,다사568432,1
152,다사568446,1
153,다사568447,1
154,다사568448,1
155,다사568456,1
156,다사568462,1
157,다사568464,1
158,다사568467,1
159,다사569431,1
160,다사569432,1
161,다사569439,2
162,다사569442,1
163,다사569445,1
164,다사569449,1
165,다사569457,1
166,다사569460,1
167,다사569466,1
168,다사569467,1
169,다사570425,1
170,다사570426,1
171,다사570428,1
172,다사570430,1
173,다사570431,1
174,다사570433,1
175,다사570437,1
176,다사570438,2
177,다사570440,1
178,다사570449,1
179,다사570452,1
180,다사570468,1
181,다사570469,1
182,다사571398,1
183,다사571399,1
184,다사571427,1
185,다사571429,1
186,다사571430,1
187,다사571436,1
188,다사571440,1
189,다사571448,1
190,다사571466,1
191,다사572397,2
192,다사572398,1
193,다사572426,1
194,다사572429,1
195,다사572432,1
196,다사572434,1
197,다사572437,1
198,다사572439,1
199,다사572440,1
200,다사572446,1
201,다사572463,1
202,다사573429,1
203,다사573436,1
204,다사573439,1
205,다사573447,1
206,다사573448,1
207,다사573463,1
208,다사573466,1
209,다사574428,1
210,다사574429,1
211,다사574438,1
212,다사574441,1
213,다사574444,1
214,다사574450,1
215,다사574461,2
216,다사574466,1
217,다사575398,1
218,다사575435,2
219,다사575440,1
220,다사575441,3
221,다사575442,1
222,다사575463,1
223,다사575464,1
224,다사576407,1
225,다사576435,1
226,다사576438,1
227,다사576441,1
