,과속방지턱관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,위도,경도,보차분리여부,연속형여부,과속방지턱설치년도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
1391,21,01,서초구,경부고속도로,,서울특별시 서초구 서초동 1301-11,경부고속도로(서울방향) 반포IC 진출램프,99,03,0.0,360.0,440,01,Y,37.501648,127.019357,N,N,2006,서울시설공단,02-2290-6363,2019-06-19,6110000.0,서울특별시
1392,20,01,서초구,경부고속도로,,서울특별시 서초구 잠원동 86,경부고속도로(부산방향) 잠원IC 진출램프,99,03,0.0,360.0,440,01,Y,37.509701,127.015514,N,Y,,서울시설공단,02-2290-6363,2019-06-19,6110000.0,서울특별시
1393,19,01,서초구,경부고속도로,,서울특별시 서초구 잠원동 86,경부고속도로(부산방향) 잠원IC 진출램프,99,03,0.0,360.0,340,01,Y,37.509701,127.015514,N,Y,2006,서울시설공단,02-2290-6363,2019-06-19,6110000.0,서울특별시
5060,73,01,강남구,헌릉로,,서울특별시 강남구 세곡동 115-3,대왕파출소 앞,99,03,0.0,360.0,460,01,Y,37.465301,127.108053,Y,N,2015,서울특별시 동부도로사업소,02-2040-0344,2019-06-19,6110000.0,서울특별시
12136,1,서울특별시,강남구,광평로20길,,서울특별시 강남구 일원동 734-2,대왕중학교 앞,1,1,5.0,450.0,780,1,Y,37.48324104,127.0866984,Y,Y,,서울특별시 강남구청,02-3423-6565,2020-09-01,3220000.0,서울특별시 강남구
12137,2,서울특별시,강남구,광평로20길,,서울특별시 강남구 일원동 734-2,대왕중학교 앞,1,1,5.0,430.0,780,1,Y,37.48312307,127.0867453,Y,Y,,서울특별시 강남구청,02-3423-6565,2020-09-01,3220000.0,서울특별시 강남구
12138,3,서울특별시,강남구,광평로20길,,서울특별시 강남구 일원동 734-2,남서울은혜교회 앞,1,1,6.0,420.0,780,1,Y,37.48227375,127.0868765,Y,Y,,서울특별시 강남구청,02-3423-6565,2020-09-01,3220000.0,서울특별시 강남구
12139,4,서울특별시,강남구,광평로20길,,서울특별시 강남구 일원동 734-2,남서울은혜교회 앞,1,1,6.0,380.0,780,1,Y,37.48193097,127.0867355,Y,Y,,서울특별시 강남구청,02-3423-6565,2020-09-01,3220000.0,서울특별시 강남구
12140,5,서울특별시,강남구,광평로20길,,서울특별시 강남구 일원동 734-2,서울대모초등학교 앞,1,1,6.0,390.0,780,1,Y,37.4816891,127.0864418,Y,Y,,서울특별시 강남구청,02-3423-6565,2020-09-01,3220000.0,서울특별시 강남구
12141,6,서울특별시,강남구,광평로20길,,서울특별시 강남구 일원동 734-3,서울로봇고등학교 앞,1,1,6.0,420.0,780,1,Y,37.48147743,127.085426,Y,Y,,서울특별시 강남구청,02-3423-6565,2020-09-01,3220000.0,서울특별시 강남구
