,Unnamed: 0,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,전화번호,경도,위도,상권번호,데이터기준일자
10,52,20783574,선경바둑,,N,관광/여가/오락,N01,PC/오락/당구/볼링등,N01A09,기원,R91293,기원 운영업,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106380005,1,대지,638,5.0,서울특별시 강남구 신사동 638-5,116803122007,서울특별시 강남구 압구정로,310,,1168010700106380005009660,고려빌딩,서울특별시 강남구 압구정로 310,135896,6017.0,,3,,02-544-3338,127.03528005896798,37.528774892987705,2054.0,2017-08-27
43,228,15589624,디발롱스필라테스,,N,관광/여가/오락,N05,요가/단전/마사지,N05A01,요가/단식,S96129,기타 미용관련 서비스업,11,서울특별시,11650,서초구,1165054000,잠원동,1165010600,잠원동,1165010600100210007,1,대지,21,7.0,서울특별시 서초구 잠원동 21-7,116502102001,서울특별시 서초구 강남대로,595,,1165010600100210007019748,경승빌딩,서울특별시 서초구 강남대로 595,137903,6526.0,,,303,02-547-3345,127.019520989445,37.514850016339395,1984.0,2017-10-02
78,486,15487768,강남윈드오케스트라,,N,관광/여가/오락,N03,연극/영화/극장,N03A06,연극/음악/예술관련기타,,,11,서울특별시,11650,서초구,1165051000,서초1동,1165010800,서초동,1165010800116030066,1,대지,1603,66.0,서울특별시 서초구 서초동 1603-66,116504163648,서울특별시 서초구 효령로57길,4,,1165010800116030066024168,,서울특별시 서초구 효령로57길 4,137877,6643.0,9,,6,,127.017045107614,37.485410020253894,,2017-09-30
130,851,24754323,허브당구장,,N,관광/여가/오락,N01,PC/오락/당구/볼링등,N01A03,당구장,R91135,당구장 운영업,11,서울특별시,11650,서초구,1165065200,양재2동,1165010200,양재동,1165010200103260009,1,대지,326,9.0,서울특별시 서초구 양재동 326-9,116503121005,서울특별시 서초구 동산로,3,,1165010200103260009004433,한서빌딩,서울특별시 서초구 동산로 3,137130,6779.0,,1,,070-8104-3439,127.04026453560199,37.4690754974886,1760.0,2017-10-30
161,1117,25452005,솔리드피씨,,N,관광/여가/오락,N01,PC/오락/당구/볼링등,N01A01,인터넷PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11650,서초구,1165062000,방배3동,1165010100,방배동,1165010100105370000,1,대지,537,,서울특별시 서초구 방배동 537,116503121021,서울특별시 서초구 효령로,32,,1165010100105370000010925,,서울특별시 서초구 효령로 32,137060,6698.0,,1,,02-867-7722,126.98844748781099,37.4779601897517,,2016-01-26
214,1340,24800914,삼삼노래연습장,,N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,R91223,노래연습장 운영업,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100108090011,1,대지,809,11.0,서울특별시 강남구 역삼동 809-11,116804166346,서울특별시 강남구 봉은사로2길,24,,1168010100108090011022985,,서울특별시 강남구 봉은사로2길 24,135080,6123.0,,1,,02-565-4006,127.02587282081001,37.503080752615205,,2017-09-13
242,1561,20726907,스포츠마사지,,N,관광/여가/오락,N05,요가/단전/마사지,N05A06,스포츠마사지,S96122,마사지업,11,서울특별시,11680,강남구,1168052100,논현1동,1168010800,논현동,1168010800101850004,1,대지,185,4.0,서울특별시 강남구 논현동 185-4,116804166380,서울특별시 강남구 봉은사로7길,23,,1168010800101850004009167,,서울특별시 강남구 봉은사로7길 23,135010,6120.0,,2,,,127.026940592453,37.5070812227944,1967.0,2017-09-17
255,1623,22491301,제이피씨,,N,관광/여가/오락,N01,PC/오락/당구/볼링등,N01A01,인터넷PC방,R91222,컴퓨터 게임방 운영업,11,서울특별시,11680,강남구,1168053100,논현2동,1168010800,논현동,1168010800100760005,1,대지,76,5.0,서울특별시 강남구 논현동 76-5,116804166138,서울특별시 강남구 논현로142길,35,,1168010800100760005005714,아데스코트,서울특별시 강남구 논현로142길 35,135010,6051.0,,,,02-540-6473,127.032070132691,37.5180171022135,,2016-01-28
273,1714,20919612,가자노래연습장,,N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,R91223,노래연습장 운영업,11,서울특별시,11650,서초구,1165065100,양재1동,1165010200,양재동,1165010200100020045,1,대지,2,45.0,서울특별시 서초구 양재동 2-45,116503121022,서울특별시 서초구 논현로,169,,1165010200100020045004991,영민빌딩,서울특별시 서초구 논현로 169,137130,6739.0,,1,,02-572-1318,127.041377612665,37.4846007739631,,2017-10-03
275,1743,15559044,대주노래연습장,,N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,R91223,노래연습장 운영업,11,서울특별시,11650,서초구,1165065100,양재1동,1165010200,양재동,1165010200100060012,1,대지,6,12.0,서울특별시 서초구 양재동 6-12,116504163098,서울특별시 서초구 논현로31길,24,18.0,1165010200100060012008609,드림팰리스,서울특별시 서초구 논현로31길 24-18,137886,6741.0,101,,301,,127.041497412214,37.4823040472205,,2017-09-30
