,Unnamed: 0,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,전화번호,경도,위도,상권번호,데이터기준일자
29,161,28494447,아트호텔,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,11,서울특별시,11650,서초구,1165053000,서초3동,1165010800,서초동,1165010800115930004,1,대지,1593,4.0,서울특별시 서초구 서초동 1593-4,116504163646,서울특별시 서초구 효령로53길,53,,1165010800115930004021908,ARTHOTEL,서울특별시 서초구 효령로53길 53,137070,6652.0,,1,,02-584-6701,127.012875014914,37.4869520996199,1845.0,2017-09-23
66,396,15655467,블루펄호텔,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,11,서울특별시,11680,강남구,1168052100,논현1동,1168010800,논현동,1168010800100060010,1,대지,6,10.0,서울특별시 강남구 논현동 6-10,116804166141,서울특별시 강남구 논현로149길,38,,1168010800100060010005759,,서울특별시 강남구 논현로149길 38,135812,6040.0,,,,,127.025432517592,37.5178093402414,,2017-10-02
236,1488,15496894,강남스테이호텔,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100107360051,1,대지,736,51.0,서울특별시 강남구 역삼동 736-51,116804166203,서울특별시 강남구 논현로87길,15,4.0,1168010100107360051023846,강남스테이관광호텔,서울특별시 강남구 논현로87길 15-4,135924,6236.0,S,,01,,127.035443086889,37.4994108967147,,2017-09-30
638,3656,28510235,알로프트호텔서울강남(2014년10월개관예정),,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,11,서울특별시,11680,강남구,1168056500,청담동,1168010400,청담동,1168010400101310000,1,대지,131,,서울특별시 강남구 청담동 131,116802122002,서울특별시 강남구 영동대로,736,,1168010400101310000000001,ALOFTHOTELS,서울특별시 강남구 영동대로 736,135957,6075.0,,1,,02-510-9700,127.055640838474,37.5237313756868,,2017-08-26
759,4366,28507200,인더시티레지던스,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,11,서울특별시,11680,강남구,1168052100,논현1동,1168010800,논현동,1168010800101220008,1,대지,122,8.0,서울특별시 강남구 논현동 122-8,116804166805,서울특별시 강남구 학동로4길,15,,1168010800101220008000001,동화상가,서울특별시 강남구 학동로4길 15,135010,6110.0,1,1,,,127.02350246207399,37.5105309157846,1967.0,2017-09-17
892,5113,28507921,엔모호텔,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,11,서울특별시,11650,서초구,1165051000,서초1동,1165010800,서초동,1165010800116760002,1,대지,1676,2.0,서울특별시 서초구 서초동 1676-2,116504163421,서울특별시 서초구 서초대로58길,5,,1165010800116760002024607,,서울특별시 서초구 서초대로58길 5,137070,6632.0,,1,,02-521-1961,127.017954721626,37.4945272578637,,2017-09-23
1052,6004,28493688,정산장여관,,O,숙박,O02,모텔/여관/여인숙,O02A01,모텔/여관/여인숙,I55112,여관업,11,서울특별시,11650,서초구,1165060000,방배1동,1165010100,방배동,1165010100109010002,1,대지,901,2.0,서울특별시 서초구 방배동 901-2,116503121010,서울특별시 서초구 방배로,130,,1165010100109010002014599,,서울특별시 서초구 방배로 130,137060,6664.0,,3,,02-582-0767,126.995160479511,37.485775557905896,,2017-10-02
1599,9448,16211623,오라카이청계산호텔,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,11,서울특별시,11650,서초구,1165066000,내곡동,1165011100,신원동,1165011100102710021,1,대지,271,21.0,서울특별시 서초구 신원동 271-21,116504163751,서울특별시 서초구 청계산로9길,1,3.0,1165011100102710021000001,서초선포레,서울특별시 서초구 청계산로9길 1-3,137180,6802.0,,,,02-6200-7300,127.05501599087799,37.4485330169788,,2018-09-29
1621,9601,23407135,어반플레이스강남강남강남,강남,O,숙박,O02,모텔/여관/여인숙,O02A01,모텔/여관/여인숙,I55112,여관업,11,서울특별시,11650,서초구,1165052000,서초2동,1165010800,서초동,1165010800113370003,1,대지,1337,3.0,서울특별시 서초구 서초동 1337-3,116504163659,서울특별시 서초구 효령로77길,30,,1165010800113370003022459,강남역푸르지오시티,서울특별시 서초구 효령로77길 30,137070,6627.0,1,1,,02-3474-3399,127.028938910154,37.491644573132604,1866.0,2017-10-03
1774,10559,16179227,리비호텔,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,11,서울특별시,11680,강남구,1168053100,논현2동,1168010800,논현동,1168010800100600008,1,대지,60,8.0,서울특별시 강남구 논현동 60-8,116802122001,서울특별시 강남구 도산대로,216,,1168010800100600009005291,삼화빌딩,서울특별시 강남구 도산대로 216,135816,6047.0,,,,02-701-5550,127.030448805727,37.520049192577794,,2018-09-08
