,Unnamed: 0,역이름,위도,경도,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원
5,5,강남구청역,37.5172008632289,127.041287183507,8,0,2319,2329,5879,17323,13890,48223,18347,162627,15993,136429,15971,54003,18704,35531,21949,32287,25391,34342,30541,29456,36818,27664,44310,28133,68935,32764,135756,40317,77117,24792,45361,14116,47057,11616,41475,11535,5963,4919,31,720,0,0,0,0,0,0
6,6,강남역,37.4980854411503,127.027977657727,85,6,5464,10853,15861,49435,36772,151261,58759,321542,46399,311718,46127,143770,62808,101593,79250,97700,95124,116716,102147,102382,126969,94677,143646,97346,222349,123126,335143,173742,203119,99700,152318,42059,202148,33576,195879,36941,24062,12861,7,4,0,0,0,0,0,0
12,12,개포동역,37.4891322712554,127.066102609769,2,0,687,1011,3267,6782,8362,5893,8911,9584,5240,6559,4751,4762,4280,3705,5084,4161,5230,4885,4981,4600,5274,4837,8991,5360,9663,7094,8903,9824,5118,8369,3648,4658,3718,4244,3521,5031,650,2034,5,58,0,0,0,0,0,0
20,20,고속터미널역,37.5045398449292,127.005134579686,162,8,7178,6966,14260,63534,48533,97183,73258,143408,71291,144955,70596,122455,84434,125949,98105,120008,106276,127841,116251,127804,134860,126965,155553,126124,193091,137206,200714,166223,151307,104490,159775,61196,113618,49163,83286,42775,19976,14774,18,387,0,0,0,0,0,0
28,28,교대역,37.4927359601279,127.013863444681,43,0,3120,7490,14922,31869,31695,77274,44067,206253,35377,167263,35876,80836,43771,60456,48030,55776,57728,63012,66178,57948,73839,53783,84091,54148,132478,64651,211510,82205,92518,48258,68407,25356,80006,22135,77704,25285,9727,8907,2,38,0,1,0,1,0,0
31,31,구룡역,37.48702743532,127.059474850454,0,0,360,829,1312,5754,2648,9114,3772,5010,3317,2185,2721,1577,2488,1507,2453,2012,2555,1827,2529,2039,3328,2042,8033,2211,6309,2682,4607,3513,1954,2783,1086,1794,2140,1595,632,2121,170,936,8,27,0,0,0,0,0,0
32,32,구반포역,37.5014218099211,126.987446814026,0,0,516,236,1717,1778,4806,3438,5560,7021,3790,5142,3129,3524,3091,3922,3610,4293,4288,4982,4279,4021,4571,4432,5302,4613,6318,5427,8344,7631,4660,5255,3540,2721,3056,2528,2475,3442,376,1491,0,45,0,0,0,0,0,0
37,37,국회의사당역,37.5281356801658,126.917820861804,3,0,607,1731,1777,8658,3757,40486,6112,144018,4945,59971,7003,20073,9893,15656,11573,13594,13536,14977,16929,11804,19891,9478,24034,8747,56927,10086,111107,10244,34960,6678,20476,3303,20671,2963,15711,3268,2165,1061,0,0,0,0,0,0,0,0
48,48,남부터미널역,37.4851852186355,127.016191235414,10,0,2452,1284,8012,22447,25921,57915,37710,157828,29099,77899,27275,44551,30568,31584,33538,33398,35621,36288,35798,37033,40783,37270,50411,39219,82185,44660,135585,55942,61578,35998,40318,20899,39304,16390,30061,15026,4321,6529,4,28,1,3,1,0,0,0
51,51,남태령역,37.4642463513885,126.9890807468,46,0,453,126,824,1693,2147,3799,2747,4956,2202,1685,1698,1191,1778,1216,1747,1334,1685,1251,2379,1390,1860,1374,2736,1315,3693,1594,3851,1823,1367,1555,1230,981,659,907,314,948,90,384,0,31,0,0,0,0,0,0
