,Unnamed: 0,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,전화번호,경도,위도,상권번호,데이터기준일자
12,61,24523198,노바수학학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168074000,일원2동,1168010300,개포동,1168010300100120004,1,대지,12,4.0,서울특별시 강남구 개포동 12-4,116803122001,서울특별시 강남구 개포로,615,,1168010300100120004019079,석탑프라자,서울특별시 강남구 개포로 615,135939,6335.0,,,606,02-2226-8286,127.07557340967399,37.492649431449706,,2016-01-26
18,115,24046008,STA,,R,학문/교육,R13,학문교육기타,R13A03,운동/코치학교,R91199,그외 기타 스포츠 서비스업,11,서울특별시,11680,강남구,1168065600,도곡2동,1168011800,도곡동,1168011800105270000,1,대지,527,,서울특별시 강남구 도곡동 527,116803122006,서울특별시 강남구 선릉로,221,,1168011800105270000000024,도곡렉슬아파트,서울특별시 강남구 선릉로 221,135506,6276.0,,,505,02-577-5325,127.04971383399099,37.4942013124436,,2016-01-27
25,151,20966240,설악피아노학원,,R,학문/교육,R05,학원-음악미술무용,R05A02,피아노/바이올린/기타,P85620,예술 학원,11,서울특별시,11650,서초구,1165054000,잠원동,1165010600,잠원동,1165010600100500002,1,대지,50,2.0,서울특별시 서초구 잠원동 50-2,116504163526,서울특별시 서초구 잠원로14길,29,,1165010600100500002018925,롯데복지센터빌딩,서울특별시 서초구 잠원로14길 29,137723,6515.0,,2,,02-593-9292,127.015432033716,37.5178435355565,,2017-10-06
47,256,24575383,개념과유형수학교습소,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168072000,일원본동,1168011400,일원동,1168011400107220000,1,대지,722,,서울특별시 강남구 일원동 722,116803122002,서울특별시 강남구 광평로,63,,1168011400107220000003000,,서울특별시 강남구 광평로 63,135230,6350.0,,4,,02-6085-5262,127.079606386624,37.4828503531838,,2017-10-30
50,288,25493310,방배홍익미술,,R,학문/교육,R05,학원-음악미술무용,R05A01,서예/서화/미술,P85620,예술 학원,11,서울특별시,11650,서초구,1165061000,방배2동,1165010100,방배동,1165010100109580031,1,대지,958,31.0,서울특별시 서초구 방배동 958-31,116503121003,서울특별시 서초구 도구로,66,,1165010100109580031012562,,서울특별시 서초구 도구로 66,137060,6679.0,,3,,02-3487-3661,126.987525467029,37.4826107465071,,2017-10-11
74,469,24419295,경희대석사세심태권도,,R,학문/교육,R09,학원기타,R09A01,학원(종합),P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165060000,방배1동,1165010100,방배동,1165010100109110001,1,대지,911,1.0,서울특별시 서초구 방배동 911-1,116504163251,서울특별시 서초구 방배로13길,19,,1165010100109110001015029,진덕빌딩,서울특별시 서초구 방배로13길 19,137060,6686.0,,3,,02-582-8573,126.995382516375,37.482704848799,1827.0,2017-09-15
75,472,24338306,비디자연요법아카데미,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168063000,대치4동,1168010600,대치동,1168010600108890005,1,대지,889,5.0,서울특별시 강남구 대치동 889-5,116803122010,서울특별시 강남구 테헤란로,406,,1168010600108890009012385,샹제리제센터,서울특별시 강남구 테헤란로 406,135712,6192.0,A,,514,02-557-4280,127.049946352687,37.504412153104404,1932.0,2016-01-26
103,683,24328643,용인대대치태권도,,R,학문/교육,R09,학원기타,R09A01,학원(종합),P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168060000,대치1동,1168010600,대치동,1168010600110230011,1,대지,1023,11.0,서울특별시 강남구 대치동 1023-11,116804166414,서울특별시 강남구 삼성로57길,38,,1168010600110230011014187,,서울특별시 강남구 삼성로57길 38,135280,6279.0,하,1,1,02-557-1979,127.058041840698,37.4974217111045,,2016-01-26
108,716,25014888,7097액터스연기학원,,R,학문/교육,R05,학원-음악미술무용,R05A02,피아노/바이올린/기타,P85620,예술 학원,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106620013,1,대지,662,13.0,서울특별시 강남구 신사동 662-13,116804166477,서울특별시 강남구 선릉로161길,15,4.0,1168010700106620013009849,신사동S빌딩,서울특별시 강남구 선릉로161길 15-4,135897,6018.0,,2,,070-7779-7097,127.03888781579701,37.527119342727296,2054.0,2017-08-27
112,739,25516908,제로스퀘어,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,11,서울특별시,11650,서초구,1165062100,방배4동,1165010100,방배동,1165010100117560000,1,대지,1756,,서울특별시 서초구 방배동 1756,116504163389,서울특별시 서초구 서초대로1길,19,5.0,1165010100117560000009631,,서울특별시 서초구 서초대로1길 19-5,137060,6567.0,,2,,02-546-1532,126.982839495401,37.4879768198667,1850.0,2016-01-26
126,830,22477073,반석음악학원,,R,학문/교육,R05,학원-음악미술무용,R05A02,피아노/바이올린/기타,P85620,예술 학원,11,서울특별시,11680,강남구,1168069000,개포4동,1168010300,개포동,1168010300112590007,1,대지,1259,7.0,서울특별시 강남구 개포동 1259-7,116803122001,서울특별시 강남구 개포로,249,,1168010300102590007020416,신영빌딩,서울특별시 강남구 개포로 249,135240,6306.0,,2,,02-2058-1713,127.04965523261299,37.4791892081404,,2017-10-02
135,896,15515400,구립목련어린이집,,R,학문/교육,R08,유아교육,R08A02,어린이집,Q87210,보육시설 운영업,11,서울특별시,11680,강남구,1168074000,일원2동,1168010300,개포동,1168010300100140002,1,대지,14,2.0,서울특별시 강남구 개포동 14-2,116803122001,서울특별시 강남구 개포로,617,8.0,1168010300100140002000001,강남구건강가정지원센터,서울특별시 강남구 개포로 617-8,135939,6336.0,,,,,127.077738791616,37.4940449763665,,2017-09-30
146,978,20863044,엠디엔피교육,,R,학문/교육,R09,학원기타,R09A01,학원(종합),P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165052000,서초2동,1165010800,서초동,1165010800113300012,1,대지,1330,12.0,서울특별시 서초구 서초동 1330-12,116504163436,서울특별시 서초구 서초대로78길,52,,1165010800113300012023234,강남역인앤인,서울특별시 서초구 서초대로78길 52,137070,6626.0,,3,,02-582-2774,127.028669852034,37.493210198845205,1887.0,2017-10-04
149,1006,22811491,잉글리쉬원오원,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,11,서울특별시,11680,강남구,1168065600,도곡2동,1168011800,도곡동,1168011800104670018,1,대지,467,18.0,서울특별시 강남구 도곡동 467-18,116803005086,서울특별시 강남구 언주로,122,,1168011800104670018000569,우성캐릭터빌,서울특별시 강남구 언주로 122,135270,6295.0,,,6,,127.051059251376,37.4870757487531,,2016-01-27
158,1091,20910723,한국보육유치원,,R,학문/교육,R09,학원기타,R09A01,학원(종합),P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165062100,방배4동,1165010100,방배동,1165010100108070017,1,대지,807,17.0,서울특별시 서초구 방배동 807-17,116504163269,서울특별시 서초구 방배로34길,31,,1165010100108070017008716,한국보육유치원,서울특별시 서초구 방배로34길 31,137060,6585.0,,,,02-537-1459,126.992472156129,37.4931413049896,,2016-01-26
160,1103,21687958,재능교육개포지국,,R,학문/교육,R13,학문교육기타,R13A01,학습지보급,P85503,방문 교육 학원,11,서울특별시,11680,강남구,1168065600,도곡2동,1168011800,도곡동,1168011800104640000,1,대지,464,,서울특별시 강남구 도곡동 464,116803005086,서울특별시 강남구 언주로,123,,1168011800104640000000495,개포한신아파트,서울특별시 강남구 언주로 123,135855,6298.0,,5,,02-574-4002,127.049740964687,37.4875967771917,,2017-08-18
173,1189,25531155,발전소학원,,R,학문/교육,R09,학원기타,R09A01,학원(종합),P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106430003,1,대지,643,3.0,서울특별시 강남구 신사동 643-3,116804166523,서울특별시 강남구 압구정로42길,25,3.0,1168010700106430003009826,KH빌딩,서울특별시 강남구 압구정로42길 25-3,135896,6017.0,,2,,,127.035390052274,37.5272620253654,2054.0,2017-08-27
174,1190,22432416,이도국어교습소,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,11,서울특별시,11680,강남구,1168060000,대치1동,1168010600,대치동,1168010600110140003,1,대지,1014,3.0,서울특별시 강남구 대치동 1014-3,116804166245,서울특별시 강남구 도곡로78길,22,,1168010600110140003014249,삼성아파트,서울특별시 강남구 도곡로78길 22,135968,6279.0,,,,02-535-9579,127.058832161876,37.496626069128496,,2016-01-26
182,1209,20916326,텀블랜드어린이집,,R,학문/교육,R08,유아교육,R08A02,어린이집,Q87210,보육시설 운영업,11,서울특별시,11650,서초구,1165065100,양재1동,1165010200,양재동,1165010200100050016,1,대지,5,16.0,서울특별시 서초구 양재동 5-16,116504163213,서울특별시 서초구 바우뫼로37길,9,,1165010200100050016005539,정리빌딩,서울특별시 서초구 바우뫼로37길 9,137130,6744.0,,2,,02-2057-3305,127.03965974953002,37.4792345358997,,2017-10-07
189,1238,25578127,강s스쿨,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168067000,개포2동,1168010300,개포동,1168010300101680000,1,대지,168,,서울특별시 강남구 개포동 168,116804166479,서울특별시 강남구 선릉로16길,4,,1168010300101680000019431,,서울특별시 강남구 선릉로16길 4,135240,6325.0,,2,,02-578-2040,127.059898623535,37.483722391468206,,2018-06-22
199,1277,25555977,프렙원오원어학원,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,11,서울특별시,11680,강남구,1168054500,압구정동,1168010700,신사동,1168010700106370014,1,대지,637,14.0,서울특별시 강남구 신사동 637-14,116804166600,서울특별시 강남구 언주로172길,11,,1168010700106370014009738,,서울특별시 강남구 언주로172길 11,135896,6017.0,,2,,,127.034781666616,37.52794185359679,2054.0,2017-08-27
217,1349,20917320,제이씨정철주니어본사,,R,학문/교육,R04,학원-어학,R04A01,학원-외국어/어학,P85502,외국어학원,11,서울특별시,11680,강남구,1168065500,도곡1동,1168011800,도곡동,1168011800109570011,1,대지,957,11.0,서울특별시 강남구 도곡동 957-11,116802000003,서울특별시 강남구 남부순환로,2615,,1168011800109570011000001,극동스타클래스,서울특별시 강남구 남부순환로 2615,135270,6267.0,,,,02-553-9911,127.03575061719499,37.4851677024556,1839.0,2016-01-26
223,1370,24685200,정샘수학교습소,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165061000,방배2동,1165010100,방배동,1165010100104620006,1,대지,462,6.0,서울특별시 서초구 방배동 462-6,116504163574,서울특별시 서초구 청두곶길,38,3.0,1165010100104620006027441,,서울특별시 서초구 청두곶길 38-3,137060,6690.0,,1,,02-523-2328,126.985444089401,37.4801690545412,,2017-10-11
227,1427,22826735,김영편입학원,,R,학문/교육,R01,학원-보습교습입시,R01A02,학원-편입,P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165053100,서초4동,1165010800,서초동,1165010800116940010,1,대지,1694,10.0,서울특별시 서초구 서초동 1694-10,116503121024,서울특별시 서초구 서초중앙로,148,,1165010800116940011020319,김영빌딩,서울특별시 서초구 서초중앙로 148,137070,6605.0,,1,,02-596-7011,127.01376443039601,37.4949879300201,1889.0,2017-09-22
254,1612,25242993,ET아키데미,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168067000,개포2동,1168010300,개포동,1168010300101860015,1,대지,186,15.0,서울특별시 강남구 개포동 186-15,116803122001,서울특별시 강남구 개포로,508,,1168010300101860015019903,소망빌딩,서울특별시 강남구 개포로 508,135240,6329.0,,2,,,127.06793744552799,37.4892284833684,,2017-10-30
260,1645,15521303,더블유스피치커뮤니케이션,,R,학문/교육,R09,학원기타,R09A07,학원-심리변론,P85699,그외 기타 분류안된 교육기관,11,서울특별시,11650,서초구,1165053100,서초4동,1165010800,서초동,1165010800113180002,1,대지,1318,2.0,서울특별시 서초구 서초동 1318-2,116502102001,서울특별시 서초구 강남대로,405,,1165010800113180002020008,통영빌딩,서울특별시 서초구 강남대로 405,137856,6615.0,,11,,070-4012-4590,127.026675342451,37.498762305437005,,2017-09-30
297,1854,20809346,학원대치탑베리타스학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168063000,대치4동,1168010600,대치동,1168010600108980000,1,대지,898,,서울특별시 강남구 대치동 898,116803122006,서울특별시 강남구 선릉로,418,,1168010600108980000012899,,서울특별시 강남구 선릉로 418,135280,6198.0,,,4,02-539-6445,127.050313015787,37.502252567244796,1932.0,2016-01-26
301,1887,24144228,마이홈고시원,,R,학문/교육,R10,도서관/독서실,R10A01,독서실,R90212,독서실 운영업,11,서울특별시,11650,서초구,1165051000,서초1동,1165010800,서초동,1165010800116280062,1,대지,1628,62.0,서울특별시 서초구 서초동 1628-62,116504163367,서울특별시 서초구 서리풀3길,24,,1165010800116280062023923,거송빌딩,서울특별시 서초구 서리풀3길 24,137070,6641.0,,,,02-523-5004,127.018121271016,37.4878518207384,,2016-01-27
303,1901,21943496,거인의숲보습학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168060000,대치1동,1168010600,대치동,1168010600105060000,1,대지,506,,서울특별시 강남구 대치동 506,116803122005,서울특별시 강남구 삼성로,151,,1168010600105060000014413,선경아파트,서울특별시 강남구 삼성로 151,135836,6291.0,,,,02-566-5347,127.062980857277,37.4931449224312,1875.0,2016-01-26
312,1998,23794419,한진교육,,R,학문/교육,R09,학원기타,R09A01,학원(종합),P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100108180014,1,대지,818,14.0,서울특별시 강남구 역삼동 818-14,116804166037,서울특별시 강남구 강남대로94길,9,,1168010100108180014027545,,서울특별시 강남구 강남대로94길 9,135080,6129.0,,3,,02-553-8050,127.028079756536,37.499476691585,1937.0,2020-07-06
332,2104,21933817,삼익피아노,,R,학문/교육,R05,학원-음악미술무용,R05A02,피아노/바이올린/기타,P85620,예술 학원,11,서울특별시,11680,강남구,1168054500,압구정동,1168011000,압구정동,1168011000104620000,1,대지,462,,서울특별시 강남구 압구정동 462,116804166518,서울특별시 강남구 압구정로33길,70,,1168011000104620000004781,현대아파트,서울특별시 강남구 압구정로33길 70,135905,6004.0,,1,,02-512-2221,127.030928069952,37.5328480525133,,2017-10-30
333,2114,24136477,로앤비교육센터학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165051000,서초1동,1165010800,서초동,1165010800116660013,1,대지,1666,13.0,서울특별시 서초구 서초동 1666-13,116504163420,서울특별시 서초구 서초대로56길,40,,1165010800116660013024634,지제이빌딩,서울특별시 서초구 서초대로56길 40,137070,6633.0,,2,,02-3472-1412,127.017253589671,37.4928004120684,1881.0,2017-09-23
350,2217,21918599,피카소미술학원,,R,학문/교육,R05,학원-음악미술무용,R05A01,서예/서화/미술,P85620,예술 학원,11,서울특별시,11680,강남구,1168056500,청담동,1168010400,청담동,1168010400100190028,1,대지,19,28.0,서울특별시 강남구 청담동 19-28,116804166469,서울특별시 강남구 선릉로148길,48,17.0,1168010400100190028018525,,서울특별시 강남구 선릉로148길 48-17,135949,6064.0,,1,,02-515-4222,127.04334529441601,37.52181229397821,,2017-10-30
355,2258,21934157,시드니고시원,,R,학문/교육,R10,도서관/독서실,R10A02,고시원,R90212,독서실 운영업,11,서울특별시,11680,강남구,1168075000,수서동,1168011500,수서동,1168011500107080000,1,대지,708,,서울특별시 강남구 수서동 708,116804166081,서울특별시 강남구 광평로51길,27,,1168011500107080000001421,삼익아파트,서울특별시 강남구 광평로51길 27,135884,6347.0,,,,02-563-5527,127.10097386445,37.489691744394605,,2016-01-24
362,2309,25018685,하이클래스메타코드미술학원,,R,학문/교육,R09,학원기타,R09A01,학원(종합),P85501,일반 교과 학원,11,서울특별시,11680,강남구,1168064000,역삼1동,1168010100,역삼동,1168010100106970011,1,대지,697,11.0,서울특별시 강남구 역삼동 697-11,116804166502,서울특별시 강남구 선릉로93길,18,,1168010100106970012022203,,서울특별시 강남구 선릉로93길 18,135080,6148.0,,,301,02-508-2411,127.04688212883998,37.505234460558796,1943.0,2016-01-26
369,2345,21925774,서초밝은미래보습학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,일반 교과 학원,11,서울특별시,11650,서초구,1165053100,서초4동,1165010800,서초동,1165010800113100005,1,대지,1310,5.0,서울특별시 서초구 서초동 1310-5,116503121016,서울특별시 서초구 서운로,184,,1165010800113100005019839,영동프라자,서울특별시 서초구 서운로 184,137070,6613.0,,2,,02-3482-0930,127.02338095348101,37.4998884656479,,2017-09-16
394,2481,20979290,KAGE영재교육학술원양재본원,,R,학문/교육,R08,유아교육,R08A07,유아교육기관기타,P85110,유아 교육기관,11,서울특별시,11650,서초구,1165065200,양재2동,1165010200,양재동,1165010200102060004,1,대지,206,4.0,서울특별시 서초구 양재동 206-4,116504163180,서울특별시 서초구 매헌로8길,39,,1165010200102060004027713,희경재단4-5,서울특별시 서초구 매헌로8길 39,137130,6770.0,,1,,02-2149-5500,127.03568493739999,37.4656412152205,1757.0,2017-10-28
402,2515,15519511,더좋은길미술학원,,R,학문/교육,R05,학원-음악미술무용,R05A01,서예/서화/미술,P85620,예술 학원,11,서울특별시,11680,강남구,1168063000,대치4동,1168010600,대치동,1168010600108890068,1,대지,889,68.0,서울특별시 강남구 대치동 889-68,116804166495,서울특별시 강남구 선릉로86길,15,,1168010600108890068012542,현대선릉GOLDTOWER,서울특별시 강남구 선릉로86길 15,135839,6192.0,,,804,,127.050817251518,37.503518098472206,1932.0,2017-09-30
406,2540,15553301,경희대퍼스트부부태권도,,R,학문/교육,R07,학원-예능취미체육,R07A20,태권도장,P85611,스포츠 교육기관,11,서울특별시,11680,강남구,1168070000,세곡동,1168011200,자곡동,1168011200106380000,1,대지,638,,서울특별시 강남구 자곡동 638,116803122014,서울특별시 강남구 자곡로,120,,1168011200106380000000001,세곡드림프라자,서울특별시 강남구 자곡로 120,135190,6373.0,,,506,02-459-7004,127.09648105980699,37.4721408171725,,2017-09-30
408,2542,21712686,잼실용음악학원,방배지점,R,학문/교육,R05,학원-음악미술무용,R05A02,피아노/바이올린/기타,P85620,예술 학원,11,서울특별시,11650,서초구,1165061000,방배2동,1165010100,방배동,1165010100125250000,1,대지,2525,,서울특별시 서초구 방배동 2525,116502000004,서울특별시 서초구 과천대로,946,,1165010100125250000013443,,서울특별시 서초구 과천대로 946,137753,6760.0,,,,02-522-2191,126.982133606276,37.4749955569618,,2016-01-28
