,STAT_CDE,MGRNU,A062_KND_C,SPRT_STD_C,EVE_CDE,SPRT_HOTDI,CSS_CDE,ESB_YMD,CAE_YMD,OD_PE_CDE,GU_CDE,CTRL_YNO_C,DONG_CDE,JIBUN,RMK,NW_PE_CDE,WORK_CDE,VIEW_CDE,SPRT_MET_C,ROB_GBN_CD,TFC_BSS_CD,XGEO,SIXID,LINK_ID,HISID,CTK_MGRNU,SPRT_MGRNU,FRM_CDE,RN_CDE,MNG_AGEN,MGRNU_1,STAT_CDE_1,A057_KND_C,ASN_LENX_C,EVE_CDE_1,SNLP_KND_C,BSNLP_KND_,ESB_YMD_1,CAE_YMD_1,A062_MGRNU,SP_RN_CDE,MK_CPY,WORK_CDE_1,VIEW_CDE_1,SIXID_1,CTK_MGRNU_,ASN_MGRNU,HISID_1,A062_POS,XCE,YCE,FB_CDE,FRM_CDE_1,MNG_AGEN_1,XGEO_1,ASN_DRN,SNLP_QUA,BSNLP_QUA,field_59,field_60,field_61,field_62,field_63,field_64,field_65,field_66,field_67,field_68,field_69,field_70,field_71,field_72,field_73,gid,geometry
0,1,02-0000178068,1,6,1,2,7850.0,20131229,20131229,410.0,680,1.0,10100,,,410,1,2,1,2,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204221.148207307,544841.555068987,NULL),NULL,NULL),4196015.0,,229486,2013-0201-067,02-178068,1.0,,,03-0000064550,1.0,3.0,5.0,,1,,,20131229.0,02-0000178068,2,진우산전(주),6,2,4196012.0,2013-0201-067,03-064550,102624,,204221.148207307,544841.555068987,,4.0,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204221.148207307,544841.555068987,204219.603122335,544836.799786406)),252.0,2,0.0,ㅼ궗600449,MULTIPOINT (127.0477387332912 37.50303063231385)
1,1,02-0000178067,1,7,1,2,7850.0,20131229,20131229,410.0,680,1.0,10100,802-31 도,,410,1,2,1,2,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204212.929621534,544827.997401945,NULL),NULL,NULL),4196016.0,,229485,2013-0201-067,02-178067,1.0,,,03-0000064549,1.0,3.0,5.0,,1,,,20131229.0,02-0000178067,2,진우산전(주),6,2,4196011.0,2013-0201-067,03-064549,102623,,204212.929621534,544827.997401945,,4.0,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204212.929621534,544827.997401945,204217.657214412,544829.625242717)),19.0,2,0.0,ㅼ궗600449,MULTIPOINT (127.0476457082662 37.50290851453272)
2,1,02-0000178067,1,7,1,2,7850.0,20131229,20131229,410.0,680,1.0,10100,802-31 도,,410,1,2,1,2,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(204212.929621534,544827.997401945,NULL),NULL,NULL),4196016.0,,229485,2013-0201-067,02-178067,1.0,,,03-0000064551,1.0,3.0,5.0,,1,,,20131229.0,02-0000178067,2,진우산전(주),6,2,4196013.0,2013-0201-067,03-064551,102625,,204212.929621534,544827.997401945,,4.0,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(204212.929621534,544827.997401945,204211.21952081696,544832.695865049)),110.0,2,0.0,ㅼ궗600449,MULTIPOINT (127.0476457082662 37.50290851453272)
3,1,02-0000109590,1,7,1,2,288.0,20131220,20131220,410.0,680,1.0,10600,973-12 대,,410,1,2,1,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(205374.987783456,544360.323502703,NULL),NULL,NULL),5115329.0,,146026,2013-0401-004,02-109590,1.0,,,03-0000013905,1.0,2.0,,1.0,7,,20131220.0,20131220.0,02-0000109590,2,,1,2,,2013-0401-004,03-013905,39704,,205374.987783456,544360.323502703,2.0,4.0,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(205374.987783456,544360.323502703,205374.986073355,544360.328201166)),110.0,1,0.0,ㅼ궗611444,MULTIPOINT (127.0607844674366 37.49868871526149)
4,1,02-0000109590,1,7,1,2,288.0,20131220,20131220,410.0,680,1.0,10600,973-12 대,,410,1,2,1,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(205374.987783456,544360.323502703,NULL),NULL,NULL),5115329.0,,146026,2013-0401-004,02-109590,1.0,,,03-0000064354,1.0,3.0,11.0,1.0,3,,20131220.0,20131220.0,02-0000109590,2,,1,2,5115323.0,2013-0401-004,03-064354,102428,,205374.987783456,544360.323502703,2.0,1.0,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(205374.987783456,544360.323502703,205371.045736011,544370.592887394)),111.0,3,0.0,ㅼ궗611444,MULTIPOINT (127.0607844674366 37.49868871526149)
5,1,02-0000177876,1,6,1,2,520.0,20131220,20131220,410.0,680,1.0,10100,712 공,,410,1,2,1,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(203974.418163787,544363.74478898,NULL),NULL,NULL),41855210.0,,229294,2013-0401-004,02-177876,4.0,,,03-0000064342,1.0,3.0,7.0,1.0,3,,20131220.0,20131220.0,02-0000177876,2,,6,2,4185621.0,2013-0401-004,03-064342,102416,,203974.418163787,544363.74478898,1.0,4.0,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(203974.418163787,544363.74478898,203976.926739434,544357.209725995)),291.0,2,0.0,ㅼ궗597444,MULTIPOINT (127.0449457801026 37.49872662908675)
6,1,02-0000177876,1,6,1,2,520.0,20131220,20131220,410.0,680,1.0,10100,712 공,,410,1,2,1,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(203974.418163787,544363.74478898,NULL),NULL,NULL),41855210.0,,229294,2013-0401-004,02-177876,4.0,,,03-0000064343,1.0,2.0,999.0,1.0,7,,20131220.0,20131220.0,02-0000177876,2,,6,2,4185622.0,2013-0401-004,03-064343,102417,,203974.418163787,544363.74478898,2.0,4.0,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(203974.418163787,544363.74478898,203974.42003682,544363.740153061)),292.0,1,0.0,ㅼ궗597444,MULTIPOINT (127.0449457801026 37.49872662908675)
7,1,02-0000178490,1,7,1,2,1734.0,20130903,20130903,280.0,680,1.0,10100,633-16 대,,280,1,2,1,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(202722.182394325,544404.931451717,NULL),NULL,NULL),4165036.0,,229908,2013-0101-103,02-178490,4.0,,,03-0000065097,1.0,2.0,999.0,1.0,7,,20130903.0,20130903.0,02-0000178490,2,명신전자,6,2,4165022.0,2014-0101-103,03-065097,103171,,202722.182394325,544404.931451717,2.0,4.0,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(202722.182394325,544404.931451717,202722.184267358,544404.926815798)),292.0,1,0.0,ㅼ궗585445,MULTIPOINT (127.0307846886947 37.49910226251247)
8,1,02-0000178490,1,7,1,2,1734.0,20130903,20130903,280.0,680,1.0,10100,633-16 대,,280,1,2,1,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(202722.182394325,544404.931451717,NULL),NULL,NULL),4165036.0,,229908,2013-0101-103,02-178490,4.0,,,03-0000065096,1.0,3.0,9.0,1.0,2,,20130903.0,20130903.0,02-0000178490,2,명신전자,6,2,4165021.0,2013-0101-103,03-065096,103170,,202722.182394325,544404.931451717,2.0,4.0,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(202722.182394325,544404.931451717,202725.553853666,544396.586797026)),292.0,3,0.0,ㅼ궗585445,MULTIPOINT (127.0307846886947 37.49910226251247)
9,1,02-0000041249,1,2,1,2,2064.0,20030529,20130419,280.0,680,1.0,10500,186-6천,,280,1,2,1,1,106,MDSYS.SDO_GEOMETRY(2001,2093,MDSYS.SDO_POINT_TYPE(205839.814630053,546182.133438788,NULL),NULL,NULL),5128382.0,,44128,2013-0101-101,02-041249,1.0,,,03-0000014413,1.0,2.0,999.0,1.0,7,,,20130419.0,02-0000041249,2,,6,2,,2013-0101-101,03-014413,55364,,205839.814630053,546182.133438788,2.0,2.0,,MDSYS.SDO_GEOMETRY(2002,2093,NULL,MDSYS.SDO_ELEM_INFO_ARRAY(1,2,1),MDSYS.SDO_ORDINATE_ARRAY(205839.814630053,546182.133438788,205839.80964908,546182.133874567)),175.0,1,0.0,ㅼ궗616462,MULTIPOINT (127.0660555431177 37.51510048257193)
