,gid,geometry
0,ㅼ궗600449,MULTIPOINT (127.0477387332912 37.50303063231385)
1,ㅼ궗600449,MULTIPOINT (127.0476457082662 37.50290851453272)
2,ㅼ궗600449,MULTIPOINT (127.0476457082662 37.50290851453272)
3,ㅼ궗611444,MULTIPOINT (127.0607844674366 37.49868871526149)
4,ㅼ궗611444,MULTIPOINT (127.0607844674366 37.49868871526149)
5,ㅼ궗597444,MULTIPOINT (127.0449457801026 37.49872662908675)
6,ㅼ궗597444,MULTIPOINT (127.0449457801026 37.49872662908675)
7,ㅼ궗585445,MULTIPOINT (127.0307846886947 37.49910226251247)
8,ㅼ궗585445,MULTIPOINT (127.0307846886947 37.49910226251247)
9,ㅼ궗616462,MULTIPOINT (127.0660555431177 37.51510048257193)
10,ㅼ궗629445,MULTIPOINT (127.0803853450776 37.49972599972897)
11,ㅼ궗629445,MULTIPOINT (127.0803853450776 37.49972599972897)
12,ㅼ궗629445,MULTIPOINT (127.0803853450776 37.49972599972897)
13,ㅼ궗629445,MULTIPOINT (127.0809115817166 37.49932934487891)
14,ㅼ궗605401,MULTIPOINT (127.0543838728145 37.45970905952421)
15,ㅼ궗617446,MULTIPOINT (127.0675791385603 37.50076114182543)
16,ㅼ궗545432,MULTIPOINT (126.9859675958644 37.48740203660118)
17,ㅼ궗588485,MULTIPOINT (127.0344965417577 37.53490031883073)
18,ㅼ궗588485,MULTIPOINT (127.0344965417577 37.53490031883073)
19,ㅼ궗574446,MULTIPOINT (127.0189451716813 37.50025974139214)
20,ㅼ궗570468,MULTIPOINT (127.0140314388165 37.51975620830527)
21,ㅼ궗570468,MULTIPOINT (127.0140314388165 37.51975620830527)
22,ㅼ궗577405,MULTIPOINT (127.0226537101876 37.46284325289248)
23,ㅼ궗577405,MULTIPOINT (127.0226537101876 37.46284325289248)
24,ㅼ궗562434,MULTIPOINT (127.0046545142919 37.48884091110965)
25,ㅼ궗562434,MULTIPOINT (127.0046545142919 37.48884091110965)
26,ㅼ궗594407,MULTIPOINT (127.0417198706399 37.4647441485217)
27,ㅼ궗544446,MULTIPOINT (126.9850743049619 37.49998686990671)
28,ㅼ궗628438,MULTIPOINT (127.0793571595829 37.4935152287733)
29,ㅼ궗637405,MULTIPOINT (127.0897253671994 37.46312510290696)
30,ㅼ궗601451,MULTIPOINT (127.0490734467297 37.50476993722975)
31,ㅼ궗601451,MULTIPOINT (127.0495519512417 37.50447595329778)
32,ㅼ궗601451,MULTIPOINT (127.0495519512417 37.50447595329778)
33,ㅼ궗628439,MULTIPOINT (127.0793562167208 37.49370602983083)
34,ㅼ궗628439,MULTIPOINT (127.0793562167208 37.49370602983083)
35,ㅼ궗611445,MULTIPOINT (127.0609883233618 37.49910269232878)
36,ㅼ궗613445,MULTIPOINT (127.0623549420033 37.49950467593384)
37,ㅼ궗613445,MULTIPOINT (127.0623549420033 37.49950467593384)
38,ㅼ궗613441,MULTIPOINT (127.0626908754039 37.49586633687564)
39,ㅼ궗613441,MULTIPOINT (127.0626908754039 37.49586633687564)
40,ㅼ궗613441,MULTIPOINT (127.0624199601764 37.49571838402094)
41,ㅼ궗613441,MULTIPOINT (127.0624199601764 37.49571838402094)
42,ㅼ궗616456,MULTIPOINT (127.0664580107161 37.50967727225608)
43,ㅼ궗616456,MULTIPOINT (127.0664580107161 37.50967727225608)
44,ㅼ궗605474,MULTIPOINT (127.0540706756214 37.52531683520213)
45,ㅼ궗605474,MULTIPOINT (127.0540706756214 37.52531683520213)
46,ㅼ궗587456,MULTIPOINT (127.0329495545953 37.50901506579767)
47,ㅼ궗587456,MULTIPOINT (127.0329495545953 37.50901506579767)
48,ㅼ궗602459,MULTIPOINT (127.0497762812661 37.51190482921315)
49,ㅼ궗602459,MULTIPOINT (127.0497762812661 37.51190482921315)
50,ㅼ궗601459,MULTIPOINT (127.0496099500106 37.51208659483985)
51,ㅼ궗601459,MULTIPOINT (127.0496099500106 37.51208659483985)
52,ㅼ궗615452,MULTIPOINT (127.065052280776 37.50544557490691)
53,ㅼ궗615452,MULTIPOINT (127.065052280776 37.50544557490691)
54,ㅼ궗612444,MULTIPOINT (127.0611807367559 37.498732900143)
55,ㅼ궗612444,MULTIPOINT (127.0611807367559 37.498732900143)
56,ㅼ궗611445,MULTIPOINT (127.0610233434957 37.49909483656401)
57,ㅼ궗611445,MULTIPOINT (127.0610233434957 37.49909483656401)
58,ㅼ궗597444,MULTIPOINT (127.0444800762827 37.49851730676375)
59,ㅼ궗597444,MULTIPOINT (127.0446121234102 37.49828813107789)
60,ㅼ궗597444,MULTIPOINT (127.0448020381683 37.49879100446559)
61,ㅼ궗597444,MULTIPOINT (127.04445364902 37.4986162078708)
62,ㅼ궗597444,MULTIPOINT (127.04445364902 37.4986162078708)
63,ㅼ궗587456,MULTIPOINT (127.0331601395815 37.50915768930098)
64,ㅼ궗587456,MULTIPOINT (127.0331601395815 37.50915768930098)
65,ㅼ궗630440,MULTIPOINT (127.0821570831429 37.49462288269312)
66,ㅼ궗633441,MULTIPOINT (127.0855100105279 37.49565377453261)
67,ㅼ궗633441,MULTIPOINT (127.0855100105279 37.49565377453261)
68,ㅼ궗634441,MULTIPOINT (127.0860069919029 37.4958230666213)
69,ㅼ궗634441,MULTIPOINT (127.0860069919029 37.4958230666213)
70,ㅼ궗634441,MULTIPOINT (127.0860069919029 37.4958230666213)
71,ㅼ궗588485,MULTIPOINT (127.0343893043071 37.53490683619631)
72,ㅼ궗588485,MULTIPOINT (127.0343893043071 37.53490683619631)
73,ㅼ궗628439,MULTIPOINT (127.0793733933759 37.49379141904616)
74,ㅼ궗601450,MULTIPOINT (127.0492246687679 37.50429979934822)
75,ㅼ궗590447,MULTIPOINT (127.0366752158026 37.50074057437978)
76,ㅼ궗590447,MULTIPOINT (127.0366752158026 37.50074057437978)
77,ㅼ궗578466,MULTIPOINT (127.0233612806459 37.51834817524929)
78,ㅼ궗596426,MULTIPOINT (127.0431352375442 37.48192562190005)
79,ㅼ궗596426,MULTIPOINT (127.0431352375442 37.48192562190005)
80,ㅼ궗596426,MULTIPOINT (127.0431352375442 37.48192562190005)
81,ㅼ궗596426,MULTIPOINT (127.0431352375442 37.48192562190005)
82,ㅼ궗581456,MULTIPOINT (127.0269226075606 37.508774235488)
83,ㅼ궗581456,MULTIPOINT (127.0269226075606 37.508774235488)
84,ㅼ궗585444,MULTIPOINT (127.0309387606005 37.49881477189358)
85,ㅼ궗610428,MULTIPOINT (127.0594954997306 37.48368063673856)
86,ㅼ궗612458,MULTIPOINT (127.0620686328468 37.51145499014157)
87,ㅼ궗612458,MULTIPOINT (127.0613921700226 37.5114829982612)
88,ㅼ궗612459,MULTIPOINT (127.0616738932752 37.51157842858115)
89,ㅼ궗612459,MULTIPOINT (127.0616738932752 37.51157842857995)
90,ㅼ궗608400,MULTIPOINT (127.0572292182412 37.45846760704579)
91,ㅼ궗611444,MULTIPOINT (127.0608901586471 37.49861999908101)
92,ㅼ궗612444,MULTIPOINT (127.0611786982021 37.49880678225484)
93,ㅼ궗612444,MULTIPOINT (127.0611786982021 37.49880678225484)
94,ㅼ궗614462,MULTIPOINT (127.0643009347004 37.51484310160208)
95,ㅼ궗610427,MULTIPOINT (127.0596707150979 37.4835319075522)
96,ㅼ궗589436,MULTIPOINT (127.035287229567 37.49079771659462)
97,ㅼ궗607400,MULTIPOINT (127.0558739340049 37.45904212891327)
98,ㅼ궗607400,MULTIPOINT (127.0558739340049 37.45904212891327)
99,ㅼ궗542439,MULTIPOINT (126.982499996177 37.49362063196379)
100,ㅼ궗542439,MULTIPOINT (126.982499996177 37.49362063196379)
101,ㅼ궗570449,MULTIPOINT (127.0140707633527 37.50263069634631)
102,ㅼ궗570449,MULTIPOINT (127.0140707633527 37.50263069634631)
103,ㅼ궗569449,MULTIPOINT (127.0124458992472 37.5026979020051)
104,ㅼ궗569449,MULTIPOINT (127.0125687058346 37.502745453919)
105,ㅼ궗569449,MULTIPOINT (127.0125687058346 37.502745453919)
106,ㅼ궗662408,MULTIPOINT (127.1182095994188 37.4662929172101)
107,ㅼ궗610419,MULTIPOINT (127.0593510987881 37.47578493728951)
108,ㅼ궗609419,MULTIPOINT (127.05873858231 37.47630692266372)
109,ㅼ궗605401,MULTIPOINT (127.0542673622203 37.45980978387091)
110,ㅼ궗605401,MULTIPOINT (127.0542673622203 37.45980978387091)
111,ㅼ궗590457,MULTIPOINT (127.0364822888779 37.51054584240403)
112,ㅼ궗589484,MULTIPOINT (127.0348015984491 37.53482374752391)
113,ㅼ궗589484,MULTIPOINT (127.0348015984491 37.53482374752391)
114,ㅼ궗637405,MULTIPOINT (127.0904564811785 37.46364938468878)
