,학교명,소재지도로명주소,위도,경도
0,가톨릭대학교,서울특별시 서초구 반포대로 222,37.5023936158073, 127.005860604348
1,한국예술종합학교,서울특별시 서초구 남부순환로 2374,37.4779190198646, 127.010769972889
2,서울외국어대학원대학교,서울특별시 서초구 남부순환로356길 85,37.481278538251, 127.038956435153
3,예명대학원대학교,서울특별시 서초구 남부순환로337가길 49,37.4842221155219, 127.023744729785
4,치유상담대학원대학교,서울특별시 서초구 서초대로 121,37.488529791971, 126.995461389843
5,횃불트리니티신학대학원대학교,서울특별시 서초구 바우뫼로31길 70,37.4793861921564, 127.034774887034
6,국제예술대학,서울특별시 강남구 논현동 79,37.5169057779708, 127.031003951379
7,백석예술대학,서울특별시 서초구 방배3동 방배로9길 23,37.4803713866046, 126.996896954333
8,서울교육대학교,서울특별시 서초구 서초중앙로 96,37.4907404857731, 127.015424537648
9,서울벤처정보대학원대학교,서울특별시 강남구 봉은사로 405,37.5107745967912, 127.044368832311
10,한림국제대학원대학교,서울특별시 강남구 역삼로 405,37.5009760976318, 127.05142557188
11,서울신구초등학교,서울특별시 강남구 압구정로18길 28,37.52318884,127.0242775
12,단국대학교부속소프트웨어고등학교,서울특별시 강남구 도곡로64길 21,37.49562483,127.0576122
13,봉은중학교,서울특별시 강남구 영동대로128길 59,37.51910487,127.0627595
14,원촌중학교,서울특별시 서초구 사평대로45길 10,37.50588887,127.0140445
15,서울반포초등학교,서울특별시 서초구 신반포로 55-4,37.50315802,126.9910009
16,서울원촌초등학교,서울특별시 서초구 사평대로45길 26,37.50603606,127.0127721
17,서울논현초등학교,서울특별시 강남구 강남대로120길 33,37.5084232,127.0261867
18,서울구룡초등학교,서울특별시 강남구 개포로 263,37.48080548,127.051891
19,단국대학교사범대학부속고등학교,서울특별시 강남구 도곡로64길 21,37.49549061,127.0562354
20,서울자곡초등학교,서울특별시 강남구 자곡로 150,37.47206129,127.0996665
21,서울서원초등학교,서울특별시 서초구 고무래로 63,37.50261842,127.0152191
22,세화여자중학교,서울특별시 서초구 신반포로 56-7,37.5019828,126.9940399
23,서울로봇고등학교,서울특별시 강남구 광평로20길 63,37.48069615,127.0843315
24,은광여자고등학교,서울특별시 강남구 남부순환로359길 36,37.48856855,127.0353764
25,단국대학교사범대학부속중학교,서울특별시 강남구 도곡로64길 21,37.49620973,127.0559993
26,서울대곡초등학교,서울특별시 강남구 남부순환로 3022,37.49439753,127.0651645
27,은성중학교,서울특별시 강남구 남부순환로359길 36,37.48768658,127.0360193
28,영동고등학교,서울특별시 강남구 선릉로 742,37.5206269,127.0419943
29,서울대진초등학교,서울특별시 강남구 개포로109길 74,37.49668479,127.0780425
30,수도전기공업고등학교,서울특별시 강남구 개포로 410,37.48609632,127.0638047
31,휘문중학교,서울특별시 강남구 역삼로 541,37.50547576,127.0619841
32,서울교육대학교부설초등학교,서울특별시 서초구 서초중앙로 96,37.49087951,127.0150822
33,역삼중학교,서울특별시 강남구 도곡로43길 10,37.49564471,127.0488444
34,서울방현초등학교,서울특별시 서초구 효령로4길 58,37.47648995,126.99015
35,동덕여자중학교,서울특별시 서초구 효령로2길 123-5,37.47602586,126.9915008
36,양재고등학교,서울특별시 서초구 남부순환로346길 9,37.48293174,127.0328864
37,압구정중학교,서울특별시 강남구 압구정로 225,37.52983754,127.0329599
38,서울방일초등학교,서울특별시 서초구 방배로18길 52,37.48536558,126.9981018
39,서울잠원초등학교,서울특별시 서초구 신반포로16길 15-25,37.50154786,126.9980966
40,신구중학교,서울특별시 강남구 압구정로36길 17,37.52700477,127.0322082
41,언북중학교,서울특별시 강남구 도산대로38길 27,37.51912039,127.0332284
42,동덕여자고등학교,서울특별시 서초구 효령로2길 123-5,37.47583666,126.992496
43,대진디자인고등학교,서울특별시 강남구 광평로39길 93,37.49070951,127.0961005
44,숙명여자중학교,서울특별시 강남구 남부순환로 2807,37.49105985,127.05167
45,서운중학교,서울특별시 서초구 서운로 115,37.49375946,127.0247303
46,서문여자중학교,서울특별시 서초구 동광로12길 84,37.48879406,126.9845622
47,개포고등학교,서울특별시 강남구 개포로 402,37.48495285,127.0592181
48,경원중학교,서울특별시 서초구 신반포로33길 39,37.51106332,127.0093138
49,서초중학교,서울특별시 서초구 반포대로13길 48,37.48532378,127.0086363
50,반포고등학교,서울특별시 서초구 고무래로 71,37.50204786,127.0165603
51,서울봉은초등학교,서울특별시 강남구 학동로 610,37.52038242,127.0608483
52,중앙대학교사범대학부속고등학교,서울특별시 강남구 선릉로 207,37.49221278,127.052077
53,대명중학교,서울특별시 강남구 역삼로87길 26,37.50605865,127.061073
54,언주중학교,서울특별시 강남구 선릉로116길 57,37.51440587,127.0469009
55,서울삼릉초등학교,서울특별시 강남구 봉은사로63길 22,37.51292229,127.0471068
56,중동고등학교,서울특별시 강남구 일원로 7,37.49313402,127.080769
57,서울대도초등학교,서울특별시 강남구 선릉로 209,37.49260076,127.0535537
58,중산고등학교,서울특별시 강남구 일원로14길 22,37.48545837,127.0807166
59,서울원명초등학교,서울특별시 서초구 고무래로 90-6,37.50079587,127.0169088
60,서울청담초등학교,서울특별시 강남구 압구정로71길 9,37.52797617,127.0450453
61,압구정고등학교,서울특별시 강남구 압구정로39길 20,37.53087081,127.0328538
62,청담고등학교,서울특별시 강남구 압구정로 419,37.52817117,127.0433883
63,서울신동초등학교,서울특별시 서초구 나루터로 15,37.51689205,127.0118979
64,현대고등학교,서울특별시 강남구 압구정로 127,37.52512278,127.0226425
65,수서중학교,서울특별시 강남구 광평로59길 57,37.49094076,127.1027736
66,서울율현초등학교,서울특별시 강남구 밤고개로21길 15,37.47451551,127.1082848
67,경기고등학교,서울특별시 강남구 영동대로 643,37.51712417,127.0559391
68,서울신중초등학교,서울특별시 서초구 남부순환로317길 15,37.47992822,127.0097922
69,이수중학교,서울특별시 서초구 방배중앙로3길 32,37.48083668,126.990419
70,서울영희초등학교,서울특별시 강남구 일원로 21,37.49192076,127.0812703
71,서울왕북초등학교,서울특별시 강남구 광평로31길 74,37.48616111,127.0865315
72,휘문고등학교,서울특별시 강남구 역삼로 541,37.50492792,127.0627984
73,서울대모초등학교,서울특별시 강남구 광평로20길 27,37.48113529,127.0863007
74,서울이수초등학교,서울특별시 서초구 방배천로4길 23,37.47809898,126.984565
75,언남중학교,서울특별시 서초구 동산로 55,37.47218396,127.0442813
