,역이름,위도,경도,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원
0,가락시장역,37.493092048704,127.118258210622,4,0,2551,635,6681,5265,19314,11284,21145,30883,14385,14806,12171,10448,11837,10588,12066,10552,12399,11419,12563,11816,13186,13004,14863,14719,19033,16770,28828,23162,12056,16306,8649,10378,8398,8590,6608,9207,888,3770,3,821,0,0,0,1,0,0
1,가락시장역,37.493092048704,127.118258210622,20,0,2639,2310,5333,6175,10056,14564,12101,37907,9089,16921,8949,12390,9579,11138,9842,9460,10265,11133,11542,10759,13318,10171,13233,12127,17570,13403,28432,18805,11611,13604,9666,8398,11062,7432,9566,6719,1627,3064,7,1103,0,0,0,0,0,0
4,가산디지털단지역,37.4803887400743,126.882643680055,614,6,7546,5884,8909,24805,21503,121712,24065,399782,16819,227179,16576,58679,21561,35486,26984,32358,31409,32836,36615,29327,45622,27919,64883,26587,184864,28761,330730,34202,139411,24853,72724,13009,63815,11082,37859,11424,6865,5450,41,452,0,0,0,0,0,0
5,가산디지털단지역,37.4803887400743,126.882643680055,1292,2,7483,1760,7360,12656,14218,52526,14104,158656,10128,80907,9310,22179,9952,15336,11858,14937,12928,15511,13595,14543,15653,14813,23350,17640,63751,21972,114486,27835,47755,20091,26798,11680,25147,11041,18339,11750,2336,4734,89,901,0,0,0,0,0,0
8,가양역,37.5614294894973,126.854402192224,40,0,13684,1597,23835,9154,70230,24679,71699,40946,38499,24723,27789,15452,26416,16763,27774,17376,26140,20819,23729,21621,24855,24686,28661,30071,34018,38226,41239,64997,19210,57544,13011,32931,11657,31205,8836,32950,1624,14411,1,455,0,0,0,0,0,0
9,가오리역,37.6416341556655,127.01676898865,1,1,2137,280,5962,1208,15932,2672,16258,5077,10288,3407,7177,4083,6346,3951,5997,4755,6104,5273,5298,5437,5090,6446,4975,8053,5233,8414,4169,12974,2792,12986,1944,7408,1523,6059,1213,5765,313,2641,1,3,0,0,0,0,0,0
10,가좌역,37.5687505576544,126.914810592109,0,0,2711,255,6836,3133,19966,3826,24336,8142,10476,7241,7582,5384,6863,5021,7527,5129,6611,7051,6430,6973,6519,7356,8179,9836,8024,11632,8390,17390,4895,13972,3480,7780,3055,5612,2616,6613,601,3908,3,309,0,0,0,0,0,0
11,강남구청역,37.5172008632289,127.041287183507,1,0,1352,1802,3306,12739,6705,33238,8831,106626,8127,95093,8427,35573,10131,22070,12261,19185,14387,20333,18079,16358,23257,14958,27856,15113,43460,16926,86081,19517,51903,11948,31189,7447,32640,6248,29906,5628,4349,2475,5,255,0,0,0,0,0,0
12,강남구청역,37.5172008632289,127.041287183507,7,0,967,527,2573,4584,7185,14985,9516,56001,7866,41336,7544,18430,8573,13461,9688,13102,11004,14009,12462,13098,13561,12706,16454,13020,25475,15838,49675,20800,25214,12844,14172,6669,14417,5368,11569,5907,1614,2444,26,465,0,0,0,0,0,0
15,강남역,37.4980854411503,127.027977657727,85,6,5464,10853,15861,49435,36772,151261,58759,321542,46399,311718,46127,143770,62808,101593,79250,97700,95124,116716,102147,102382,126969,94677,143646,97346,222349,123126,335143,173742,203119,99700,152318,42059,202148,33576,195879,36941,24062,12861,7,4,0,0,0,0,0,0
